ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
200723,GLO0012,"glóMinerals - gloPressed Base Powder Foundation - Beige Light 9,9g",Sminke,840749010096,162,GloMinerals,87.21,409,480.250000,https://www.blivakker.no/product/200723,http://static.blivakker.no/Media/2/0/300_300/60AD5D4A353608D3A4FD629F62963AB5_200723_0.jpg,
3011345,EXU0006,Exuviance Soothing Toning Lotion 212ml,Hudpleie,732013087067,251,Exuviance,157.21,339,339,https://www.blivakker.no/product/3011345,http://static.blivakker.no/Media/2/0/300_300/DB9854E2F0637350DE97BB381C14BA6D_3011345_0.jpg,
4099,SEB0099,Sebastian Professional Hydre shampoo 250ml,Hårpleie,4015600054755,473,Sebastian,68.13,219,309,https://www.blivakker.no/product/4099,http://static.blivakker.no/Media/2/0/300_300/_SEB0099_1.gif,
201515,SEB0123,Sebastian Professional Volupt Volum Boosting shampoo 1000ml,Hårpleie,70018002594,42,Sebastian,154.41,489,550,https://www.blivakker.no/product/201515,http://static.blivakker.no/Media/2/0/300_300/D8E14668062E0FDE157F5FB8666B83EC_201515_0.jpg,
2437,idb0141,BareMinerals - Original Foundation Spf 15 - Fair 8g,Sminke,98132269570,670,BareMinerals,150.13,399,459,https://www.blivakker.no/product/2437,http://static.blivakker.no/Media/2/0/300_300/1CFD2383534B18E77C82DBC92C33B090_2437_0.jpg,
4686,SEH0066,Big Sexy Hair - Sulfate-Free Extra Volumizing Shampoo 1000ml,Hårpleie,646630012268,2,SEXY HAIR,50.69,269,729,https://www.blivakker.no/product/4686,http://static.blivakker.no/Media/2/0/300_300/807947428EF1DB5932F7BB180FE4BCFF_4686_1.jpg,
200042,KER0024,Kérastase Specifique - Bain Divalent - Balancing Shampoo 250ml,Hårpleie,3474635003809,482,Kérastase,77.7,199,250,https://www.blivakker.no/product/200042,http://static.blivakker.no/Media/2/0/300_300/D300617496FC009961EF21E2C90377B2_200042_1.jpg,
3049129,GHD0081,Ghd - Eclipse hvit,Elektrisk,5060356730148,127,GHD,1165.31,2199,2199,https://www.blivakker.no/product/3049129,http://static.blivakker.no/Media/2/0/300_300/10C8F8B14C319D9A122F64FF26CE9490_3049129_0.jpg,
3050193,KEV0062,Kevin Murphy Young.Again Wash 250ml,Hårpleie,9339341003052,,Kevin Murphy,82.39,229,289,https://www.blivakker.no/product/3050193,http://static.blivakker.no/Media/2/0/300_300/40AD4E913D891B8F6F7405B666CB9793_3050193_0.jpg,
201193,OLE0011,OLE HENRIKSEN - Vitamin Plus Balancing Creme 50g,Hudpleie,687795763015,254,Ole Henriksen,214.2,539,595,https://www.blivakker.no/product/201193,http://static.blivakker.no/Media/2/0/300_300/706EAE87B9D64B9BF9437BAC59F37B9B_201193_0.jpg,
