identifier,sku,category,brand,name,url,price,promo_start,promo_end
3633,8886419370918,Periféricos > Audio > Auriculares,,Auriculares Razer Hammerhead v2 (RZ12-01730100-R3G1),https://www.pcdiga.com/2/21610/Auriculares-Razer-Hammerhead-v2-RZ12-01730100-R3G1,54.89,2016-09-16,
3632,8886419370888,Periféricos > Audio > Auriculares,,Auriculares Razer Hammerhead Pro v2 (RZ04-01730100-R3G1),https://www.pcdiga.com/2/21609/Auriculares-Razer-Hammerhead-Pro-v2-RZ04-01730100-R3G1,79.9,2016-09-16,
586,4712900397796,Componentes > Motherboards > Intel > Socket 2011,,Motherboard Asus X99 DELUXE II (90MB0QB0-M0EAY0),https://www.pcdiga.com/2/21608/Motherboard-Asus-X99-DELUXE-II-90MB0QB0-M0EAY0,430.91,2016-09-16,
585,4712900390735,Componentes > Motherboards > Intel > Socket 1151,,Motherboard Asus H110M-A M.2 (90MB0R60-M0EAY0),https://www.pcdiga.com/2/21606/Motherboard-Asus-H110M-A-M-2-90MB0R60-M0EAY0,69.9,2016-09-16,
584,4712900424454,Componentes > Motherboards > Intel > Socket 1151,,Motherboard Asus B150M-A M.2 (90MB0RR0-M0EAY0),https://www.pcdiga.com/2/21605/Motherboard-Asus-B150M-A-M-2-90MB0RR0-M0EAY0,84.89,2016-09-16,
1296,843591071536,Componentes > Dissipadores,,WC Corsair Hydro Series H100i V2 (CW-9060025-WW),https://www.pcdiga.com/2/21162/WC-Corsair-Hydro-Series-H100i-V2-CW-9060025-WW,129.9,2016-09-16,
2417,740617258585,Componentes > Memórias > DDR3 > Mais de 1600Mhz,,HyperX Predator DDR3-2133MHz 2x8GB (HX321C11PB3K2/16),https://www.pcdiga.com/2/21479/HyperX-Predator-DDR3-2133MHz-2x8GB-HX321C11PB3K2-16,109.9,2016-09-16,
3112,4719072397821,Periféricos > Audio > Auscultadores > Com Fio,,Auscultadores MSI DS502 GAMING (S372100910SV1),https://www.pcdiga.com/2/21594/Auscultadores-MSI-DS502-GAMING-S372100910SV1,71.3,2016-09-16,
3983,8806088296104,SmartPhones > Android,,Samsung Galaxy S7 Edge 32GB Prateado(SM-G935FZSATPH)+ Oferta,https://www.pcdiga.com/2/21596/Samsung-Galaxy-S7-Edge-32GB-PrateadoSM-G935FZSATPH-Oferta,749,2016-09-16,
2559,889233443088,"Computadores > Portáteis > Ecrã 15.6""",,"Portátil Lenovo ThinkPad S5 Yoga 15 15.6"" (20DQ0037PG)",https://www.pcdiga.com/2/21595/Portatil-Lenovo-ThinkPad-S5-Yoga-15-15-6-20DQ0037PG,999.01,2016-09-16,
2412,740617258509,Componentes > Memórias > DDR4 > Mais de 2666Mhz,,HyperX Predator DDR4-3000MHz 2x16GB (HX430C15PB3K2/32),https://www.pcdiga.com/2/21468/HyperX-Predator-DDR4-3000MHz-2x16GB-HX430C15PB3K2-32,239.9,2016-09-16,
2418,740617258547,Componentes > Memórias > DDR3 > Mais de 1600Mhz,,HyperX Predator DDR3-2400MHz 2x4GB (HX324C11PB3K2/8),https://www.pcdiga.com/2/21481/HyperX-Predator-DDR3-2400MHz-2x4GB-HX324C11PB3K2-8,60.9,2016-09-16,
1374,843591088305,Periféricos > Ratos/Teclados > Teclados > Com Fio,,Teclado Corsair Gaming Strafe PT MX Red (CH-9000088-PT),https://www.pcdiga.com/2/21590/Teclado-Corsair-Gaming-Strafe-PT-MX-Red-CH-9000088-PT,129.9,2016-09-16,
2415,740617258615,Componentes > Memórias > DDR3 > Mais de 1600Mhz,,HyperX Predator DDR3-1866MHz 2x8GB (HX318C9PB3K2/16),https://www.pcdiga.com/2/21476/HyperX-Predator-DDR3-1866MHz-2x8GB-HX318C9PB3K2-16,98.9,2016-09-16,
1375,843591088312,Periféricos > Ratos/Teclados > Teclados > Com Fio,,Teclado Corsair Gaming Strafe RGB PT MX Red (CH-9000227-PT),https://www.pcdiga.com/2/21591/Teclado-Corsair-Gaming-Strafe-RGB-PT-MX-Red-CH-9000227-PT,169.9,2016-09-16,
3984,8806088406374,SmartPhones > Android,,Samsung Galaxy S7 32GB Rosa Dourado (SM-G930FEDATPH)+ Oferta,https://www.pcdiga.com/2/21597/Samsung-Galaxy-S7-32GB-Rosa-Dourado-SM-G930FEDATPH-Oferta,649,2016-09-16,
Cadeira Gaming AKRacing Pyro Preto/Vermelho (AK-6011-BR),8436532163883,Periféricos > Cadeiras,,Cadeira Gaming AKRacing Pyro Preto/Vermelho (AK-6011-BR),https://www.pcdiga.com/2/21599/Cadeira-Gaming-AKRacing-Pyro-Preto-Vermelho-AK-6011-BR,279,,
SSD SanDisk Externo Extreme 500 480GB (SDSSDEXT-480G-G25),,"Armazenamento > Discos Externos > USB 2.5""",,SSD SanDisk Externo Extreme 500 480GB (SDSSDEXT-480G-G25),https://www.pcdiga.com/2/21574/SSD-SanDisk-Externo-Extreme-500-480GB-SDSSDEXT-480G-G25,159.9,,
1203,8714909026758,Cablagem > USB,,Cabo Conceptronic Micro USB OTG (CLMICOTG),https://www.pcdiga.com/2/21524/Cabo-Conceptronic-Micro-USB-OTG-CLMICOTG,3.9,2016-09-16,
4417,842024037354,Armazenamento > Discos Internos > SSD > PCI-e / mSata,,SSD Toshiba OCZ RD400 256GB M.2 NVMe (RVD400-M22280-256G),https://www.pcdiga.com/2/21580/SSD-Toshiba-OCZ-RD400-256GB-M-2-NVMe-RVD400-M22280-256G,179.9,2016-09-16,
4418,842024037552,Armazenamento > Discos Internos > SSD > PCI-e / mSata,,SSD Toshiba OCZ RD400 256GB M.2 NVMe (RVD400-M22280-256G-A),https://www.pcdiga.com/2/21581/SSD-Toshiba-OCZ-RD400-256GB-M-2-NVMe-RVD400-M22280-256G-A,197.89,2016-09-16,
1204,8714909020909,Cablagem > SATA / SAS,,"Cabo Conceptronic eSATA Data 1,8m Preto (C30-301 001)",https://www.pcdiga.com/2/21525/Cabo-Conceptronic-eSATA-Data-1-8m-Preto-C30-301-001,2.9,2016-09-16,
1229,8714909023078,Armazenamento > Leitores Cartões,,Painel Frontal Conceptronic Card Reader+USB (CMULTIFP35U3),https://www.pcdiga.com/2/21526/Painel-Frontal-Conceptronic-Card-ReaderUSB-CMULTIFP35U3,7.9,2016-09-16,
2594,6947681530522,SmartPhones > Android,,"Lenovo Moto G4 5.5"" 16GB Dual SIM Preto (XT1622)",https://www.pcdiga.com/2/21577/Lenovo-Moto-G4-5-5-16GB-Dual-SIM-Preto-XT1622,219.9,,
Cabo LSI Mini-SAS to Sata SFF-8087 1m (LS-48085-00),,Cablagem > SATA / SAS,,Cabo LSI Mini-SAS to Sata SFF-8087 1m (LS-48085-00),https://www.pcdiga.com/2/17820/Cabo-LSI-Mini-SAS-to-Sata-SFF-8087-1m-LS-48085-00,19.9,2016-09-16,
4415,842024036388,Armazenamento > Discos Internos > SSD > PCI-e / mSata,,SSD Toshiba OCZ Revodrive 350 480GB (RVD350-FHPX28-480G),https://www.pcdiga.com/2/21575/SSD-Toshiba-OCZ-Revodrive-350-480GB-RVD350-FHPX28-480G,369.9,2016-09-16,
4416,842024037347,Armazenamento > Discos Internos > SSD > PCI-e / mSata,,SSD Toshiba OCZ RD400 128GB M.2 NVMe (RVD400-M22280-128G),https://www.pcdiga.com/2/21579/SSD-Toshiba-OCZ-RD400-128GB-M-2-NVMe-RVD400-M22280-128G,129.9,2016-09-16,
1230,8714909027014,Periféricos > Outros,,Recetor TV Conceptronic Android DVB-T (CTVDIGANG),https://www.pcdiga.com/2/21527/Recetor-TV-Conceptronic-Android-DVB-T-CTVDIGANG,19.9,2016-09-16,
"Portátil Acer Aspire E15 15.6"" E5-573G-324X (NX.MVMEB.017)",4713392446368,"Computadores > Portáteis > Ecrã 15.6""",,"Portátil Acer Aspire E15 15.6"" E5-573G-324X (NX.MVMEB.017)",https://www.pcdiga.com/2/21585/Portatil-Acer-Aspire-E15-15-6-E5-573G-324X-NX-MVMEB-017,299.9,,
"Portátil Acer Aspire F15 15.6"" F5-572G-798K (NX.GAFEB.003)",4713392446276,"Computadores > Portáteis > Ecrã 15.6""",,"Portátil Acer Aspire F15 15.6"" F5-572G-798K (NX.GAFEB.003)",https://www.pcdiga.com/2/21586/Portatil-Acer-Aspire-F15-15-6-F5-572G-798K-NX-GAFEB-003,469.9,,
"Portátil Acer Aspire V15 15.6"" V5-591G-76PT (NX.G66EB.005)",4713392514357,"Computadores > Portáteis > Ecrã 15.6""",,"Portátil Acer Aspire V15 15.6"" V5-591G-76PT (NX.G66EB.005)",https://www.pcdiga.com/2/21587/Portatil-Acer-Aspire-V15-15-6-V5-591G-76PT-NX-G66EB-005,679.89,,
WD My Book Live 1TB (WDBACG0010HCH-EESN),,Armazenamento > NAS,,WD My Book Live 1TB (WDBACG0010HCH-EESN),https://www.pcdiga.com/2/9690/WD-My-Book-Live-1TB-WDBACG0010HCH-EESN,69.9,,
Disco Western Digital Re 500GB SATA III 64MB (WD5003ABYZ),,"Armazenamento > Discos Internos > SATA > 3.5""",,Disco Western Digital Re 500GB SATA III 64MB (WD5003ABYZ),https://www.pcdiga.com/2/21179/Disco-Western-Digital-Re-500GB-SATA-III-64MB-WD5003ABYZ,84.89,,
2420,740617256550,Componentes > Memórias > DDR4 > 2400Mhz,,Kingston HyperX Fury DDR4-2400MHz 8GB (HX424C15FB2/8),https://www.pcdiga.com/2/21539/Kingston-HyperX-Fury-DDR4-2400MHz-8GB-HX424C15FB2-8,45.01,2016-09-16,
MSI GeForce GTX 1070 Founders Edition 8GB (912-V801-1290),4719072465322,Componentes > Placas Gráficas > PCI-E > NVidia,,MSI GeForce GTX 1070 Founders Edition 8GB (912-V801-1290),https://www.pcdiga.com/2/21496/MSI-GeForce-GTX-1070-Founders-Edition-8GB-912-V801-1290,519.99,,
781,,Componentes > Placas Som > Externas,,Placa Som Asus Xonar U7 USB ECHELON (90YB00BB-M0UC00),https://www.pcdiga.com/2/13340/Placa-Som-Asus-Xonar-U7-USB-ECHELON-90YB00BB-M0UC00,69.9,,
2421,740617258554,Componentes > Memórias > DDR3 > Mais de 1600Mhz,,HyperX Predator DDR3-2400MHz 2x8GB (HX324C11PB3K2/16),https://www.pcdiga.com/2/21541/HyperX-Predator-DDR3-2400MHz-2x8GB-HX324C11PB3K2-16,117.9,2016-09-16,
