Code,Description,Spicer_Code
PEN50GN,Pentel Marker Bullet Tip Green N50-D,016530
MK9795,Igenix 4Slice S/Steel Toaster Ig3204,016557
PES520BK,Pentel Signpen Fibretip Black S520-A,01659X
PES520R,Pentel Signpen Fibretip Red S520-B,016603
PES520BU,Pentel Signpen Fibretip Blue S520-C,016611
HM23580,Monolith Deluxe Laptop Case Blk 2358,016727
PEF50BK,Pentel Marker Chisel Tip Black F50-A,016832
PER50BK,Pentel Ballpentel Fine Black R50-A,016956
PER50BU,Pentel Ballpentel Fine Blue R50-C,016964
PER50R,Pentel Ballpentel Fine Red R50-B,016972
HM10181,Mesh Paper Clip Pot Black 10181,016980
PES570BK,Pentel Ultrafine Pen Black S570-A,017005
PES570BU,Pentel Ultrafine Pen Blue S570-C,017013
PES570R,Pentel Ultrafine Pen Red S570-B,017021
PES570GN,Pentel Ultrafine Pen Green S570-D,01703X
PE05151,Pentel Fpen Marble Barrel Black Jm20Mb-A,017129
AR80254,Artline Marker Black 90,017498
BR30126,Berol Colourfine Black Cf01,017501
UP20031,FF Vision Panoramic Print Fga119,017811
PEN60BK,Pentel Marker Chisel Tip Black N60-A,018078
PEN60BU,Pentel Marker Chisel Tip Blue N60-C,018086
PE1002B,Pentel Leads 0.5Mm Tube12 2B C505,018132
PE100H,Pentel Leads 0.5Mm Tube12 H C505,018140
PE1002H,Pentel Leads 0.5Mm Tube12 2H C505,018159
ST52450,Staedtler Mars Plastic Eraser 526-50,018221
ST10980,Staedtler Noris Pencil 2B 120-2B,018256
ST10982,Staedtler Noris Pencil Hb 120-Hb,018272
ST10987,Staedtler Noris Pencil 2H 120-2H,018299
ST41079,Staedtler Stick Bpen Fine Black 430-F9,018302
ST41067,Staedtler Stick Bpen Fine Blue 430-F3,018310
ST41061,Staedtler Stick Bpen Fine Red 430-F2,018337
ST41095,Staedtler Stick Bpen Med Black 430-M9,018353
ST41089,Staedtler Stick Bpen Med Blue 430-M3,018361
ST41086,Staedtler Stick Bpen Med Red 430-M2,01837X
DF47201,Deflecto Wall Sign Hldr A3 Portrait Clr,018868
DF46901,Deflecto Wall Sign Hldr A4 Landscape Clr,018876
DF47001,Deflecto Wall Sign Hldr A4 Portrait Clr,018884
ED180001BK,Edding Profipen 0.1 Black 1800,018914
ED180003BK,Edding Profipen 0.3 Black 1800,018922
ED180005BK,Edding Profipen 0.5 Black 1800,018930
DF47401,Deflecto Slanted Sign Holder A4 Clear,018949
DF47501,Deflecto Slanted Sign Holder A5 Clear,018957
DF47701,Deflecto Stand Up Sign Hldr A4 Lscp Clr,018965
DF47801,Deflecto Stand Up Sign Hldr A4 Port Clr,018973
DF47901,Deflecto Stand Up Sign Hldr A5 Port Clr,018981
DF48601,Deflecto Tent Sign Holder A4 Clear 48601,01899X
DF55501,Deflecto Stand Tall Lit Rack A4 55501,019030
GL03119,Sharpie China Marker Bullet Blk S0305071,019103
DF77501,Deflecto Lit Holder 1/3 A4 Clear 77501,01912X
DF74901,Deflecto Lit Holder A5 Clear 74901,019146
GL03218,Sharpie China Marker Bullet Red S0305081,019154
GL03515,Sharpie China Marker Bullet Ylw S0305101,019170
DF77001,Deflecto Lit Holder A4 Clear 77001,019189
CO94523,Canon Blk/Col Ink Tank and GP401 4x6 FOC,01918X
DF74501,Deflecto Lit Holder 2X1/3 A4 Clear 74501,019197
DF70101,Deflecto Business Card Holder 70101,019200
DF77701,Deflecto Lit Holder Dl 4 Tier Clr 77701,019219
DF77901,Deflecto Lit Holder A5 4 Tier Clr 77901,019227
DF77301,Deflecto Lit Holder A4 3 Tier Clr 77301,019235
DF52209,Deflecto Lit Holder A4 8Pckt Gry/Clear,019251
DF53009,Deflecto Lit Holder A5 4Pckt Gry/Clear,019308
DF76091,Deflecto Flat Back Lit Hldr 1/3 A4,019340
DF76391,Deflecto Literature Holder A5 Flat Back,019359
DF76491,Deflecto Literature Holder A4 Flat Back,019375
DF70801,Business Card Holder Desk 8P Clear 70801,019413
RH98112,Hp Office Paper A4 Wht Pk500 80G Hpf0317,019537
GL10701,Papermate Pencil Non-Stop Hb 10701,019626
PE17848,Pentel Clic Eraser With Rubber Grip,020054
MA99313,Mailing Box 270X190X80Mm Pk25 57Fp03,020097
MA99314,Mailing Box 330X270X80Mm Pk25 57Fp07,020100
BX03218,Elba Bright Square Cut Fldr FCap Purp,02136X
BX03220,Elba Bright Square Cut Fldr FCap Blue,021378
BX03226,Elba Bright Square Cut Fldr FCap Ylw,021408
AV03216,Elba SqCut Fldr Fcap Bright Astd P25,021416
BC74106,Bic Velleda Whiteboard Marker Blue,021555
BC41098,Bic Velleda DWipe Marker Black 1741,021563
EL67236,Rolodex Business File Black 400Cap 67236,02167X
EL67237,Rolodex Clas 200 Rot BusCard File Chrm,021688
EL67691,Rolodex BusCard Sleeves Clr Pk40,021718
AV98896,Avery Lsr 60Mm Boxfile Lbl 12Tv Pk25 Wht,022055
DW05501,Danone Evian Water 50cl A0103912 P24,022071
RX12010,Nyrex Cardholder 3.75X2.5 Pk25 Pgc321,02211X
RX12020,Nyrex Cardholder 5X3 Pk25 Pgc531,022128
RX12060,Nyrex Cardholder A5 Pk25 Pgca5,022160
DW06301,Danone Evian Water 33cl A0106212  P24,022179
RX12081,Nyrex Cardholder A4 Short Pk25 Pgca41,022187
RX12121,Nyrex Cutback Fldr Clr Pvc P25 12121,022225
DW11164,Volvic Water 50cl 11080022 P24,022322
RX12233,Nyrex Pocket Pvc Opentop Clear P25 Npra4,022462
RX12253,Nyrex Pocket Pvc Opedge Clear Pk25 Pra4L,022489
RX12263,Nyrex Pocket Pvc Opedge Clear Pk25 R149L,022497
CPD01890,Parozone Bleach 750ml KJEYSPB,022608
CPD54850,Finish Dishwasher Cleaner 250ml,022772
QM01829,Konica Magicolor 330 Toner Cartridge Blk,023433
QM01830,Konica Magicolor 330 Toner Cartridge Cyn,023441
QM01832,Konica Magicolor 330 Toner Cartridge Mag,02345X
QM01831,Konica Magicolor 330 Toner Cartridge Ylw,023468
SS14646,Write-4-All Pen Perm Blk Med 1Mm 146/46,023662
ST53063,Staedtler Rasoplast Eraser 526-B30,023700
BZ91080,Knorr In Cup Chicken Soup Pk25 A06091,023859
SS13467,Stabilo Swing Cool Hltr Yellow 275/24,023875
OL80805,Olivetti Liftoff Tape Etcart 80805A,024498
BK00181,Bostik Blu-Tack Handy Pack 60Gm,024552
HK1033,Pritt Stick Standard 11G 1478529,024900
HK1034,Pritt Stick Medium 20G 1034/1734 2002,024927
HK1035,Pritt Stk 43G Db 24X3 Uk,024935
SE0244,Sellotape Case Sealing Tape 38Mmx66M,025000
SE0246,Sellotape Case Sealing Tape 50Mmx66M,025019
HK20752,Pritt Sticky Tac White 841737,025086
SE2280,Sellotape Doublesided Tape 12Mmx33M 2280,025108
SE2281,Sellotape Doublesided Tape 25Mmx33M,025116
SE2294,Sellotape Doublesided Tape 50Mmx33M 2294,025124
SE15501,Sellotape Doublesided Tape 15Mmx5M 5501,025132
SE0032,Sellotape Clear 18Mmx66M 0032,025566
3M66729,Scotch 810 Magic Tape 19Mmx33M,025701
3M66725,Scotch 810 Magic Tape 12Mmx66M,02571X
3M66726,Scotch 810 Magic Tape 19Mmx66M,025728
3M66740,Scotch 810 Magic Tape 25Mmx66M,025736
3M01401,3M Postit Note 38X51Mm Yellow 266,025833
3M01403,3M Postit Note 76X76Mm Yellow 654,025841
3M01417,3M Postit Note 76X127Mm Yellow 655,02585X
AVOML102,Avery Micro Lbl 102X37 1W Pk1000 Oml102,026677
AVOML103,Avery Micro Lbl 102X49 1W Pk750 Oml103,026693
AVOML14,Avery Wp Lbl 98X38 A4/14 1400 Oml14,026707
AVDPS16W,Avery Copier Lbl 105X37 Wht Pk100 Dps16,026731
AVDPS08W,Avery Copier Lbl 105X71 Wht Pk100 Dps08,02674X
AV52001,Avery Franking Lbl Dbl All MC Wht AVFL01,026758
WV6500P,Legal Tape 6Mmx500M Pink,027281
WV00070,Pink Tape 3/8In 500 Metre Reel,02729X
JT23603,Concord Computer File 413X11 Blue 23603,027338
JT23503,Concord Computer File 394X11 Blue 23503,027362
LX10730,Scalerule Triangular 100-500 30Cm 312,027842
LX10175,Scalerule Triangular 500-2500 30Cm 314,027850
LX10178,Scalerule Triangular 1-15-100 30Cm 318,027869
LX19342,Template Combi And Ink Bosses Gn 11705,027877
EP50033,Epson Aculaser C2000 Toner Black,028414
EP41332,Epson Premium S/Gls Photo Ppr A4 Pk20,028430
EP41334,Epson Premium S/Gls Photo Ppr A3 P20,028481
EP41342,Epson A4 Archival Matte Paper Pk50,02849X
EP15073,Epson Ribbon Colour Lx300 S015073,028503
BA54416,Brother Therm Rbn Refill Blk Pk2 Pc302Rf,028724
BA54423,Brother Therm Rbn Refill Blk Pk4 Pc304,028732
BRT10879,7Up Diet 330ml Can Pk24 3389,028740
BRT12423,Britvic Orange Juice Can 330ml Pk24,028767
SE04529,Sellotape Bench Dispenser Chrome Small,029029
3M39784,Postit Index Millenium Disp 3 Bright Col,031625
