name,id,old,new
ablekitchen.com,397501,Star Manufacturing Intl,Star
katom.com,397503,Star Manufacturing,Star
instawares.com,397505,Star Manufacturing,Star
tigerchef.com,397489,Sunbeam,Sunbeam
acitydiscount.com,397497,"Sunbeam Products, Inc",Sunbeam
tigerchef.com,397489,Tablecraft,Tablecraft
wasserstrom.com,397491,Tablecraft Products,Tablecraft
culinarydepotinc.com,397507,Tablecraft,Tablecraft
foodservicewarehouse.com,397493,Tablecraft,Tablecraft
lionsdeal.com,397495,TableCraft,Tablecraft
webstaurantstore.com,397499,Tablecraft,Tablecraft
ablekitchen.com,397501,TableCraft,Tablecraft
katom.com,397503,Tablecraft,Tablecraft
instawares.com,397505,TableCraft Products Company,Tablecraft
tigerchef.com,397489,Thunder Group,Thunder Group
wasserstrom.com,397491,Thunder Group,Thunder Group
culinarydepotinc.com,397507,Thunder Group,Thunder Group
foodservicewarehouse.com,397493,Thunder Group,Thunder Group
lionsdeal.com,397495,Thunder Group,Thunder Group
ablekitchen.com,397501,Thunder Group,Thunder Group
instawares.com,397505,"Thunder Group, Inc","Thunder Group, Inc"
ckitchen.com,397487,Toastmaster,Toastmaster
tigerchef.com,397489,Toastmaster,Toastmaster
wasserstrom.com,397491,Toastmaster,Toastmaster
acitydiscount.com,397497,Toastmaster,Toastmaster
webstaurantstore.com,397499,Toastmaster,Toastmaster
katom.com,397503,Toastmaster,Toastmaster
instawares.com,397505,Toastmaster,Toastmaster
instawares.com,397505,TOAST MASTER INC.,Toastmaster
tigerchef.com,397489,True Refrigeration,True Refrigeration
wasserstrom.com,397491,True Food Service,True Refrigeration
culinarydepotinc.com,397507,True Refrigeration,True Refrigeration
foodservicewarehouse.com,397493,TRUE,True Refrigeration
acitydiscount.com,397497,True Manufacturing,True Refrigeration
acitydiscount.com,397497,True Refrigeration,True Refrigeration
webstaurantstore.com,397499,True Refrigeration,True Refrigeration
ablekitchen.com,397501,True Refrigerators and Freezers,True Refrigeration
katom.com,397503,TRUE Refrigeration,True Refrigeration
instawares.com,397505,True Refrigeration,True Refrigeration
instawares.com,397505,TRUE,True Refrigeration
ckitchen.com,397487,Turbo Air,Turbo Air
tigerchef.com,397489,Turbo Air,Turbo Air
wasserstrom.com,397491,Turbo Air,Turbo Air
culinarydepotinc.com,397507,Turbo Air,Turbo Air
foodservicewarehouse.com,397493,Turbo Air,Turbo Air
acitydiscount.com,397497,Turbo Air,Turbo Air
webstaurantstore.com,397499,Turbo Air,Turbo Air
ablekitchen.com,397501,Turbo Air,Turbo Air
katom.com,397503,Turbo Air,Turbo Air
instawares.com,397505,Turbo Air,Turbo Air
ckitchen.com,397487,Tuxton China,Tuxton China
ckitchen.com,397487,Tuxton,Tuxton China
tigerchef.com,397489,Tuxton China,Tuxton China
wasserstrom.com,397491,Tuxton China,Tuxton China
culinarydepotinc.com,397507,Tuxton China,Tuxton China
lionsdeal.com,397495,Tuxton,Tuxton China
acitydiscount.com,397497,Tuxton China Inc,Tuxton China
webstaurantstore.com,397499,Tuxton,Tuxton China
ablekitchen.com,397501,Tuxton,Tuxton China
katom.com,397503,Tuxton,Tuxton China
instawares.com,397505,Tuxton®©,Tuxton China
instawares.com,397505,Tuxton China,Tuxton China
tigerchef.com,397489,Update International,Update International
wasserstrom.com,397491,Update International,Update International
culinarydepotinc.com,397507,Update International,Update International
foodservicewarehouse.com,397493,Update International,Update International
lionsdeal.com,397495,Update International,Update International
acitydiscount.com,397497,Update International,Update International
ablekitchen.com,397501,Update International,Update International
katom.com,397503,Update International,Update International
instawares.com,397505,Update International,Update International
tigerchef.com,397489,Vertex,Vertex
wasserstrom.com,397491,Vertex China,Vertex
ablekitchen.com,397501,Vertex China and Dinnerware,Vertex
instawares.com,397505,Vertex China,Vertex
tigerchef.com,397489,Victorinox,Victorinox
wasserstrom.com,397491,Victorinox,Victorinox
culinarydepotinc.com,397507,Victorinox-Forschner,Victorinox
foodservicewarehouse.com,397493,Victorinox,Victorinox
webstaurantstore.com,397499,Victorinox,Victorinox
ablekitchen.com,397501,Forschner Knives and Cutlery,Victorinox
katom.com,397503,Victorinox - Swiss Army,Victorinox
instawares.com,397505,RH Forschner,Victorinox
instawares.com,397505,Victorinox,Victorinox
tigerchef.com,397489,Victory,Victory
wasserstrom.com,397491,Victory Refrigeration,Victory
culinarydepotinc.com,397507,Victory,Victory
foodservicewarehouse.com,397493,Victory,Victory
lionsdeal.com,397495,Victory,Victory
acitydiscount.com,397497,Victory,Victory
acitydiscount.com,397497,Victory Refrigeration,Victory
katom.com,397503,Victory Refrigeration,Victory
instawares.com,397505,Victory Refrigeration Company,Victory
tigerchef.com,397489,Vollrath,Vollrath
wasserstrom.com,397491,Vollrath,Vollrath
culinarydepotinc.com,397507,Vollrath,Vollrath
foodservicewarehouse.com,397493,Vollrath,Vollrath
acitydiscount.com,397497,Vollrath,Vollrath
webstaurantstore.com,397499,Vollrath,Vollrath
katom.com,397503,Vollrath,Vollrath
instawares.com,397505,Vollrath,Vollrath
tigerchef.com,397489,Walco,Walco
wasserstrom.com,397491,Walco Organization,Walco
wasserstrom.com,397491,Walco Stainless,Walco
foodservicewarehouse.com,397493,Walco,Walco
ablekitchen.com,397501,Walco,Walco
katom.com,397503,Walco,Walco
instawares.com,397505,Walco,Walco
tigerchef.com,397489,Waring,Waring
wasserstrom.com,397491,Waring Products,Waring
culinarydepotinc.com,397507,Waring,Waring
foodservicewarehouse.com,397493,Waring,Waring
acitydiscount.com,397497,Waring,Waring
webstaurantstore.com,397499,Waring,Waring
ablekitchen.com,397501,Waring (division of Conair),Waring
katom.com,397503,Waring,Waring
instawares.com,397505,Waring Commercial,Waring
tigerchef.com,397489,Wells,Wells
wasserstrom.com,397491,Wells Manufacturing,Wells
culinarydepotinc.com,397507,Wells,Wells
acitydiscount.com,397497,Wells,Wells
webstaurantstore.com,397499,Wells,Wells
ablekitchen.com,397501,Wells Commercial Cooking Equipment,Wells
katom.com,397503,Wells,Wells
instawares.com,397505,Wells,Wells
tigerchef.com,397489,Winco,Winco
wasserstrom.com,397491,Winco,Winco
culinarydepotinc.com,397507,Winco,Winco
lionsdeal.com,397495,Winco,Winco
ablekitchen.com,397501,Winco,Winco
katom.com,397503,Winco,Winco
instawares.com,397505,Winco D.W.L.,Winco
instawares.com,397505,Winco,Winco
