name,category,price,code,brand,id,image_url
Tondeuse robot : Automower 320,Robotic,2649,Automower 320,Husqvarna,167,http://cdn.husqvarna.com/dimage.axd/productDetail/h310-0867/automower-320-5c36dee6.png
Tondeuse robot : Automower 330X,Robotic,3099,Automower 330X,Husqvarna,168,http://cdn.husqvarna.com/dimage.axd/productDetail/h310-0866/automower-330x-22750bc.png
Tondeuse robot : Automower 220AC,Robotic,2239,Automower 220 AC,Husqvarna,169,http://cdn.husqvarna.com/dimage.axd/productHuge/h310-0315/288b83d4.jpg
Tondeuse robot : Automower 265ACX,Robotic,4699,Automower 265 ACX,Husqvarna,170,http://cdn.husqvarna.com/dimage.axd/productDetail/h310-0662/automower-265-acx-7c7a7fc3.png
Tronçonneuse professionnelle 550 XP,Handheld,809,550 XP,Husqvarna,171,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0270/550-xp-2163f805.png
Tronçonneuse professionnelle 560 XP,Handheld,989,560 XP,Husqvarna,172,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0315/560-xp-7a81eed1.png
Tronçonneuse professionnelle 562 XP,Handheld,1009,562 XP,Husqvarna,173,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0243/tronconneuse-professionnelle-562-xp-1f7426eb.png
Tronçonneuse semi professionnelle 435,Handheld,385,435,Husqvarna,174,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0325/435-4f23e168.png
Tronçonneuse semi professionnelle 450 e-series,Handheld,669,450e,Husqvarna,175,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0332/450-e-series-5c37badc.png
Elagueuse T540 XP,Handheld,709,T 540 XP,Husqvarna,176,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0184/t540-xp-3963f93f.png
,Handheld,,365 SP,Husqvarna,177,
Tronçonneuse professionnelle 365 X-Torq,Handheld,859,365 XT,Husqvarna,178,http://cdn.husqvarna.com/dimage.axd/productDetail/h110-0031/tronconneuse-professionnelle-365-x-torq-58c250e4.png
,Tractors,,TS 1097,Husqvarna,179,
,Tractors,,TS 1107,Husqvarna,180,
,Tractors,,TC 1077,Husqvarna,181,
,Tractors,,TC 1097,Husqvarna,182,
,Tractors,,TS 2097,Husqvarna,183,
,Tractors,,TS 2107,Husqvarna,184,
,Tractors,,TC 2097,Husqvarna,185,
,Tractors,,TC 2107,Husqvarna,186,
,Tractors,,TS 3107,Husqvarna,187,
,Tractors,,TS 3117,Husqvarna,188,
,Tractors,,TC 3097,Husqvarna,189,
,Tractors,,TC 3107,Husqvarna,190,
robot de tonte TANGO E5,Robotic,2407,Tango e5,John Deere,191,http://www.deere.fr/common/media/images/product/equipment/autonomous_mower/tango_e5/r2/hero/r2z004919_tango_642x462.png
,Wheeled,,X125,John Deere,192,
,Wheeled,,X125,John Deere,193,
,Wheeled,,X145,John Deere,194,
,Wheeled,,X 135 R,John Deere ,195,
,Pro electric,,BUC250RD,Makita,196,http://www.makita-groupe.fr/images/200_200/BUC250RDEP.jpg
,Pro electric,,BUB360Z,Makita,197,
,Pro electric,,CS250,Oregon,198,
,Pro electric,,ST250,Oregon,199,
,Pro electric,,HT250,Oregon,200,
,Pro electric,,HT255,Oregon,201,
,Pro electric,,PS250,Oregon,202,
,Pro electric,,C15,Pellenc,203,
,Pro electric,,C20,Pellenc,204,
,Pro electric,,excelion 2000,Pellenc,205,
,Pro electric,,excelion 1200,Pellenc,206,
,Pro electric,,Helion Pole,Pellenc,207,
,Pro electric,,Helion Telescopic,Pellenc,208,
,Pro electric,,Helion Universal,Pellenc,209,
,Pro electric,,Airion,Pellenc,210,
,Pro electric,,Selion P130,Pellenc,211,
,Pro electric,,Selion P180,Pellenc,212,
,Pro electric,,Selion T150/200,Pellenc,213,
,Pro electric,,Selion T220/300,Pellenc,214,
Robomow RS 612,Robotic,1799,RS 612,Robomow,215,http://www.robomow.com/images/products/small/mgm-rs-612.png
Robomow RC 306,Robotic,1299,RC 306,Robomow,216,http://www.robomow.com/images/products/small/mgm-rc-306.png
Robomow RC 304,Robotic,1099,RC 304,Robomow,217,http://www.robomow.com/images/products/small/sgm-rc-304.png
Robomow RS 622,Robotic,2099,RS 622,Robomow,218,http://www.robomow.com/images/products/small/lgm-rs-622.png
Robomow RS 630,Robotic,2699,RS 630,Robomow,219,http://www.robomow.com/images/products/small/lgm-rs-630.png
Robomow TC 500,Robotic,1299,TC 500,Robomow,220,http://www.robomow.com/images/products/small/mgm-tc-500.png
