sku,name,price,brand_id,brand,brand_type,department_desc,category,sub_category,segment
8333680,Lady Jayne Bun Styler Large Light,$7.00,LADJ,LADY JAYNE,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access Lady Jayne
8372701,Trolli Pingummi bag 150G,$2.15,TROL,TROLLI,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Jellies/Gummies
781927,Lindt Lindor Strawberry & Cream Box 150g,$12.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Lindt
794871,Cadbury Cherry Ripe Bites 150g,$3.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Sharepacks,Bitesize
126397,Lindt Lindor Balls Gift Box Milk 150g,$12.00,LIND,LINDT,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Lindt
82390,Werthers Original 3pk 150g,$3.40,WERT,WERTHERS,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Caraml Toffe Sugar
255713,Menz Fruchocs Dark Apricot & Peach 150g,$4.50,MENZ,MENZ,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Oth Choc Conf Bags
311392,Dry Idea Antiperspirant Deodorant Baby Powder 150g,$4.95,DRYI,DRY IDEA,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Womens Sprays
1079,Rexona Men Antiperspirant Original 250ml,$6.50,REXO,REXONA,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Mens Sprays
31193,Schwarzkopf Extra Care Mousse Strong hold Volume defense 150g,$4.95,SCHF,SCHWARZKOPF,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Mousse
231529,Rexona Women Antiperspirant Cotton Dry 250ml,$6.23,REXO,REXONA,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Womens Sprays
194324,Schwarzkopf Taft Gel Styling Spike extreme Hold 150g,$4.85,SCHF,SCHWARZKOPF,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Gels
313442,Majans Bhuja Original Mix 150g,$3.30,MAJA,MAJANS,National Trusted Brand,Everyday Needs,Food & Snacks,Nuts,Nobbys
730954,Menz Mini Choc Honey comb 150g,$3.00,MENZ,MENZ,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Oth Choc Conf Bags
88169,White Glo Toothpaste Professional 150g,$5.55,WHIG,WHITE GLO,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Toothpaste
377558,Pringles Original 150g,$4.00,PRIG,PRINGLES,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Other
46358,Trolli Strawberry Clouds 150G,$2.15,TROL,TROLLI,National Trusted Brand,Everyday Needs,Confectionery,Confect Bags,Jellies/Gummies
8332302,Menz Turk Delight 150G,$3.00,MENZ,MENZ,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Oth Choc Conf Bags
159440,St Ives Scrub Apricot Invigorating 150ml,$9.50,STIV,ST IVES,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Other-Skincare
308028,Clean & Clear Deep Daily Scrub 150ml,$9.95,CLEN,CLEAN & CLEAR,National Trusted Brand,Everyday Needs,Beauty Care,Teenage Skincare,Clean & Clear
253577,Nivea Deodorant Pearl & Beauty 92g,$5.50,NIVE,NIVEA,National Trusted Brand,Everyday Needs,Toiletries,Deodorants,Womens Sprays
179528,Le Tan Handsfree Deep Bronze 150ml,$12.95,LETA,LE TAN,National Trusted Brand,Everyday Needs,Beauty Care,Suncare,Tanning
277145,Le Tan In Le Can Deep Bronze Glow 150g,$13.75,LETA,LE TAN,National Trusted Brand,Everyday Needs,Beauty Care,Suncare,Tanning
4722,Olay Classic Moisturising Day Lotion Sensitive 150ml,$14.92,OLAY,OLAY,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Olay
43097,Garnier Pure Active Fruit Energy Scrub 150ml,$11.95,GARN,GARNIER,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Garnier
253582,Olay Complete Day Uv15 Normal/dry 150ml,$14.75,OLAY,OLAY,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Olay
253584,Olay Complete Day Uv15+ Lotion 150ml,$14.95,OLAY,OLAY,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Olay
7678226,Palmer's Skin Oil 150ML THERAPY OIL,$17.95,PALR,PALMER'S,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Body,Palmers
98590,Mars Milky Way 25g,$0.75,MARS,MARS,National Trusted Brand,Everyday Needs,Chocolate,Impulse Chocolate,Kids
7250453,So..Eternal EDT 30ML Spray,$14.00,SO,SO,National Trusted Brand,Everyday Needs,Beauty Care,Fragrance,General Fragrance
8353100,Eylure Naturals Texture,$12.95,EYLU,EYLURE,National Trusted Brand,Everyday Needs,Beauty Care,Beauty Accessories,Lashes
728574,Cadbury Block Bubbly Milk 155g,$3.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Cadbury
248025,Bonjela Mouth Ulcer Gel 15g,$8.95,BONJ,BONJELA,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,Other
724875,Dominate Mini Styling Pots 15G,$2.00,DOMI,DOMINATE,National Trusted Brand,Everyday Needs,Toiletries,Travel Toiletries,Hair
79384,Bonjela Teething Gel 15g,$9.00,BONJ,BONJELA,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Toiletries,Medicated & Creams
755388,Nude By Nature Mineral Cover Dark 15g,$39.95,NUDE,NUDE BY NATURE,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Nude By Nature,Face
755387,Nude By Nature Mineral Bronzer 15g,$39.95,NUDE,NUDE BY NATURE,National Trusted Brand,Everyday Needs,Nat Brand Cosmetic,Nude By Nature,Face
830753,Garnier Miracle Skin Eye Cream 15ml,$19.95,GARN,GARNIER,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Garnier
316019,Pantene Treatment 3 Minute Miracle 3x15ml,$9.00,PANT,PANTENE,National Trusted Brand,Everyday Needs,Toiletries,Shampoo&Conditionr,Treatments
159444,St Ives Scrub Apricot Blemish Control 150ml,$9.50,STIV,ST IVES,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Other-Skincare
46543,Snackworld Popcorn 15PK,$5.50,SNWL,SNACKWORLD,National Trusted Brand,Everyday Needs,Food & Snacks,Popcorn,Coolpack
46546,Vege Crackers 15PK,$5.50,SNWL,SNACKWORLD,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Smiths
336768,Kelloggs LCM Rice Bubbles 15pk 330g,$7.95,KELL,KELLOGGS,National Trusted Brand,Everyday Needs,Food & Snacks,Lunchbox,Other
720363,Elastoplast Tough Fab Water Proof 16ea,$3.95,ELAS,ELASTOPLAST,National Trusted Brand,Everyday Needs,Toiletries,Medicinal,First Aid
715903,Cadbury Bar Jelly Crunchie 50g,$1.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Impulse Chocolate,King Size Bars
828973,Cadbury Caramels 160g,$3.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Pascall
828985,Cadbury Clinkers 160g,$3.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Pascall
207486,Simple Replenish Rich Moisturiser 125ml,$9.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
207497,Simple Toner Purifying 200ml,$9.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
98415,Cadbury Bar Furry Friends 5pk 75g,$2.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Block Chocolate,Cadbury
207489,Simple Moisturiser Hydrating Light 125ml,$9.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
9030,Nescafe Dolce Gusto Skinny Cappucino 16pk,$8.45,DOLC,DOLCE GUSTO,National Trusted Brand,Everyday Needs,Drinks,Beverages,Coffee Pods
8077295,Cadbury Roses 1KG Silver,$26.00,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
349932,Cadbury Boxed Choc Milk Tray 200g,$9.00,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
353082,Cadbury Roses Silver 225g,$7.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
353084,Cadbury Roses Silver 450g,$15.96,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
8355309,Davinci Mens Bag & Tools,$24.95,DAVC,DA VINCI,National Trusted Brand,Everyday Needs,Toiletries,Mens Toiletries,Mens Toiletry Bags
8077301,Cadbury Large Milk Tray 560G,$20.00,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
207488,Simple Wipes Cleansing 25pk,$6.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
14799,Davinci Double Zip Toilettries Bag,$19.95,DAVC,DA VINCI,National Trusted Brand,Everyday Needs,Toiletries,Mens Toiletries,Mens Toiletry Bags
98122,Cadbury Pascall Chocolate Eclairs 200g,$3.00,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Pascall
97500,Cadbury Boxed Choc Roses 150g,$5.75,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Cadbury
314984,Simple Cleanser Foaming Wash 150ml,$9.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
8360153,Mm Kids Normal Hair Brush,$20.50,KEYS,KEYSUN,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Brushes Other
8360152,Mm Kids Fine Hair Brush,$20.50,KEYS,KEYSUN,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Brushes Other
207769,Simple Eye Makeup Remover 125ml,$9.95,SIMP,SIMPLE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Naturals
8360154,Mm Kids Thick Hair Brush,$20.50,KEYS,KEYSUN,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Brushes Other
5301911,Scunci 18PK Hair Elastic Black,$8.00,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
5301935,Scunci 18PC Brites Hair Elastics,$8.00,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
6213046,Scunci 18PC Hair Elastic Navy,$8.00,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
32539,Heinz Baby Teethng Rusks 6mth 100g,$3.50,HEIN,HEINZ,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Snacks
5302024,Scunci 6PC Scrunchi MINI Black,$8.00,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
740552,Poise Pad Regular 16ea,$6.00,POIS,POISE,National Trusted Brand,Everyday Needs,Hygiene,Adult Care,Pads
306079,Only Organic Stage2 Pasta Bolognse 170g,$1.85,ONLY,ONLY ORGANIC,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Jars
306082,Only Organic Stage2 Mango Banana Bliss 170g,$1.85,ONLY,ONLY ORGANIC,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Jars
708659,Heinz Chicken & Vege Risotto 170g,$1.85,HEIN,HEINZ,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Jars
892757,Whitmans Assorted Box 170GM,$7.95,WHIT,WHITMANS,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Other
5734771,Whitmans Milk Box 170GM,$7.00,WHIT,WHITMANS,National Trusted Brand,Everyday Needs,Chocolate,Boxed Chocolate,Other
300357,Macleans Protect Freshmint Toothpaste 170g,$2.50,MACL,MACLEANS,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Toothpaste
826700,Doritos Corn Chips Nacho Cheese 170g,$2.95,DORI,DORITOS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Doritos
826552,Colgate Total Pro Clinical Breath 170g,$6.95,COLG,COLGATE,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Toothpaste
291186,Raffertys Chicken Basalmic Tomato Pasta 170g,$2.40,RAFF,RAFFERTY'S GARDEN,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Pouches
291172,Raffertys Sweet Potato & Lamb Casserole 170g,$2.40,RAFF,RAFFERTY'S GARDEN,National Trusted Brand,Everyday Needs,Baby Consumables,Baby Food,Pouches
826729,Smiths Crinkle Cut Chips Chicken 170g,$2.95,SMIT,SMITHS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Smiths
4187660,Symphony Tissues 170S X 4 MULTIPACK,$5.00,UBYK,U BY KOTEX,National Trusted Brand,Everyday Needs,Hygiene,Facial Tissues,Multipacks
332426,Smiths Chip Thinly cut Sour Cream & Onion 175g,$2.95,SMIT,SMITHS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Smiths
274324,Thins Chips Originl saltd 175g,$2.95,THIN,THINS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Thins
329428,Grainwaves Sour Cream & Chives 175g,$3.65,GRAI,GRAINWAVES,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Grainwaves
829674,Grainwaves Salt & Pepper 175g,$3.65,GRAI,GRAINWAVES,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Grainwaves
826329,Smiths Maxx Crushed Salt 175g,$4.00,SMIT,SMITHS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Smiths
826361,Smiths Maxx Barbeque Ribs 175g,$4.00,SMIT,SMITHS,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Smiths
355054,Neutrogena Deep Clean Foam Cleanser Grapfruit175ml,$14.95,NEUT,NEUTROGENA,National Trusted Brand,Everyday Needs,Beauty Care,Teenage Skincare,Nuetrogena
5774036,Scunci 14PC Flat Elastic BLACK,$8.00,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
780731,Mars Pods Cookies & Cream 176g,$4.00,MARS,MARS,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Oth Choc Conf Bags
258286,Biore Pore Blackhead Cream Cleanser 100ml,$12.82,BIOR,BIORE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Other-Skincare
5302512,Scunci 60PC Elastics 4MM,$9.95,SCUN,SCUNCI,National Trusted Brand,Everyday Needs,Toiletries,Hair Accessories,Access scunci
370083,Whittakers Share pack Peanut Slab 12pc180g,$4.75,WHIK,WHITTAKERS,National Trusted Brand,Everyday Needs,Chocolate,Sharepacks,Funsize
793238,Lynx Wax Clean Cut Look 75ml,$9.95,LYNX,LYNX,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Wax
785007,Tresemme Mask Strength Conditioner 180ml,$10.95,TRES,TRESEMME,National Trusted Brand,Everyday Needs,Toiletries,Hair Styling,Spray
828969,Pascall Pineapple Lumps 185g,$3.95,CADB,CADBURY,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Pascall
