Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2015,60057,1/1/2014,Camper Van,0,C,0,C,LEGO® City Great Vehicles,16.24,Full Year,6059061,35%,3,24.99
2/28/2015,60059,1/1/2014,Logging Truck,0,A,0,A,LEGO® City Great Vehicles,16.24,Jan/Feb Only,6059065,35%,3,24.99
7/31/2015,75031,3/1/2014,TIE Interceptor™,0,A,0,A,LEGO® Star Wars™,9.09,Spring Only,6060907,30%,5,12.99
7/31/2015,75032,3/1/2014,X-Wing Fighter™,0,A,0,A,LEGO® Star Wars™,9.09,Spring Only,6060910,30%,5,12.99
2/28/2015,76004,1/1/2013,Spider-Man™: Spider-Cycle Chase,0,A,0,A,LEGO® Super Heroes,17.49,Jan/Feb Only,6024705,30%,3,24.99
2/28/2015,76005,1/1/2013,Spider-Man™: Daily Bugle Showdown,0,A,0,A,LEGO® Super Heroes,41.99,Jan/Feb Only,6024707,30%,3,59.99
2/28/2015,76006,3/7/2013,Iron Man™: Extremis™ Sea Port Battle,0,A,0,A,LEGO® Super Heroes,17.49,Jan/Feb Only,6024709,30%,3,24.99
2/28/2015,76007,3/7/2013,Iron Man™: Malibu Mansion Attack,0,A,0,A,LEGO® Super Heroes,34.99,Jan/Feb Only,6024711,30%,4,49.99
2/28/2015,76008,3/7/2013,Iron Man™ vs. The Mandarin™: Ultimate Sh,0,A,0,A,LEGO® Super Heroes,11.19,Jan/Feb Only,6043538,30%,5,15.99
2/28/2015,9450,8/1/2012,Epic Dragon Battle,0,A,0,A,LEGO® Ninjago,84.49,Jan/Feb Only,4653097,35%,2,129.99
2/28/2015,60025,8/1/2013,Grand Prix Truck,0,A,0,A,LEGO® City Great Vehicles,24.79,Jan/Feb Only,6025049,38%,3,39.99
2/28/2015,60023,8/1/2013,LEGO® City Starter Set,0,A,0,A,LEGO® City Town,24.79,Jan/Feb Only,6024998,38%,4,39.99
7/31/2015,70161,8/1/2014,Tremor Track Infiltration,0,A,0,A,LEGO® Ultra Agents,15.49,Spring Only,6061518,38%,3,24.99
12/31/2015,70160,8/1/2014,Riverside Raid,0,A,0,A,LEGO® Ultra Agents,9.91,Full Year,6061516,38%,5,15.99
7/31/2015,70163,8/1/2014,Toxikita's Toxic Meltdown,0,A,0,A,LEGO® Ultra Agents,30.99,Spring Only,6061522,38%,4,49.99
12/31/2015,70162,8/1/2014,Infearno Interception,0,A,0,A,LEGO® Ultra Agents,24.79,Full Year,6061520,38%,3,39.99
