SKU,BRAND,NAME,PRODUCT CODE,PRICE,AVAILABILITY,CAT LONG,URL
11092816510858,Fender,"Fender Standard Stratocaster HSS MN Black, Tinted Neck",144702506,460.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816510858
11092910292058,Fender,"Fender Standard Telecaster LH MN Brown Sunburst, Tinted Neck",145122532,498.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092910292058
11092910335158,Fender,"Fender Standard Telecaster LH MN Lake Placid Blue, Tinted Neck",145122502,470.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092910335158
13122413501332,Fender,KURT COBAIN JAGUAR LH NOS 3TSB,143021700,1112.00,0,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=13122413501332
12081716253388,Fender,"American Vintage '65 Jazzmaster®, Round-Lam Rosewood Fingerboard, 3-Color Sunburst",112200800,1410.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12081716253388
12031012463832,Fender,"American Standard Stratocaster, MN, Black",113002706,1112.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031012463832
14121914000858,Fender,"American Standard Stratocaster® HSS Shawbucker™, Rosewood Fingerboard, Sienna Sunburst",113110747,1160.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14121914000858
03121113331518,Fender,´50´s Stratocaster - MN - Daphne Blue,131002304,565.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121113331518
14072911002232,Fender,CLSC PLYR STRAT HH RW MRC BLU,141120368,661.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14072911002232
03121114043218,Fender,´60´s Stratocaster - RW - 3 Color Sunburst,131000300,594.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114043218
05120216420928,Fender,´60´s Stratocaster - RW - Candy Apple red,131000309,565.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=05120216420928
08020116092338,Fender,´70´s Stratocaster - MN - Olympic White,137002305,632.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=08020116092338
03121114135018,Fender,´72 Telecaster Thinline - MN - Natural Ash,137402321,978.00,1,Guitars - Electric - Semi Acoustic,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114135018
08070411451729,Fender,Classic Player Jaguar - Candy Apple Red,141700309,824.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=08070411451729
11051211372917,Fender,Classic Player Jaguar HH - Sunburst,141710300,863.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11051211372917
08103114275338,Fender,Classic Player Jazzmaster - Sunburst,141600300,863.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=08103114275338
13090213081132,Fender,DLX ROADHOUSE STRAT MN VWT,145012341,603.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13090213081132
11092816582358,Fender,"Fender Standard Stratocaster HSS MN Lake Placid Blue, Tinted Neck",144702502,460.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816582358
150904289161008,Fender,American Special Strat RW Sonic Blue (2015),115600372,776.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=150904289161008
03121115400018,Fender,Jeff Beck Stratocaster - RW - Olympic White ,119600805,1506.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121115400018
14121916274358,Fender,DAVE MURRAY STRAT HHH MN 2TSB,141010303,719.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14121916274358
12081716223788,Fender,"American Vintage '65 Jaguar®, Round-Lam Rosewood Fingerboard, 3-Color Sunburst",112100800,1410.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12081716223788
13062510532788,Fender,"American Vintage '65 Jazzmaster®, Round-Lam Rosewood Fingerboard, Olympic White",112200805,1362.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13062510532788
12031012075458,Fender,"American Standard Telecaster, RN, Crimson Transparent",113200738,1160.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031012075458
05011113470428,Fender,´50´s Stratocaster - MN - Fiesta Red,131002340,565.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=05011113470428
14072910033332,Fender,CLSC PLYR BAJA 60S TELE RW 3TS,141510300,690.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14072910033332
03121114072218,Fender,´50´s Telecaster - MN - White Blonde,131202301,603.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114072218
03121114104118,Fender,´60´s Telecaster - RW - Candy Apple Red,131600309,575.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=03121114104118
04052616425118,Fender,´72 Telecaster Deluxe - MN - Black,137702306,805.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=04052616425118
08071112022738,Fender,Classic Player Jaguar - Sunburst,141700300,863.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=08071112022738
10112612055858,Fender,Deluxe Nashville Tele - RW - Brown Sunburst,135300332,690.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=10112612055858
13041011320632,Fender,Fender Standard Stratocaster Plus Top Tobacco Sunburst RW,144610552,546.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13041011320632
13041011351932,Fender,Fender Standard Stratocaster Left Handed Plus Top Aged Cherry Burst MN,144624531,575.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=13041011351932
11092815504558,Fender,"Fender Standard Stratocaster RW Black, Tinted Neck",144600506,441.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092815504558
11092816051958,Fender,"Fender Standard Stratocaster RW Lake Placid Blue, Tinted Neck",144600502,441.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816051958
11092816223958,Fender,"Fender Standard Stratocaster LH RW Brown Sunburst, Tinted Neck",144620532,498.00,0,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092816223958
11092816265858,Fender,"Fender Standard Stratocaster LH RW Arctic White, Tinted Neck",144620580,470.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092816265858
11092816245058,Fender,"Fender Standard Stratocaster LH MN Brown Sunburst, Tinted Neck",144622532,498.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092816245058
11092816493958,Fender,"Fender Standard Stratocaster HSS RW Black, Tinted Neck",144700506,460.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092816493958
11092910241558,Fender,"Fender Standard Telecaster LH MN Black, Tinted Neck",145122506,470.00,0,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092910241558
12060213151932,Fender,MOD PLYR TELE THLN DLX 3TSB,241202500,369.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12060213151932
150904289163008,Fender,American Special Strat HSS RW Olympic White (2015),115700305,776.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=150904289163008
151221291745002,Fender,AM ELITE STRT HSS SHW MN MYBLK,114112710,1333.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=151221291745002
151221291753002,Fender,AM ELITE TELE MN 3TSB,114212700,1381.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=151221291753002
151221291755002,Fender,AM ELITE TELE MN ACB,114212731,1381.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=151221291755002
