Product No.,Item Description English,Item Description Local (French),Item Description Local (Dutch),Theme,RRP Price EUR
70315,Clay’s Rumble Blade,Clay’s Rumble Blade,Clay’s Rumble Blade,Nexo Knights,44.99
70316,Jestro’s Evil Mobile,Jestro’s Evil Mobile,Jestro’s Evil Mobile,Nexo Knights,59.99
70317,The Fortrex,The Fortrex,The Fortrex,Nexo Knights,109.99
70318,The Glob Lobber,The Glob Lobber,The Glob Lobber,Nexo Knights,9.99
70319,Macy’s Thunder Mace,Macy’s Thunder Mace,Macy’s Thunder Mace,Nexo Knights,19.99
70320,Aaron Fox’s Aero-Striker V2,Aaron Fox’s Aero-Striker V2,Aaron Fox’s Aero-Striker V2,Nexo Knights,34.99
70321,General Magmar's Siege Machine of Doom,General Magmar's Siege Machine of Doom,General Magmar's Siege Machine of Doom,Nexo Knights,54.99
70322,Axl’s Tower Carrier,Axl’s Tower Carrier,Axl’s Tower Carrier,Nexo Knights,89.99
70323,Jestro’s Volcano Lair,Jestro’s Volcano Lair,Jestro’s Volcano Lair,Nexo Knights,129.99
70324,Merlok's Library 2.0,Merlok's Library 2.0,Merlok's Library 2.0,Nexo Knights,26.99
70325,Infernox captures the Queen,Infernox captures the Queen,Infernox captures the Queen,Nexo Knights,26.99
70326,The Black Knight Mech,The Black Knight Mech,The Black Knight Mech,Nexo Knights,54.99
70327,The King's Mech,The King's Mech,The King's Mech,Nexo Knights,34.99
70330,ULTIMATE Clay,ULTIMATE Clay,ULTIMATE Clay,Nexo Knights,9.99
70331,ULTIMATE Macy,ULTIMATE Macy,ULTIMATE Macy,Nexo Knights,9.99
70332,ULTIMATE Aaron,ULTIMATE Aaron,ULTIMATE Aaron,Nexo Knights,9.99
70333,ULTIMATE Robin,ULTIMATE Robin,ULTIMATE Robin,Nexo Knights,9.99
70334,Ultimate Beast Master,Ultimate Beast Master,Ultimate Beast Master,Nexo Knights,9.99
70335,ULTIMATE Lavaria,ULTIMATE Lavaria,ULTIMATE Lavaria,Nexo Knights,9.99
70336,Ultimate Axl,Ultimate Axl,Ultimate Axl,Nexo Knights,9.99
70337,Ultimate Lance,Ultimate Lance,Ultimate Lance,Nexo Knights,9.99
70338,Ultimate General Magmar,Ultimate General Magmar,Ultimate General Magmar,Nexo Knights,9.99
70339,Ultimate Flama,Ultimate Flama,Ultimate Flama,Nexo Knights,9.99
70588,Titanium Ninja Tumbler,Titanium Ninja Tumbler,Titanium Ninja Tumbler,Ninjago,34.99
70589,Rock Roader,Rock Roader,Rock Roader,Ninjago,44.99
70590,Airjitzu Battle Grounds,Airjitzu Battle Grounds,Airjitzu Battle Grounds,Ninjago,64.99
70591,Kryptarium Prison Breakout,Kryptarium Prison Breakout,Kryptarium Prison Breakout,Ninjago,19.99
70592,Salvage M.E.C.,Salvage M.E.C.,Salvage M.E.C.,Ninjago,44.99
70593,The Green NRG Dragon,The Green NRG Dragon,The Green NRG Dragon,Ninjago,54.99
70594,The Lighthouse Siege,The Lighthouse Siege,The Lighthouse Siege,Ninjago,74.99
70595,Ultra Stealth Raider,Ultra Stealth Raider,Ultra Stealth Raider,Ninjago,99.99
