Unique Product Code,Product name,Brand,Product Group,Stock Availability?,Product URL,Image URL
SHIMCASS931000011250,11 Spd Ultegra 6800 Cassette 11-25                                                                  ,Shimano                                           ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-11-spd-ultegra-6800-cassette/,
CAMPCASS700000012250,11 Spd Chorus Cassette 12-25                                                                        ,Campagnolo                                        ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/campagnolo-11-spd-chorus-cassette/,
LOOKPEDA142BK0000000,Keo 2 Max Pedals Black                                                                              ,Look                                              ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/look-keo-2-max-pedals/,
CAMPBRAR607000000000,Chorus Skeleton Brakes                                                                              ,Campagnolo                                        ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/campagnolo-chorus-skeleton-brakes/,
CONTTUBE400000078542,Race 28 Inner Tube (10 Rate) 700x18/25 SV42mm                                                       ,Continental                                       ,TUBES INNER ROAD                                  ,yes,http://www.ribblecycles.co.uk/continental-race-28-inner-tube-10-rate/,
CAMPWHFR4500000ED100,Pair Whls Neutron Ultra Clin 9/10/11 Camp 0135323                                                   ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/campagnolo-pair-wheels-neutron-ultra-clincher/,
CAMPGRRR924000000000,Athena Black 11 Spd Rear Gear                                                                       ,Campagnolo                                        ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/campagnolo-athena-black-11-spd-rear-gear/,
FULCWHFR2870000HG500,Pair Wheels Racing 5 LG 9/10/11 Shim                                                                ,Fulcrum                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/fulcrum-pair-wheels-racing-5-lg/,
CAMPWHFR5050000HG500,Pr Whls Zonda Black Clincher 10/11 Shim                                                             ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/campagnolo-pr-whls-zonda-black-clincher/,
SHIMBRAR554000000000,105 Silver 5800 (11Spd) Brake Set                                                                   ,Shimano                                           ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/shimano-105-silver-5800-11spd-brake-set/,
