sku,category,id,ean,name,launch,available,price
41578,Mixels,,,Screeno,,,3.99
41579,Mixels,,,Camsta,,,3.99
41580,Mixels,,,Myke,,,3.99
88000,LEGO Functions,,,Power Functions AAA Battery Box,,,12.99
88002,LEGO Functions,,,Power Functions Train Motor,,,13.99
88003,LEGO Functions,,,Power Functions L-Motor,,,14.99
88004,LEGO Functions,,,Power Functions Servo Motor,,,24.99
8869,LEGO Functions,,,Power Functions Control Switch,,,7.9
8870,LEGO Functions,,,Power Functions Light,,,7.9
8871,LEGO Functions,,,Power Functions Extension Wire 20”,,,5.5
8878,LEGO Functions,,,Power Functions Rechargeable Battery box,,,59.99
8879,LEGO Functions,,,Power Functions IR Speed Remote Control,,,15.9
8881,LEGO Functions,,,Power Functions Battery Box,,,7.9
8882,LEGO Functions,,,Power Functions XL-Motor,,,11.9
8883,LEGO Functions,,,Power Functions M-Motor,,,8.9
8884,LEGO Functions,,,Power Functions IR RX,,,16.9
8885,LEGO Functions,,,Power Functions IR TX,,,10.9
8886,LEGO Functions,,,Power Functions Extension Wire 8”,,,3.9
2000409,LEGO Serious Play,,,LEGO® SERIOUS PLAY® Window Exploration B,,,359.99
2000414,LEGO Serious Play,,,LEGO® SERIOUS PLAY® Starter Kit,,,26.99
2000430,LEGO Serious Play,,,LEGO® SERIOUS PLAY® Identity and Landsca,,,699.99
2000431,LEGO Serious Play,,,LEGO® SERIOUS PLAY® Connections Kit,,,559.99
31313, LEGO® Mindstorms,,,LEGO® Mindstorms EV3,,,369.99
71170,Dimensions,,,Starter Pack PLAYSTATION® 3,,,0
71171,Dimensions,,,Starter Pack PLAYSTATION® 4,,,0
71172,Dimensions,,,Starter Pack Xbox One™,,,0
71173,Dimensions,,,Starter Pack Xbox 360®,,,0
71174,Dimensions,,,Starter Pack Wii U™,,,0
71201,Dimensions,,,Back to the Future™ Level Pack,,,24.99
71202,Dimensions,,,The Simpsons™ Level Pack,,,24.99
71203,Dimensions,,,Portal® 2 Level Pack,,,24.99
71204,Dimensions,,,Doctor Who Level Pack,,,24.99
71205,Dimensions,,,Jurassic World™ Team Pack,,,24.99
71206,Dimensions,,,Scooby-Doo!™ Team Pack,,,24.99
71207,Dimensions,,,NINJAGO™ Team Pack,,,24.99
71209,Dimensions,,,Wonder Woman™ Fun Pack,,,14.99
71210,Dimensions,,,Cyborg™ Fun Pack,,,14.99
71211,Dimensions,,,Bart Fun Pack,,,14.99
71212,Dimensions,,,Emmet Fun Pack,,,14.99
71213,Dimensions,,,Bad Cop Fun Pack,,,14.99
71214,Dimensions,,,Benny Fun Pack,,,14.99
71215,Dimensions,,,Jay Fun Pack,,,14.99
71216,Dimensions,,,Nya Fun Pack,,,14.99
71217,Dimensions,,,Zane Fun Pack,,,14.99
71218,Dimensions,,,Gollum™ Fun Pack,,,14.99
71219,Dimensions,,,Legolas™ Fun Pack,,,14.99
71220,Dimensions,,,Gimli™ Fun Pack,,,14.99
71221,Dimensions,,,Wicked Witch™ Fun Pack,,,14.99
71222,Dimensions,,,Laval Fun Pack,,,14.99
71223,Dimensions,,,Cragger Fun Pack,,,14.99
71227,Dimensions,,,Krusty Fun Pack,,,14.99
71228,Dimensions,,,The Ghostbusters™ Level Pack,,,0
71229,Dimensions,,,DC Comics™ Team Pack,,,0
71230,Dimensions,,,Doc Brown Fun Pack,,,0
71231,Dimensions,,,Unikitty Fun Pack,,,14.99
71232,Dimensions,,,Eris Fun Pack,,,14.99
71233,Dimensions,,,Stay Puft Fun Pack,,,0
71234,Dimensions,,,Sensei Wu Fun Pack,,,0
71235,Dimensions,,,Midway Arcade™ Level Pack,,,0
71236,Dimensions,,,Superman™ Fun Pack,,,0
71237,Dimensions,,,Aquaman™ Fun Pack,,,0
71238,Dimensions,,,Cyberman™ Fun Pack,,,0
71239,Dimensions,,,Lloyd Fun Pack,,,0
71240,Dimensions,,,Bane™ Fun Pack,,,0
71241,Dimensions,,,Slimer Fun Pack,,,0
71011,LEGO Minifigures,,,Series 15,,,2.59
71012,LEGO Minifigures,,,Confidential Minifigures May 2016,,,2.99
71013,LEGO Minifigures,,,Confidential Minifigures Sept. 2016,,,2.59
71040,LEGO Minifigures,,,MF D2C 2016 Confidential,,,349.99
70310,Nexo Knights,,,Knighton Battle Blaster,,,9.99
70311,Nexo Knights,,,Chaos Catapult,,,9.99
70312,Nexo Knights,,,Lance’s Mecha Horse,,,19.99
70313,Nexo Knights,,,Moltor’s Lava Smasher,,,19.99
70314,Nexo Knights,,,Beast Master’s Chaos Chariot,,,34.99
70315,Nexo Knights,,,Clay’s Rumble Blade,,,39.99
70316,Nexo Knights,,,Jestro’s Evil Mobile,,,54.99
70317,Nexo Knights,,,The Fortrex,,,99.99
70318,Nexo Knights,,,The Glob Lobber,,,9.99
70319,Nexo Knights,,,Macy’s Thunder Mace,,,19.99
70320,Nexo Knights,,,Aaron Fox’s Aero-Striker V2,,,34.99
70321,Nexo Knights,,,General Magmar's Siege Machine of Doom,,,49.99
70322,Nexo Knights,,,Axl’s Tower Carrier,,,84.99
70323,Nexo Knights,,,Jestro’s Volcano Lair,,,129.99
70324,Nexo Knights,,,Merlok's Library 2.0,,,26.99
70325,Nexo Knights,,,Infernox captures the Queen,,,26.99
70326,Nexo Knights,,,The Black Knight Mech,,,54.99
70327,Nexo Knights,,,The King's Mech,,,34.99
70330,Nexo Knights,,,ULTIMATE Clay,,,8.99
70331,Nexo Knights,,,ULTIMATE Macy,,,8.99
70332,Nexo Knights,,,ULTIMATE Aaron,,,8.99
70333,Nexo Knights,,,ULTIMATE Robin,,,8.99
70334,Nexo Knights,,,Ultimate Beast Master,,,8.99
70335,Nexo Knights,,,ULTIMATE Lavaria,,,8.99
70336,Nexo Knights,,,Ultimate Axl,,,8.99
70337,Nexo Knights,,,Ultimate Lance,,,8.99
70338,Nexo Knights,,,Ultimate General Magmar,,,8.99
70339,Nexo Knights,,,Ultimate Flama,,,8.99
70588,Ninjago,,,Titanium Ninja Tumbler,,,29.99
70589,Ninjago,,,Rock Roader,,,39.99
70590,Ninjago,,,Airjitzu Battle Grounds,,,64.99
70591,Ninjago,,,Kryptarium Prison Breakout,,,19.99
70592,Ninjago,,,Salvage M.E.C.,,,39.99
70593,Ninjago,,,The Green NRG Dragon,,,54.99
70594,Ninjago,,,The Lighthouse Siege,,,74.99
70595,Ninjago,,,Ultra Stealth Raider,,,89.99
