ServiceID,Name,ProductID,ProductName,ProductURL,Region,DateFrom,PriceType,AgeFrom,AgeTo,BuyPriceGBP,SellPriceGBP,MarginGBP,MarginPercent
73365,1-Day LEGOLAND California Resort Hopper Ticket,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Child,3,12,40.3,56,15.7,28.04
8088,1-Day LEGOLAND California Ticket,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Adult,0,0,34.48,49,14.52,29.63
8088,1-Day LEGOLAND California Ticket,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Child,3,12,30.33,43,12.67,29.47
24213,1-Day LEGOLAND California/SEALIFE Aquarium Hopper,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Adult,0,0,41.96,58,16.04,27.66
24213,1-Day LEGOLAND California/SEALIFE Aquarium Hopper,80573,Legoland California Tickets,http://www.attractiontix.co.uk/tickets/legoland-california,Los Angeles,28/06/2014,Child,3,12,37.8,54,16.2,30
26388,2 Day Hop On Hop Off  Ticket - Las Vegas,80941,Hop On Hop Off Las Vegas Bus Tour,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-vegas,Las Vegas,28/06/2014,Adult,0,0,20.36,28,7.64,27.29
26388,2 Day Hop On Hop Off  Ticket - Las Vegas,80941,Hop On Hop Off Las Vegas Bus Tour,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-vegas,Las Vegas,01/04/2015,Adult,0,0,20.36,29,8.64,29.79
26388,2 Day Hop On Hop Off  Ticket - Las Vegas,80941,Hop On Hop Off Las Vegas Bus Tour,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-vegas,Las Vegas,28/06/2014,Child,5,15,16.2,21,4.8,22.86
26388,2 Day Hop On Hop Off  Ticket - Las Vegas,80941,Hop On Hop Off Las Vegas Bus Tour,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-vegas,Las Vegas,01/04/2015,Child,5,15,16.2,23,6.8,29.57
26292,2 Day South Beach incl. Dolphin Swim,80918,2 Day South Beach Tour,http://www.attractiontix.co.uk/tickets/2-day-south-beach-tours,Orlando,02/07/2014,Adult,0,0,141.96,186,44.04,23.68
26292,2 Day South Beach incl. Dolphin Swim,80918,2 Day South Beach Tour,http://www.attractiontix.co.uk/tickets/2-day-south-beach-tours,Orlando,02/07/2014,Child,3,9,141.96,186,44.04,23.68
26293,2 Day South Beach Tour Only,80918,2 Day South Beach Tour,http://www.attractiontix.co.uk/tickets/2-day-south-beach-tours,Orlando,02/07/2014,Adult,0,0,99.23,137,37.77,27.57
26293,2 Day South Beach Tour Only,80918,2 Day South Beach Tour,http://www.attractiontix.co.uk/tickets/2-day-south-beach-tours,Orlando,02/07/2014,Child,3,9,84.99,102,17.01,16.68
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,28/06/2014,Adult,0,0,15.79,21,5.21,24.81
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,01/10/2014,Adult,0,0,14.66,21,6.34,30.19
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,01/04/2015,Adult,0,0,16.62,22,5.38,24.45
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,28/06/2014,Child,5,15,10.39,14,3.61,25.79
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,01/10/2014,Child,5,15,9.64,14,4.36,31.14
26692,24hr Hop On Hop Off Open Top Sightseeing-San Fran,95764,Hop On Hop Off Bus Tour - San Francisco ,http://www.attractiontix.co.uk/tickets/hop-on-hop-off-bus-tour-san-francisco,San Francisco,01/04/2015,Child,5,15,10.39,15,4.61,30.73
64467,24hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,28/06/2014,Adult,0,0,16.2,24,7.8,32.5
64467,24hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,01/04/2015,Adult,0,0,18.69,27,8.31,30.78
64467,24hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,28/06/2014,Child,5,15,12.05,18,5.95,33.06
64467,24hr Hop On Hop Off Tour - Miami,84941,Miami Hop On Hop Off Tour,http://www.attractiontix.co.uk/tickets/miami-hop-on-hop-off,Miami,01/04/2015,Child,5,15,12.46,18,5.54,30.78
15247,2-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Adult,0,0,47.62,64,16.38,25.59
15247,2-Day Go Miami Card,80418,GO Miami Card,http://www.attractiontix.co.uk/tickets/go-miami,Miami,28/06/2014,Child,3,12,37.83,51,13.17,25.82
4827,2-Day GO Orlando Card,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Adult,0,0,64.54,90,25.46,28.29
4827,2-Day GO Orlando Card,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Child,3,12,64.09,88,23.91,27.17
4828,2-Day GO Orlando Card + Sea World,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Adult,0,0,107.72,153,45.28,29.59
4828,2-Day GO Orlando Card + Sea World,80420,GO Orlando Card,http://www.attractiontix.co.uk/tickets/go-orlando-card,Orlando,28/06/2014,Child,3,12,106.82,146,39.18,26.84
64437,3 Day National Parks Explorer - Summer Camping,95671,3 Days National Park Explorer,http://www.attractiontix.co.uk/tickets/3-day-national-parks-explorer,Las Vegas,30/06/2014,Adult,0,0,246.97,359,112.03,31.21
64438,3 Day National Parks Explorer - Summer Lodging,95671,3 Days National Park Explorer,http://www.attractiontix.co.uk/tickets/3-day-national-parks-explorer,Las Vegas,30/06/2014,Adult,0,0,330.27,418,87.73,20.99
64439,3 Day National Parks Explorer - Winter Lodging,95671,3 Days National Park Explorer,http://www.attractiontix.co.uk/tickets/3-day-national-parks-explorer,Las Vegas,03/11/2014,Adult,0,0,330.27,418,87.73,20.99
64439,3 Day National Parks Explorer - Winter Lodging,95671,3 Days National Park Explorer,http://www.attractiontix.co.uk/tickets/3-day-national-parks-explorer,Las Vegas,05/01/2015,Adult,0,0,260.39,369,108.61,29.43
