sku,Nisbets Code,manufacturer,name,price,url_path,url_key
Xpress,,Blendtec,Blendtec Xpress Smoothie Blender,400,blendtec-xpress-smoothie-blender.html,blendtec-xpress-smoothie-blender
BAR1,,Blizzard Refrigeration,Blizzard BAR1 Single Door Bottle Cooler,258,blizzard-bar1-single-door-bottle-cooler.html,blizzard-bar1-single-door-bottle-cooler
BAR1SS,,Blizzard Refrigeration,Blizzard BAR1SS Single Door Stainless Steel Bottle Cooler,300,blizzard-bar1ss-single-door-stainless-steel-bottle-cooler.html,blizzard-bar1ss-single-door-stainless-steel-bottle-cooler
BAR2,,Blizzard Refrigeration,Blizzard BAR2 Double Door Bottle Cooler,341,blizzard-bar2-double-door-bottle-cooler.html,blizzard-bar2-double-door-bottle-cooler
BAR2SL,,Blizzard Refrigeration,Blizzard BAR2SL Double Sliding Door Bottle Cooler,341,blizzard-bar2sl-double-sliding-door-bottle-cooler.html,blizzard-bar2sl-double-sliding-door-bottle-cooler
BAR2SS,,Blizzard Refrigeration,Blizzard BAR2SS Double Door Stainless Steel Bottle Cooler,400,blizzard-bar2ss-double-door-stainless-steel-bottle-cooler.html,blizzard-bar2ss-double-door-stainless-steel-bottle-cooler
BAR3,,Blizzard Refrigeration,Blizzard BAR3 Triple Door Bottle Cooler,448,blizzard-bar3-triple-door-bottle-cooler.html,blizzard-bar3-triple-door-bottle-cooler
BAR3SL,,Blizzard Refrigeration,Blizzard BAR3SL Triple Sliding Door Bottle Cooler,448,blizzard-bar3sl-triple-sliding-door-bottle-cooler.html,blizzard-bar3sl-triple-sliding-door-bottle-cooler
BAR3SS,,Blizzard Refrigeration,Blizzard BAR3SS Triple Door Stainless Steel Bottle Cooler,533,blizzard-bar3ss-triple-door-stainless-steel-bottle-cooler.html,blizzard-bar3ss-triple-door-stainless-steel-bottle-cooler
SL70,,Blizzard Refrigeration,Blizzard  SL70 Chest Freezer,658,blizzard-sl70-chest-freezer.html,blizzard-sl70-chest-freezer
SL40,,Blizzard Refrigeration,Blizzard SL40 Chest Freezer,449,blizzard-sl40-chest-freezer.html,blizzard-sl40-chest-freezer
SL50,,Blizzard Refrigeration,Blizzard SL50 Chest Freezer,512,blizzard-sl50-chest-freezer.html,blizzard-sl50-chest-freezer
WINE105,,Blizzard Refrigeration,Blizzard WINE105 Budget Wine Cooler,204,blizzard-wine105-budget-wine-cooler.html,blizzard-wine105-budget-wine-cooler
MS3,CC653,Blizzard Refrigeration,Blizzard MS3 Refrigerated Display Unit,1326,blizzard-ms3-refrigerated-display-unit.html,blizzard-ms3-refrigerated-display-unit
MS2,CC652,Blizzard Refrigeration,Blizzard MS2 Refrigerated Display Unit,1113,blizzard-ms2-refrigerated-display-unit.html,blizzard-ms2-refrigerated-display-unit
BC105,CC194,Blizzard Refrigeration,Blizzard BC105 Budget Cooler,196,blizzard-bc105-budget-cooler.html,blizzard-bc105-budget-cooler
FZ40,,Blizzard Refrigeration,Blizzard FZ40 Upright Freezer,524,blizzard-fz40-upright-freezer.html,blizzard-fz40-upright-freezer
GDR40,,Blizzard Refrigeration,Blizzard GDR40 Upright Glass Door Refrigerator,439,blizzard-gdr40-upright-glass-door-refrigerator.html,blizzard-gdr40-upright-glass-door-refrigerator
GFZ40,,Blizzard Refrigeration,Blizzard GFZ40 Glass Door Freezer,759,blizzard-gfz40-glass-door-freezer.html,blizzard-gfz40-glass-door-freezer
H600SS,,Blizzard Refrigeration,Blizzard H600SS Stainless Steel Upright Refrigerator,554,blizzard-h600ss-stainless-steel-upright-refrigerator.html,blizzard-h600ss-stainless-steel-upright-refrigerator
IC13,,Blizzard Refrigeration,Blizzard IC13 Curved Lid Ice Cream Display,464,blizzard-ic13-curved-lid-ice-cream-display.html,blizzard-ic13-curved-lid-ice-cream-display
