Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price EUR
8883,8883,Power Functions M-Motor,,,LEGO Functions,LEGO Functions,9.99
8884,8884,Power Functions IR RX,,,LEGO Functions,LEGO Functions,16.99
8885,8885,Power Functions IR TX,,,LEGO Functions,LEGO Functions,10.99
8886,8886,"Power Functions Extension Wire 8""",,,LEGO Functions,LEGO Functions,3.99
2000409,2000409,LEGO® SERIOUS PLAY® Window Exploration B,,,LEGO Serious Play,LEGO Serious Play,359.99
2000414,2000414,LEGO® SERIOUS PLAY® Starter Kit,,,LEGO Serious Play,LEGO Serious Play,649
2000430,2000430,LEGO® SERIOUS PLAY® Identity and Landsca,,,LEGO Serious Play,LEGO Serious Play,699.99
2000431,2000431,LEGO® SERIOUS PLAY® Connections Kit,,,LEGO Serious Play,LEGO Serious Play,559.99
31313,31313,LEGO® MINDSTORMS® EV3,,,,MINDSTORMS,399.99
71170,71170,Starter Pack PLAYSTATION® 3,,,,Dimensions,0
71171,71171,Starter Pack PLAYSTATION® 4,,,,Dimensions,0
71172,71172,Starter Pack Xbox One™,,,,Dimensions,0
71173,71173,Starter Pack Xbox 360®,,,,Dimensions,0
71174,71174,Starter Pack Wii U™,,,,Dimensions,0
71201,71201,Back to the Future™ Level Pack,,,,Dimensions,29.99
71202,71202,The Simpsons™ Level Pack,,,,Dimensions,29.99
71203,71203,Portal® 2 Level Pack,,,,Dimensions,29.99
71204,71204,Doctor Who Level Pack,,,,Dimensions,29.99
71205,71205,Jurassic World™ Team Pack,,,,Dimensions,29.99
71206,71206,Scooby-Doo!™ Team Pack,,,,Dimensions,29.99
71207,71207,NINJAGO™ Team Pack,,,,Dimensions,29.99
71209,71209,Wonder Woman™ Fun Pack,,,,Dimensions,17.99
71210,71210,Cyborg™ Fun Pack,,,,Dimensions,17.99
71211,71211,Bart Fun Pack,,,,Dimensions,17.99
71212,71212,Emmet Fun Pack,,,,Dimensions,17.99
71213,71213,Bad Cop Fun Pack,,,,Dimensions,17.99
71214,71214,Benny Fun Pack,,,,Dimensions,17.99
71215,71215,Jay Fun Pack,,,,Dimensions,17.99
71216,71216,Nya Fun Pack,,,,Dimensions,17.99
71217,71217,Zane Fun Pack,,,,Dimensions,17.99
71218,71218,Gollum™ Fun Pack,,,,Dimensions,17.99
71219,71219,Legolas™ Fun Pack,,,,Dimensions,17.99
71220,71220,Gimli™ Fun Pack,,,,Dimensions,17.99
71221,71221,Wicked Witch™ Fun Pack,,,,Dimensions,17.99
71222,71222,Laval Fun Pack,,,,Dimensions,17.99
71223,71223,Cragger Fun Pack,,,,Dimensions,17.99
71227,71227,Krusty Fun Pack,,,,Dimensions,17.99
71228,71228,The Ghostbusters™ Level Pack,,,,Dimensions,0
71229,71229,DC Comics™ Team Pack,,,,Dimensions,0
71230,71230,Doc Brown Fun Pack,,,,Dimensions,0
71231,71231,Unikitty Fun Pack,,,,Dimensions,17.99
71232,71232,Eris Fun Pack,,,,Dimensions,17.99
71233,71233,Stay Puft Fun Pack,,,,Dimensions,0
71234,71234,Sensei Wu Fun Pack,,,,Dimensions,0
71235,71235,Midway Arcade™ Level Pack,,,,Dimensions,0
71236,71236,Superman™ Fun Pack,,,,Dimensions,0
71237,71237,Aquaman™ Fun Pack,,,,Dimensions,0
71238,71238,Cyberman™ Fun Pack,,,,Dimensions,0
71239,71239,Lloyd Fun Pack,,,,Dimensions,0
71240,71240,Bane™ Fun Pack,,,,Dimensions,0
71241,71241,Slimer Fun Pack,,,,Dimensions,0
71011,71011,Series 15,,,,LEGO Minifigures,2.99
71012,71012,Confidential Minifigures May 2016,,,,LEGO Minifigures,2.99
71013,71013,Confidential Minifigures Sept. 2016,,,,LEGO Minifigures,2.99
71040,71040,MF D2C 2016 Confidential,,,,LEGO Minifigures,349.99
70310,70310,Knighton Battle Blaster,,,,Nexo Knights,9.99
70311,70311,Chaos Catapult,,,,Nexo Knights,9.99
70312,70312,Lance’s Mecha Horse,,,,Nexo Knights,19.99
70313,70313,Moltor’s Lava Smasher,,,,Nexo Knights,19.99
70314,70314,Beast Master’s Chaos Chariot,,,,Nexo Knights,34.99
70315,70315,Clay’s Rumble Blade,,,,Nexo Knights,44.99
70316,70316,Jestro’s Evil Mobile,,,,Nexo Knights,59.99
70317,70317,The Fortrex,,,,Nexo Knights,109.99
70318,70318,The Glob Lobber,,,,Nexo Knights,9.99
70319,70319,Macy’s Thunder Mace,,,,Nexo Knights,19.99
70320,70320,Aaron Fox’s Aero-Striker V2,,,,Nexo Knights,34.99
70321,70321,General Magmar's Siege Machine of Doom,,,,Nexo Knights,54.99
70322,70322,Axl’s Tower Carrier,,,,Nexo Knights,89.99
70323,70323,Jestro’s Volcano Lair,,,,Nexo Knights,129.99
70324,70324,Merlok's Library 2.0,,,,Nexo Knights,26.99
70325,70325,Infernox captures the Queen,,,,Nexo Knights,26.99
70326,70326,The Black Knight Mech,,,,Nexo Knights,54.99
70327,70327,The King's Mech,,,,Nexo Knights,34.99
70330,70330,ULTIMATE Clay,,,,Nexo Knights,9.99
70331,70331,ULTIMATE Macy,,,,Nexo Knights,9.99
70332,70332,ULTIMATE Aaron,,,,Nexo Knights,9.99
70333,70333,ULTIMATE Robin,,,,Nexo Knights,9.99
70334,70334,Ultimate Beast Master,,,,Nexo Knights,9.99
70335,70335,ULTIMATE Lavaria,,,,Nexo Knights,9.99
70336,70336,Ultimate Axl,,,,Nexo Knights,9.99
70337,70337,Ultimate Lance,,,,Nexo Knights,9.99
70338,70338,Ultimate General Magmar,,,,Nexo Knights,9.99
70339,70339,Ultimate Flama,,,,Nexo Knights,9.99
70588,70588,Titanium Ninja Tumbler,,,,Ninjago,34.99
70589,70589,Rock Roader,,,,Ninjago,44.99
70590,70590,Airjitzu Battle Grounds,,,,Ninjago,64.99
70591,70591,Kryptarium Prison Breakout,,,,Ninjago,19.99
70592,70592,Salvage M.E.C.,,,,Ninjago,44.99
70593,70593,The Green NRG Dragon,,,,Ninjago,54.99
70594,70594,The Lighthouse Siege,,,,Ninjago,74.99
70595,70595,Ultra Stealth Raider,,,,Ninjago,99.99
70596,70596,Samurai X Cave Chaos,,,,Ninjago,129.99
70599,70599,Cole's Dragon,,,,Ninjago,9.99
70600,70600,Ninja Bike Chase,,,,Ninjago,19.99
70601,70601,Sky Shark,,,,Ninjago,19.99
70602,70602,Jay’s Elemental Dragon,,,,Ninjago,34.99
70603,70603,Raid Zeppelin,,,,Ninjago,34.99
70604,70604,Tiger Widow Island,,,,Ninjago,54.99
70605,70605,Misfortune’s Keep,,,,Ninjago,89.99
70730,70730,Chain Cycle Ambush,,,Ninjago,Ninjago,32.99
70731,70731,Jay Walker One,,,,Ninjago,44.99
70732,70732,City of Stiix,,,,Ninjago,109.99
70733,70733,Blaster Bike,,,Ninjago,Ninjago,19.99
70734,70734,Master Wu Dragon,,,Ninjago,Ninjago,49.99
70735,70735,Ronin R.E.X.,,,Ninjago,Ninjago,54.99
70736,70736,Attack of the Morro Dragon,,,Ninjago,Ninjago,69.99
70737,70737,Titan Mech Battle,,,Ninjago,Ninjago,59.99
70738,70738,Final Flight of Destiny's Bounty,,,Ninjago,Ninjago,129.99
70739,70739,Airjitzu Kai Flyer,,,Ninjago,Ninjago,9.99
70740,70740,Airjitzu Jay Flyer,,,Ninjago,Ninjago,9.99
70741,70741,Airjitzu Cole Flyer,,,Ninjago,Ninjago,9.99
70742,70742,Airjitzu Zane Flyer,,,Ninjago,Ninjago,9.99
70743,70743,Airjitzu Morro Flyer,,,Ninjago,Ninjago,9.99
70744,70744,Airjitzu Wrayth Flyer,,,Ninjago,Ninjago,9.99
70746,70746,Condrai Copter Attack,,,,Ninjago,29.99
70747,70747,Boulder Blaster,,,,Ninjago,29.99
70748,70748,Titanium Dragon,,,,Ninjago,44.99
70749,70749,Enter the Serpent,,,,Ninjago,54.99
