sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
21269400018,Sofa > Leather > 2 seater,Millan 2 Seater Sofa - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-2-seater-sofa,1238.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125043_16000-16013_01601_IS_0,59,3596:3346,Steinhoff HTL,
21278400017,Sofa > Leather > 2 seater,Millan Express 2 Seater Sofa In Brown,http://www.harveysfurniture.co.uk/collection/millan/#/millan-2-seater-sofa,1238.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125043_16000-16013_01601_IS_0,59,3596:2357,Steinhoff HTL,
21269500019,Sofa > Leather > armchair,Millan Chair - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-chair,1098.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/225044_16000-16013_01601_IS_0,59,2422:3347,Steinhoff HTL,
22521600017,Sofa > Leather > Footstools,Millan Express Storage Footstool In Black,http://www.harveysfurniture.co.uk/collection/millan/#/millan-storage-footstool,498.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125045_16000-16029_01601_IS_0,59,3613:2364,Steinhoff HTL,
21269600021,Sofa > Leather > Footstools,Millan Storage Footstool - Cat LLM,http://www.harveysfurniture.co.uk/collection/millan/#/millan-storage-footstool,498.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125045_16000-16013_01601_IS_0,59,3613:4271,Steinhoff HTL,
21278600020,Sofa > Leather > Footstools,Millan Express Storage Footstool In Brown,http://www.harveysfurniture.co.uk/collection/millan/#/millan-storage-footstool,498.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/125045_16000-16013_01601_IS_0,59,3613:3349,Steinhoff HTL,
23299140007,,Noir Extending Dining Table & 4 Upholstered Chairs,http://www.harveysfurniture.co.uk/collection/noir/#/noir-extending-dining-table-and-4-upholstered-chairs,349.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/998139_blackglass_IS_0,59,3881:3938,Steinhoff Tianjian,
23151040048,Dining > Dining Tables,Noir Extending Dining Table - Black,http://www.harveysfurniture.co.uk/collection/noir/#/noir-extending-dining-table,299.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987809_blackglass_IS_0,59,3078:2668,Steinhoff Tianjian,
23151050051,Dining > Dining Chairs,Noir Fully Upholstered Leather Effect Chairs (Pair) - Black,http://www.harveysfurniture.co.uk/collection/noir/#/noir-fully-upholstered-leather-effect-chairs-pair,100.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987810_leather_IS_0,59,3087:2675,Steinhoff Tianjian,
23151080080,Cabinets > Console Tables,Noir Console Table - Black,http://www.harveysfurniture.co.uk/collection/noir/#/noir-console-table,99.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987813_blackglass_IS_0,25,3116:2691,Steinhoff Tianjian,
