identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock
,,Samsung Galaxy Ace 2 i8160L - XT compatible Black,379,http://www.mobicity.co.nz/samsung-i8160l-galaxy-ace-2-nextg.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_galaxy_ace_2_01_1.jpg,,
,,Samsung Galaxy Ace 2 i8160L - XT compatible White,379,http://www.mobicity.co.nz/samsung-i8160l-galaxy-ace-2-nextg.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_galaxy_ace_2_01_1.jpg,,
,,Prada Phone by LG 3.0 - XT compatible,609,http://www.mobicity.co.nz/prada-phone-by-lg-3-0-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/p/r/prada_phone_by-lg_3.0_2_1_2.jpg,,
,,Sony Xperia SL Black,449,http://www.mobicity.co.nz/sony-xperia-sl.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_sl_1.jpg,,
,,Sony Xperia SL Pink,449,http://www.mobicity.co.nz/sony-xperia-sl.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_sl_1.jpg,,
,,Sony Xperia SL Silver,449,http://www.mobicity.co.nz/sony-xperia-sl.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_sl_1.jpg,,
,,Sony Xperia SL White,439,http://www.mobicity.co.nz/sony-xperia-sl.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_sl_1.jpg,,
,,Sony Xperia J Black,279,http://www.mobicity.co.nz/sony-xperia-j-st26i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-j-3.jpg,,
,,Sony Xperia J Gold,289,http://www.mobicity.co.nz/sony-xperia-j-st26i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-j-3.jpg,,
,,Sony Xperia J Pink,279,http://www.mobicity.co.nz/sony-xperia-j-st26i.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony-xperia-j-3.jpg,,
