sku,asin,price,quantity
D405311000,B0031SEQEY,6.25,9
D405311400,B004R8IEAO,7.95,5
D405311700,B002QVOWGO,10.25,9
D405311900,B004BF0KLO,12.5,4
D405312300,B002M3IB9K,14.25,2
D405312800,B005WU6PSE,23.95,8
D437033400,B005Q9C85A,5.1,15
D437034400,B005Q9C7Y2,3.99,16
D473310400,737632070,6.69,2
D474310300,737632062,11.75,14
D801300100,B0013FA3SU,7.99,26
D804010600,B0019IISD8,34.75,4
D805050000,B00522X8L4,12.95,8
D805050001,B00522X8NM,14.25,5
D805050003,B00522X8OQ,17.25,12
D806914012,B0079GY0UE,5.25,43
D809485001,B000J445XA,4.75,28
D809485002,B000J40MU0,4.5,10
D809980001,B001GAP4YA,8.51,28
D809980002,B001GAP4Y0,8.25,9
D813200300,B005ZCXMNK,16.75,20
D813200400,B007RLU3UM,6.99,53
D813200500,B005FC62QY,7.95,11
D813200600,B005ZCWBUK,6.25,13
D813550426,B002AFCDBW,13.95,2
D813550526,B002AF8WEE,9.75,7
D813880300,B002M3KBBG,16.75,10
D813880400,B005FC590Y,5.99,28
D843900022,B00GMMWRDS,22.99,25
DB05252,B000FA5EBU,17.99,10
DB08112,B004SH7VMQ,17.99,16
DB10491,B000GPI75O,17.99,10
DB12742,B000FA5DY8,7.99,6
DB15152,B000FA5E2O,17.99,16
DB18325,B000UTIL8Y,5.99,13
DB19677,B003PDY8E8,17.99,11
DB19679,B001LKORZ2,17.99,6
DB21848,B0044XB8LE,5.99,7
DB21849,B000FA5EBK,5.99,17
DLMP/WH,B004JID740,47.95,2
DV4219,B002QVIQ84,14.28,5
DYIM,B001GUGVTW,3.77,82
E1920BL,B00CE04PZK,1.8,44
E1920GR,B00DTU6A9S,1.8,23
E1920RD,B00CE04QPE,1.8,44
E1920W,B00CE04R0I,1.8,31
E9690,8866139696,13.99,6
E9720,8866139726,12.99,16
E9751,8866139750,10.99,7
ED12552001,B000KJOZB6,2.09,28
ED12553001,B000KTC78O,2.09,11
ED12555001,B000KTAO98,2.09,15
ED18003001,B000KJMFEK,3.7,20
ED18005001,B000KJO8TK,3.7,24
ED18007001,B000KJO8X6,3.7,23
ED2000001,B008AVN4OA,2.05,29
ED390-001,B001F5Q03A,4.37,17
ED390-002,B001F5KLBW,4.37,7
ED750053,B003Z0G9WK,3.97,14
ED750054,B003Z0IBNA,3.97,8
ED8005001,B000KJOZ84,6.22,11
EDSOFTSC3,B005RW0SB2,3.2,20
FASHA4M,9881831040,25.8,23
FASHA4W,9881831032,25.8,11
FASHA5W,9881831016,19.9,2
FASHNM,9881655005,10.5,38
FASHNW,9881655099,10.5,16
FC110012,B0007OECJY,21.25,9
FC110101,B000WKXHLW,1.6,7
FC110102,B008PCLU90,1.56,8
FC110103,B000WL4V4S,1.56,8
FC110104,B000WL2VDQ,1.56,5
FC110105,B0013MQSZU,1.56,14
FC110107,B0013MJ49C,1.56,12
FC110108,B000WKZCHO,1.99,15
FC110109,B0016JXS8U,1.99,9
FC110113,B0013MOXKC,1.6,13
FC110118,B0013MJ4VA,1.56,6
FC110119,B0012FACA0,1.99,15
FC110120,B0013MMT4O,1.56,13
FC110121,B0013ML9V8,1.56,10
FC110124,B0012FACBY,1.56,14
FC110126,B0012F4OHW,1.56,16
FC110127,B0013MOY5G,1.6,12
FC110128,B0016PHSHQ,1.56,12
FC110130,B003CXRW3U,1.56,9
FC110131,B003CXNNW4,1.56,16
