chain,country,rooms,name,area,price
Independent,Indonesia,"Hotel Rooms: 18","Delu Villas & Suite","Jl. Tangkuban Perahu No. 3, 80361 Kerobokan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 36","Suarga Padang Padang","Labuan Sait Rd. Br. Dinas Labuan Sait, Pecatu, Kuta Selatan, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 37","Naya Gawana Resort and Spa","West Bali National Park, 81155 Banyuwedang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","Pertiwi Resort & Spa","Monkey Forest St, Ubud, Bali, Indonesia, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Rumah Bali","Jl. Pratama Po Box 132 Nusa Dua, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 125","Sari Segara Resort & Spa","Jl.Pantai Kedonganan, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","The Mansion Resort Hotel & Spa","Jl. Penestanan, Sayan, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Nandini Jungle Resort & Spa Bali","Banjar Susut, Desa Buahan, Payangan, Bali, 80572 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 5","Ngeluwungan Boutique Villa","Jalan Pantai Pererenan No. 99, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 3","Luxe Villas Bali","Jl. Kajeng, Juwuk Manis, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","De Sapphire Cliff Villa Uluwatu","Jalan Labuansait No 313, 80313 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 368","AYANA Resort and Spa Bali","Jalan Karang Mas Sejahtera, Jimbaran, 80364 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Blue Moon Villas Resort","Jalan Selang Beach, 80852 Amed, Indonesia",
"Hotel Chain:
Conrad Hotels & Resorts",Indonesia,"Hotel Rooms: 353,","Conrad Bali","Jalan Pratama 168, Tanjung Benoa, On the Coast of Nusa Dua, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","Alam Puri Art Museum Resort & Spa","Jl. Trenggana No. 108 Penatih, 80238 Denpasar, Indonesia",
Independent,Indonesia,"Hotel Rooms: 88","The Evitel Resort Ubud","Monkey Forest Street, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 30","Mahagiri Resort Nusa Lembongan","Desa Jungut Batu, 80771 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 35","The Ungasan Clifftop Resort","Jalan Pantai Selatan Gau Banjar Wijayakusuma, Ungasan, 80362 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Ubud Tropical Garden","Jl. Raya Monkey Forest, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 84","Candi Beach Resort & Spa","Mendira Beach, Sengkidu, 80033 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","Bali Dive Resort and Spa","Jalan Raya Amlapura Singaraja, 80853 Tulamben, Indonesia",
Independent,Indonesia,"Hotel Rooms: 124","Lv8 Resort Hotel","Jalan Discovery No. 8, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 180","The Tanjung Benoa Beach Resort - Bali","Jalan Pratama 97A,, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","Naya Ubud","Jalan Raya Sayan, Gang Puskesmas Ubud II, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Gajah Mina Beach Resort","Suraberata, Lalanglinggah, Selemadeg Barat, 80362 Antasari, Indonesia",
Independent,Indonesia,"Hotel Rooms: 7","Jukung Dive Resort Bali","Dusun Lebah Amed Beach Purwakerthi Abang, 80850 Amed, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Cili Emas Oceanside Resort","Jalan Segara Pantai, 81173 Tejakula, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Cicada Luxury Townhouses","Jalan Pura Telaga Waja, Petitenget, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 31","Spa Village Resort Tembok Bali","Jalan Singaraja-Amlapura No.100 Desa Tembok Tejakula, 81171 Gretek, Indonesia",
Independent,Indonesia,"Hotel Rooms: 14","The Dipan Resort, Villas and Spa","Jalan Petitenget, Gang Taman Ganesha No.1, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 38","Diwangkara Beach Hotel & Resort","Jalan Hang Tuah No 84, Bali, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 5","Maison Mazaya","Jalan Pura Dalem 2, Desa Medahan, Kemenuh, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Morabito Art Resort","Jl Pantai Berawa, Canggu, Kuta Utara, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 54","Mimpi Resort Menjangan","Desa Pemuteran, 81155 Banyuwedang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 33","Siddhartha Ocean Front Resort & Spa","Kubu, 80853 Kubu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 54","Maison Aurelia Sanur, Bali","Jalan Danau Tamblingan, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","NusaBay Menjangan","Jl.Raya Gilimanuk - Pemuteran 15KM, 81155 Banyuwedang, Indonesia",
"Hotel Chain:
The Ritz-Carlton Company, L.L.C",Indonesia,"Hotel Rooms: 313,","The Ritz-Carlton Bali","Jalan Raya Nusa Dua Selatan Lot III, Sawangan, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 23","Ocean View Dive Resort Tulamben","Jln. Raya Tulamben - Kubu, 80853 Tulamben, Indonesia",
Independent,Indonesia,"Hotel Rooms: 48","Puri Bagus Candidasa","Jl. Raya Candidasa, Dusun Samuh, Desa Bugbug, 80801 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Puri Wirata Dive Resort and Spa Amed","Jalan Raya Bunutan, 80852 Amed, Indonesia",
"Hotel Chain:
Holiday Inn Hotels & Resorts",Indonesia,"Hotel Rooms: 171,,","Holiday Inn Resort Bali Benoa","Jl. Pratama no.86, Tanjung Benoa, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 38","Puri Bagus Lovina","Jl. Raya Seririt Singaraja, Desa Pemaron, 81151 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Arya Amed Beach Resort and Dive Center","Jln. Raya Amed Bunutan, 80852 Amed, Indonesia",
Independent,Indonesia,"Hotel Rooms: 60","The Bali Khama a Beach Resort and Spa","Jl. Pratama P.O. Box 134 Tanjung Benoa, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Benthos Bali Dive Resort","Jalan Raya Candidasa, 80851 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 3","Kuda Laut Bungalows & Diving","Jalan Singaraja Gilimanuk, 81155 Pemuteran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","Savatthi Villas by Prime Experience","Br.Tengkulak Kelod, Jl.Subak Batu Gaing, Ki Pasung Grigis Tengkulak Lane No. 8A, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Mayo Resort","Jalan Umeanyar No. 3, 81153 Umeanyar, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","Kori Ubud Resort & Spa","Jl. Sanggingan, Tjampuhan, 80361 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 45","The Payogan Villa Resort and Spa","Banjar Bunutan, Desa Kedewatan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","Plataran Canggu Bali Resort and Spa","Jalan Pengubugan, Banjar Silayukti, 80361 Kerobokan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 25","Bebek Tepi Sawah Restaurant & Villas","Jl Raya Goa Gajah, Br. Teges, Peliatan, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Munduk Moding Plantation Nature Resort & Spa","Banjar Dinas Asah Gobleg Desa Gobleg Kecamatan Banjar Buleleng, 81152 Munduk, Indonesia",
"Hotel Chain:
Avilla Hospitality",Indonesia,"Hotel Rooms: 34,","Kokonut Suites","Jl. Petitenget No 88 Kerobokan, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","FC Residence Bali","Jalan Dalem Penataran No. 14, Desa Pererenan, Br Pengembungan, 80351 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 14","Harmony Suite","Jalan Pantai Batubelig Gang Ribut No. 2, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Bagus Jati Health & Wellbeing Retreat","Banjar Jati, Desa Sebatu, Kecamatan Tegallang, Bali, 80561 Tegalalang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","KTS Day Spa & Retreat by Ngeluwungan Group","Jalan Beringin Gang Untung No 71 Br. Pegending, Dalung, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","The Eyes Villas","Jl. Labuan Sait, Padang - Padang, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","Tanah Merah Resort & Gallery","Jalan Melayang, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 27","Kanishka Villas","Jalan Kunti,No. 8Y, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 4","Ciliks Beach Garden","Jalan Raya Air Sanih, Singaraja, 81172 Kubutambahan, Indonesia",
