name,country,area,chain,price,street,rooms
Laguna Beach Club,Nicaragua,Masaya,,34USD,Laguna de Apoyo Frente al empalme,
Simple Beach Lodge,Nicaragua,El Cubano,,35USD,Next to Playa Roca Hotel,
Casa Hotel Santa Elena,Nicaragua,Jinotega,,26USD,Contiguo a Oficinas de INiser O del Colegio de las Monjas 75 vrs al Norte,
Hotel Leon Viejo,Nicaragua,Leon,,59USD,Calle Real s/n,
Hotel El Sueno de Meme,Nicaragua,Leon,,28USD,De donde fue la Mercantil 3 cuadras abajo 75 varas al norte,
Posada Ecologica La Abuela,Nicaragua,Masaya,,87USD,Laguna de Apoyo del Triangulo del Plan de la Laguna 2 kms al Noreste,
Lady M Club Hotel,Nicaragua,Leon,,35USD,Routa De Poneloya Puente Arlen Siu 100mts Al Sur/100 Al Este Leon,
Hotel Pinolero,Nicaragua,Granada,,34USD,Calle Real Xalteva Iglesia la Merced 25 vrs al este,
Hotel y Apartamento Los Cisneros,Nicaragua,Managua,,24USD,CST 2 cuadra al sur 1/2 arriba,
Hotel y Restaurante la Casona,Nicaragua,Jinotega,,55USD,"Catedral San Juan 1 1/2 cuadra al norte, contiguo al BAC jinotega",
Hotel Vanderbilt,Nicaragua,Managua,,35USD,Iglesia El Carmen 100 metros al Norte 50 metros al Oeste,
Zopango Island,Nicaragua,Granada,,173USD,Bahia de Asese,
Brisas Hotel,Nicaragua,Jinotega,,56USD,Centro Medico Quirurgico Santa Fe 75 Varas Al Este Calle Santa Ana,
Hotel Los Arcangeles,Nicaragua,Chontales Department,,57USD,Bo Central Costado Este de Catedral,
Guesthouse El Nancite,Nicaragua,Leon,,45USD,De La Iglesia El Calvario Una Cuadra Y Media Al Norte,
Hotel Alameda Jinotega,Nicaragua,Jinotega,,52USD,K 148 Carretera Panamericana,
Cortijo Esperanza,Nicaragua,Leon,,186USD,Km 107 carretera poneloya,
Hotel Caribe Puerto Cabezas,Nicaragua,Puerto Cabezas,,17USD,Barrio San Luis Calle Principal,
Hotel Majestic Nicaragua,Nicaragua,Masatepe,,84USD,"Km 43 Carretera Diriamba, Jinotepe",
Melting Elefante,Nicaragua,Tola,,27USD,Guasacate - Popoyo Tola,
Hotel Leon del Sol,Nicaragua,Leon,,58USD,"De La Recoleccion 2 Cuadra al Este, 3 Era Avendia, Leon, Nicaragua",
Sunset Hotel San Juan del Sur,Nicaragua,San Juan del Sur,,50USD,"De banpro San Juan del sur 75 vrs, donde fue la policia san juan del sur",
Hotel Dalinky,Nicaragua,Rivas,,53USD,200 Al Oeste Del Muelle,
Paraiso Beach Hotel,Nicaragua,Corn Islands,,0,Brig Bay 2,
Hotel Casa Naranja,Nicaragua,Managua,,0,"Km 4.5 Carretera a Masaya, del Restaurante TipTop 100 mts al Oeste ",
Casa Maderas Ecolodge,Nicaragua,San Juan del Sur,,0,"Concha Cascante junction 200, vrs North",
Hotel Irish House,Nicaragua,San Juan del Sur,,0," From The Market, 2 Blocks To The North",
