price,name,country,chain,area,rooms
"US$461","Banyan Tree Ungasan",Indonesia,"Hotel Chain:
Banyan Tree Hotels & Resorts","Jl. Melasti, Banjar Kelod Ungasan, 80364 Uluwatu, Indonesia","Hotel Rooms: 73,"
"US$33","Adi Cottage",Indonesia,Independent,"Jalan Monkey Forest, 80571 Ubud, Indonesia","Hotel Rooms: 21"
"US$91","Aleesha Villas and Suites",Indonesia,Independent,"Jl Kesari II Gg Tegal Sari, 80227 Sanur, Indonesia","Hotel Rooms: 16"
"US$696","Four Seasons Resort Bali at Sayan",Indonesia,"Hotel Chain:
Four Seasons Hotels and Resorts","Jalan Raya Sayan, Ubud, 80571 Ubud, Indonesia","Hotel Rooms: 60,"
"US$182","Tejaprana Resort & Spa",Indonesia,Independent,"Br. Sapat, Tegallalang - Ubud - Gianyar, Bali, 80561 Ubud, Indonesia","Hotel Rooms: 28"
"US$67","Swiss-Belresort Watu Jimbar",Indonesia,"Hotel Chain:
Swiss-Belhotel International","Jalan Danau Tamblingan 99, 80226 Sanur, Indonesia","Hotel Rooms: 306,"
"US$125","Puri Sebali Resort",Indonesia,Independent,"Jalan Raya Sebali, Banjar Sebali, Tegalalang, 80571 Ubud, Indonesia","Hotel Rooms: 16"
"US$218","The Ubud Village Resort & Spa",Indonesia,Independent,"Nyuh Kuning, Pengosekan, 80571 Ubud, Indonesia","Hotel Rooms: 30"
"US$62","Beji Ubud Resort",Indonesia,Independent,"Jl. Sangingan, Bali, 80571 Ubud, Indonesia","Hotel Rooms: 30"
"US$102","Golden Tulip Devins Seminyak",Indonesia,"Hotel Chain:
Golden Tulip","Jalan Petitenget, Komplex Villa Kendal No. 35, 80361 Seminyak, Indonesia","Hotel Rooms: 108,"
"US$79","The Grand Bali Nusa Dua",Indonesia,Independent,"ITDC Complex Nusa Dua Lot RA 6, jL. Nusa Dua Selatan No. 8, 80363 Nusa Dua, Indonesia","Hotel Rooms: 63
"
0,"Four Seasons Resort Bali at Jimbaran Bay",Indonesia,"Hotel Chain:
Four Seasons Hotels and Resorts","Jalan Kawasan Bukit Permai, Pantai Jimbaran, Bali, 80361 Jimbaran, Indonesia","Hotel Rooms: 156,"
"US$124","Alaya Resort Ubud",Indonesia,Independent,"Jl. Hanoman, Ubud, 80361 Ubud, Indonesia","Hotel Rooms: 60"
"US$468","AYANA Resort and Spa Bali",Indonesia,Independent,"Jalan Karang Mas Sejahtera, Jimbaran, 80364 Jimbaran, Indonesia","Hotel Rooms: 368"
"US$253","Sofitel Bali Nusa Dua Beach Resort",Indonesia,"Hotel Chain:
Sofitel","Kawasan Pariwisata BTDC, Lot N5, Nusa Dua, 80363 Nusa Dua, Indonesia","Hotel Rooms: 415,"
"US$141","Hideaway Villas Bali",Indonesia,Independent,"Jl. Bangbang Bendot Gang Hideaway, 80363 Uluwatu, Indonesia","Hotel Rooms: 34"
"US$367","Amarterra Villas Bali Nusa Dua - MGallery Collection",Indonesia,"Hotel Chain:
MGallery by Sofitel","Kawasan Pariwisata Nusa Dua BTDC Resort Lot Blok B, 80363 Nusa Dua, Indonesia","Hotel Rooms: 39,"
"US$59","Manyi Village Ubud",Indonesia,Independent,"Br. Laplapan, Ubud, 80571 Ubud, Indonesia","Hotel Rooms: 16"
"US$31","Camessa Hotel",Indonesia,Independent,"Jl. Ketut Natih, Br. Dinas Lebah, Desa Purwakerthi, 80852 Amed, Indonesia","Hotel Rooms: 2"
"US$43","Bunga Laut Bungalow",Indonesia,Independent,"Br Dinas Biaslantang Desa Purwa kerthi Karangasem, Bali, 80852 Amed, Indonesia","Hotel Rooms: 4"
"US$177","Royal Tulip Saranam Resort & Spa Bali",Indonesia,Independent,"Jl. Raya Baturiti, Banjar Pacung, Desa Baturiti and Kecamatan Baturiti, 82191 Bedugul, Indonesia","Hotel Rooms: 89"
"US$103","Vision Villas Resort",Indonesia,Independent,"Jalan Masceti Medahan, Blahbatu, 80581 Keramas, Indonesia","Hotel Rooms: 15"
