area,name,rooms,price,chain,country
"Villa Fontana, Del Club Terraza 150 Metros al Oeste, Managua, Nicaragua","Hotel Fontana","Hotel Rooms: 5",,Independent,Nicaragua
"Calle el Cementerio, 050-088-4 Granada, Nicaragua","Hotel de Calidad","Hotel Rooms: 15",,Independent,Nicaragua
"Bahía de Asese, 43000 Isletas de Granada, Nicaragua","Zopango Island","Hotel Rooms: 3",,Independent,Nicaragua
"6km from Salinas Bridge to Tola Rivas, 00884 El Gigante, Nicaragua","Punta Teonoste","Hotel Rooms: 16",,Independent,Nicaragua
"Costado este Policía Nacional, Diarimba, 000-000-0 Diriamba, Nicaragua","Hotel Mi Bohio","Hotel Rooms: 14",,Independent,Nicaragua
"Next to Playa Roca Hotel, 10000 Las Peñitas, Nicaragua","Simple Beach Lodge","Hotel Rooms: 3",,Independent,Nicaragua
"Contiguo a Oficinas de INiser, O del Colegio de las Monjas 75 vrs al Norte, Estelí, Nicaragua","Casa Hotel Santa Elena","Hotel Rooms: 11",,Independent,Nicaragua
"Playa Gigante Municipio Tola Departamento de Rivas, 70403 El Gigante, Nicaragua","Macheles Place Hotel","Hotel Rooms: 14",,Independent,Nicaragua
"de la Iglesia El Calvario, una cuadra y media al norte, León, Nicaragua","Guesthouse El Nancite","Hotel Rooms: 4",,Independent,Nicaragua
"Del Magfor media cuadra al norte, Moyogalpa, Nicaragua","Hotel Los Ranchitos","Hotel Rooms: 5",,Independent,Nicaragua
"rotonda santo domingo 5c sur 2 1/2 abajo bo la luz, 63012 Managua, Nicaragua","Hotel Ideas de Mama","Hotel Rooms: 20",,Independent,Nicaragua
"401 Calle El Arsenal, 43000 Granada, Nicaragua","Hotel de Sonrisas","Hotel Rooms: 7",,Independent,Nicaragua
"De la iglesia católica una y media al sur Contiguo al mirador, 91000 San Carlos, Nicaragua","Hotel y Restaurante Ocaso","Hotel Rooms: 7",,Independent,Nicaragua
"Calle El Caimito, de la alcaldia tres cuadras y media a lago, 18656 Granada, Nicaragua","Hotel La Posada del Sol","Hotel Rooms: 16",,Independent,Nicaragua
"Avenida principal Altamira Deste, de CONICO 1 cuadra arriba (Este) #539, 050-088-4 Managua, Nicaragua","Hotel Real Altamira","Hotel Rooms: 24",,Independent,Nicaragua
"Ferry station 1/2 block East (up), Moyogalpa, Nicaragua","American Cafe & Hotel","Hotel Rooms: 4",,Independent,Nicaragua
"Puente Palmira 1 cuadra al Este 1 cuadra al Sur 1/2 cuadra al este, 43000 Granada, Nicaragua","Hotel Casa Barcelona","Hotel Rooms: 8",,Independent,Nicaragua
"Las Peñitas Poneloya, 12345 Poneloya, Nicaragua","Hotel Suyapa Beach","Hotel Rooms: 15",,Independent,Nicaragua
"COTRAN Sur 1/2c al norte, 800 mts. al este, 00011 Estelí, Nicaragua","Apart Hotel Acuarious de Luis","Hotel Rooms: 11",,Independent,Nicaragua
"Calle Atravesada, Contiguo a Ixchen, 00011 Granada, Nicaragua","Hotel Cordoba","Hotel Rooms: 26",,Independent,Nicaragua
"Del Portón principal del hospital Militar 1c. Norte 3 c. Oeste  25 vrs Norte, 11173 Managua, Nicaragua","Hotel Posada del Angel","Hotel Rooms: 15",,Independent,Nicaragua
"la caille calzada, Granada, Nicaragua","Toritos","Hotel Rooms: 8",,Independent,Nicaragua
"De la Catedral 1/2 cuadra al norte, 21000 León, Nicaragua","Hotel Libano","Hotel Rooms: 12",,Independent,Nicaragua
"Del Almacén Sony, 1c. y 1/2 al Oeste, Estelí (Nicaragua), Estelí, Nicaragua","Casa Vínculos","Hotel Rooms: 7",,Independent,Nicaragua
"Ferreteria Rufino Gonzales 2 1/2 al Sur, 31000 Estelí, Nicaragua","Hotel Las Cornisas","Hotel Rooms: 11",,Independent,Nicaragua
"Residencial Lomas del Valle. From the East 2 blocks East and 3 blocks North, 151, 10000 Managua, Nicaragua","Hotel Lomas del Valle","Hotel Rooms: 10",,Independent,Nicaragua
"city hall 1/2 blocks east center, Granada, Nicaragua","Granada Boutique","Hotel Rooms: 8",,Independent,Nicaragua
"Hospital Salud Integral 3c al Oeste, 1c al Norte, 20 vrs al Este., 00011 Managua, Nicaragua","Hotel Xolotlan Managua","Hotel Rooms: 18",,Independent,Nicaragua
