area,street,rooms,chain,country,name,price
Kuta,Jl. Poppies II,,,Indonesia,Balisandy Cottages,22USD
Tabanan,Jalan Raya Tanah Lot,,,Indonesia,Pan Pacific Nirwana Bali Resort,88USD
Kuta,Jalan Bakung Sari 13A,,,Indonesia,The Flora Kuta Bali,25USD
Legian,Jl. Padma Utara,,,Indonesia,Bali Niksoma Boutique Beach Resort,136USD
Seminyak,Jalan Yudistira 18 Seminyak,,,Indonesia,The Wolas Villas,123USD
Seminyak,Jl Petitenget Number 88 Kerobokan,,,Indonesia,Kokonut Suites,57USD
Seminyak,Jalan Raya Petitenget Number 8L ,,,Indonesia,L Hotel Seminyak,76USD
Seminyak,Jalan Raya Petitenget 35,,,Indonesia,Ivory Resort Seminyak Bali,41USD
Seminyak,Jl. Sunset Road No. 88 S,,,Indonesia,Sense Sunset Hotel Seminyak,17USD
Seminyak,Jalan Kunti 108,,,Indonesia,The Amala,154USD
Seminyak,Jl. Pangkung Sar,,,Indonesia,Grand La Villais Villa and Spa Seminyak,116USD
Seminyak,Jalan Petitenget Number 168,,,Indonesia,Swiss-Belhotel Petitenget,39USD
Seminyak,Jalan Pangkung Sari Banjar Taman,,,Indonesia,Grand La Villais Hotel and Spa Seminyak,35USD
Sanur,"Jln. Hang Tuah, P.O.Box 3275",,,Indonesia,Inna Grand Bali Beach Hotel,47USD
Uluwatu,Jl. Labuan Sait Kav C-151,,,Indonesia,Anantara Uluwatu Resort & Spa,324USD
Jimbaran,Jalan Karang Mas Sejahtera No 89,,,Indonesia,Abi Bali Resort & Villa,65USD
Sanur,Jalan Sudamala no 26,,,Indonesia,Taksu Sanur Hotel,42USD
Kuta,Kartika Plaza Street ,,,Indonesia,Adhi Jaya Hotel,43USD
Seminyak,Jalan Kayu Aya,,,Indonesia,The Legian Bali Hotel,437USD
Kuta,Jalan Setiabudi No 8,,,Indonesia,The Kana Kuta Hotel,36USD
Tanjung Benoa,"Jl. Pratama, Tanjung Benoa",,,Indonesia,Kind Villa Bintang Resort,78USD
Ubud,Jalan Monkey Forest PO Box 110 ,,,Indonesia,Pertiwi Resort & Spa,71USD
Ubud,Jalan Cok Rai Pudak Br Yangloni Peliatan Ubud Gianyar,,,Indonesia,Suly Resort And Spa Bali,19USD
Kuta,Jalan Legian,,,Indonesia,Dewi Sri Hotel,37USD
Nusa Dua,Kawasan Pariwisata Lot S 6 Po Box 44 ,,,Indonesia,The St Regis Resort Bali,502USD
Seminyak,Jalan petitenget,,,Indonesia,Dash Hotel Seminyak,58USD
Kuta,Jalan Pantai Kuta No.38,,,Indonesia,Bali Summer Hotel,23USD
Kerobokan,"Jl. Raya Petitenget No. 7, Kerobokan, Kuta",,,Indonesia,Fave Hotel Umalas,21USD
Kuta,Jl. Raya Legian 74,,,Indonesia,J4 Hotels Legian,34USD
Legian,Jalan. Melasti No. 3,,,Indonesia,JOCS Boutique Hotel & Spa,69USD
Sanur,"Jl Kusuma Sari no 8, Sanur",,,Indonesia,Fairmont Sanur Beach Bali,219USD
Kuta,PO Box 1044 Kuta Jalan Singasari,,,Indonesia,Bakungsari Hotel Bali,17USD
Sanur,Jalan By Pass Ngurah Rai 83,,,Indonesia,Sanur Paradise Plaza Suites,62USD
Candi Dasa,Mendira Beach,,,Indonesia,Candi Beach Resort & Spa,85USD
Jimbaran,Bukit Permai 80361 ,,,Indonesia,Four Seasons Resort Bali at Jimbaran Bay,576USD
Kuta,Komplek Istana Kuta Galeria Blok Ethnic No 12 - 12A,,,Indonesia,Everyday Smart Hotel,12USD
Seminyak,37-39 Lebaksari Street,,,Indonesia,Centra Taum Seminyak,43USD
Gianyar,"Jl. Bypass Prof. Dr. Ida Bagus Mantra Km. 19,8",,,Indonesia,Mara River Safari Lodge Bali,213USD
Kuta,"Sunset Road, 88A",,,Indonesia,Atanaya Hotel,23USD
Sanur,Jalan Hang Tuah 46 ,,,Indonesia,Sanur Paradise Plaza Hotel,48USD
Kuta,Jl. Dewi Sartika / Nusa Indah No. 19,,,Indonesia,Manggar Indonesia Hotel,39USD
Ubud,Desa Kedewatan PO Box 198,,,Indonesia,The Royal Pita Maha,266USD
Ubud,Jalan Monkey Forest,,,Indonesia,Komaneka at Rasa Sayang,148USD
Legian,Jl. Werkudara,,,Indonesia,Hotel Kumala Pantai,105USD
