"code","ean","name","brand","model","category"
10024535,"8012542007357","REGOLATORE LUMINOSO CON DEVIATORE 500W ABB CHIARA","ABB",,"Electrical"
10024534,"8012542031451","PULSANTE PORTATARGA 3 MODULI ABB CHIARA","ABB",,"Electrical"
10024533,"8012542001454","PULSANTE A TIRANTE 10A ABB CHIARA","ABB",,"Electrical"
10024532,"8012542032052","LAMPADA EMERGENZA ESTRAIBILE ABB CHIARA","ABB",,"Electrical"
10024531,"8012542004264","CONNETTORE TELEFONICO RJ11 ABB CHIARA","ABB",,"Electrical"
10024530,"8012542004462","CONNETTORE RETE DATI RJ45 CAT5 E UTP ABB CHIARA","ABB",,"Electrical"
10024529,"8012542031550","PRESA TV COASSIALE PASSANTE ABB CHIARA","ABB",,"Electrical"
10024528,"8012542004950","PRESA TV COASSIALE DIRETTA ABB CHIARA","ABB",,"Electrical"
10024527,"8012542005155","PRESA TV SAT TIPO ""F"" ABB CHIARA","ABB",,"Electrical"
10024526,"8012542003151","PRESA UNIVERSALE 2P+T 10/16A + SCHUKO ABB CHIARA","ABB",,"Electrical"
10024525,"8012542002956","PRESA BIPASSO 2P+T 10/16A ABB CHIARA","ABB",,"Electrical"
10024524,"8012542002758","PRESA 2P+T 10A ABB CHIARA","ABB",,"Electrical"
10024523,"8012542000754","COMMUTATORE DOPPIO TASTO 3POS ABB CHIARA","ABB",,"Electrical"
10024522,"8012542007852","TASTO COPRIFORO ABB CHIARA","ABB",,"Electrical"
10024521,"8012542000150","INTERRUTTORE BIPOLARE 16A ILLUMINABILE ABB CHIARA","ABB",,"Electrical"
10024520,"8012542000853","PULSANTE 1 POLO 16A NORMALMENTE APERTO ABB CHIARA","ABB",,"Electrical"
10024519,"8012542000556","INVERTITORE 1 POLO 16A ILLUMINABILE ABB CHIARA","ABB",,"Electrical"
10024518,"8012542000358","DEVIATORE 1 POLO 16A ABB CHIARA","ABB",,"Electrical"
10024517,"8012542000051","INTERRUTTORE 1 POLO 16A ABB CHIARA","ABB",,"Electrical"
10024516,"8012542057802","PLACCA 3 MODULI CROMO ABB CHIARA","ABB",,"Electrical"
10024515,"8012542010456","PLACCA 3 MODULI PIETRA ABB CHIARA","ABB",,"Electrical"
