Code,Web description,Brand,model,category,price,EAN,url,image_url
10007246,CAMPANELLO WIRELESS AVIDSEN PORTATA 100m  ,AVIDSEN,102332,Electrical,16.9,3660211023327,http://www.bricoman.it/negozio/rezzato/10007246,http://www.bricoman.it/media/foto_articoli/2012/3/10007246.jpg
10031915,CAMPANELLO SENZA FILI AVIDSEN 120m CON FLASH 32 SUONERIE ,AVIDSEN,102334,Electrical,21.9,3660211023341,http://www.bricoman.it/negozio/rezzato/10031915,http://www.bricoman.it/media/foto_articoli/2012/4/10031915.jpg
10005086,CRONOTERMOSTATO SETTIMANALE LCD AVIDSEN  ,AVIDSEN,615352,Electrical,34.9,3660211037539,http://www.bricoman.it/negozio/rezzato/10005086,http://www.bricoman.it/media/foto_articoli/2012/5/10005086.jpg
10005092,TELECOMANDO AGGIUNTIVO AVIDSEN PER APRICANCELLI 10 CANALI ,AVIDSEN,104250,Electrical,24.9,3660211042571,http://www.bricoman.it/negozio/rezzato/10005092,,
10005088,2 FOTOCELLULE APRICANCELLO AVIDSEN 12V  ,AVIDSEN,104359,Electrical,34.9,3660211043592,http://www.bricoman.it/negozio/rezzato/10005088,,
10005089,ANTENNA PER APRICANCELLO AVIDSEN  ,AVIDSEN,104445,Electrical,24.9,3660211044452,http://www.bricoman.it/negozio/rezzato/10005089,,
10031927,RILEVATORE TEMPERATURA E UMIDITA' AVIDSEN DA INTERNO ,AVIDSEN,107240,Electrical,5.9,3660211072400,http://www.bricoman.it/negozio/rezzato/10031927,http://www.bricoman.it/media/foto_articoli/2012/4/10031927.bmp
10022768,PINZA PLUGGATRICE AVIDSEN UNIVERSALE PER PLUG RJ11+ RJ45 ,AVIDSEN,112580,Electrical,12,3660211125809,http://www.bricoman.it/negozio/rezzato/10022768,http://www.bricoman.it/media/foto_articoli/2012/3/10022768.jpg
10037802,TELECAMERA FINTA IN METALLO  ,AVIDSEN,120401,Electrical,24.9,3660211204016,http://www.bricoman.it/negozio/rezzato/10037802,http://www.bricoman.it/media/foto_articoli/2014/4/10037802.JPG
10030374,"KIT VIDEOSORVEGLIANZA 7"" LCD CON CAMERA INTERNO E ESTERNO 18mt DI CAVO E INGRESSO DVR",AVIDSEN,123066,Electrical,99.9,3660211230664,http://www.bricoman.it/negozio/rezzato/10030374,,
10025824,KIT VIDEOSORVEGLIANZA SENZA FILI AVIDSEN CON 2 TELECAMERE ,AVIDSEN,123156,Electrical,89.9,3660211231562,http://www.bricoman.it/negozio/rezzato/10025824,,
10010903,NASTRO ISOLANTE 25M 15 x 0.15mm NERO  ,3M,4001895906091,Electrical,0.85,4001895906091,http://www.bricoman.it/negozio/rezzato/10010903,http://www.bricoman.it/media/foto_articoli/2012/3/10010903.jpg
10010904,"NASTRO ISOLANTE 25M 15 x 0,15mm BIANCO  ",3M,4001895906251,Electrical,0.85,4001895906251,http://www.bricoman.it/negozio/rezzato/10010904,http://www.bricoman.it/media/foto_articoli/2012/1/10010904.jpg
10013914,"NASTRO ISOLANTE 25M 19 x 0,15mm BLU  ",3M,4001895906558,Electrical,1.6,4001895906558,http://www.bricoman.it/negozio/rezzato/10013914,http://www.bricoman.it/media/foto_articoli/2012/3/10013914.JPG
10013915,"NASTRO ISOLANTE 25M 19 x 0,15mm MARRONE  ",3M,4001895906572,Electrical,1.6,4001895906572,http://www.bricoman.it/negozio/rezzato/10013915,http://www.bricoman.it/media/foto_articoli/2012/3/10013915.jpg
10013916,"NASTRO ISOLANTE 25M 19 x 0,15mm G/VERDE  ",3M,4001895906619,Electrical,1.6,4001895906619,http://www.bricoman.it/negozio/rezzato/10013916,http://www.bricoman.it/media/foto_articoli/2012/3/10013916.jpg
10013913,"NASTRO ISOLANTE 25M 19 x 0,15mm GRIGIO  ",3M,4001895906633,Electrical,1.6,4001895906633,http://www.bricoman.it/negozio/rezzato/10013913,http://www.bricoman.it/media/foto_articoli/2012/3/10013913.jpg
10010914,"NASTRO ISOLANTE 25M 19 x 0,15mm ROSSO  ",3M,4001895906671,Electrical,1.6,4001895906671,http://www.bricoman.it/negozio/rezzato/10010914,http://www.bricoman.it/media/foto_articoli/2012/3/10010914.jpg
10010913,"NASTRO ISOLANTE 25M 19 x 0,15mm BIANCO  ",3M,4001895906695,Electrical,1.6,4001895906695,http://www.bricoman.it/negozio/rezzato/10010913,http://www.bricoman.it/media/foto_articoli/2012/3/10010913.jpg
10010915,"NASTRO ISOLANTE 25M 25 x 0,15mm NERO  ",3M,4001895906756,Electrical,2,4001895906756,http://www.bricoman.it/negozio/rezzato/10010915,http://www.bricoman.it/media/foto_articoli/2012/3/10010915.jpg
10010917,"NASTRO ISOLANTE 25M 25 x 0,15mm ROSSO  ",3M,4001895906909,Electrical,2,4001895906909,http://www.bricoman.it/negozio/rezzato/10010917,http://www.bricoman.it/media/foto_articoli/2012/3/10010917.jpg
10010916,"NASTRO ISOLANTE 25M 25 x 0,15mm BIANCO  ",3M,4001895906923,Electrical,1.9,4001895906923,http://www.bricoman.it/negozio/rezzato/10010916,http://www.bricoman.it/media/foto_articoli/2012/1/10010916.jpg
10010912,"NASTRO ISOLANTE 25M 19x0,15mm NERO  ",3M,4001895959356,Electrical,1.6,4001895959356,http://www.bricoman.it/negozio/rezzato/10010912,http://www.bricoman.it/media/foto_articoli/2012/3/10010912.jpg
10028909,BATTERIA 12V PER TELECOMANDO VARTA  ,VARTA,4008496261628,Electrical,2.5,4008496261628,http://www.bricoman.it/negozio/rezzato/10028909,http://www.bricoman.it/media/foto_articoli/2012/3/10028909.jpg
10028908,BATTERIA BOTTONE CR2032 VARTA  ,VARTA,4008496276882,Electrical,2.5,4008496276882,http://www.bricoman.it/negozio/rezzato/10028908,http://www.bricoman.it/media/foto_articoli/2012/3/10028908.jpg
10028843,2 PILE RICARICABILI MINISTILO AAA 1000mA VARTA ,VARTA,4008496538621,Electrical,10.9,4008496538621,http://www.bricoman.it/negozio/rezzato/10028843,http://www.bricoman.it/media/foto_articoli/2012/3/10028843.jpg
10028846,4 PILE RICARABILI MINISTILO AAA 800 mAh READY TO USE VARTA ,VARTA,4008496550616,Electrical,10.9,4008496550616,http://www.bricoman.it/negozio/rezzato/10028846,http://www.bricoman.it/media/foto_articoli/2012/3/10028846.jpg
10028841,4 PILE RICARICABILI STILO AA 2100 mAh VARTA ,VARTA,4008496550692,Electrical,10.9,4008496550692,http://www.bricoman.it/negozio/rezzato/10028841,http://www.bricoman.it/media/foto_articoli/2012/3/10028841.jpg
10028838,"2 PILE TORCIA ""D"" HIGHT ENERGY VARTA  ",VARTA,4008496559237,Electrical,4.1,4008496559237,http://www.bricoman.it/negozio/rezzato/10028838,http://www.bricoman.it/media/foto_articoli/2012/3/10028838.jpg
10028837,2 PILE MEZZA TORCIA C HIGHT ENERGY VARTA ,VARTA,4008496559312,Electrical,3.45,4008496559312,http://www.bricoman.it/negozio/rezzato/10028837,http://www.bricoman.it/media/foto_articoli/2012/3/10028837.jpg
10028835,4 PILE STILO AA HIGHT ENERGY VARTA  ,VARTA,4008496559435,Electrical,2.99,4008496559435,http://www.bricoman.it/negozio/rezzato/10028835,http://www.bricoman.it/media/foto_articoli/2012/3/10028835.jpg
10028836,4 PILE MINISTILO AAA HIGHT ENERGY VARTA  ,VARTA,4008496559749,Electrical,3.49,4008496559749,http://www.bricoman.it/negozio/rezzato/10028836,http://www.bricoman.it/media/foto_articoli/2012/3/10028836.jpg
