SKU,Product,Category,John Lewis URL,JL product code,Habitat URL,Heals URL,West Elm URL,Next URL,Next product code
CLKRLA007ZCO-UK,"Aurelia Wall Clock, Copper",Accessories & Textiles,http://www.johnlewis.com/lascelles-chrome-wall-clock-dia-30cm/p153481,,,,,,
BINSNS002BLA-UK,"Sens̩ Touch-free Bin 50L, Black",Accessories & Textiles,http://www.johnlewis.com/simplehuman-semi-round-sensor-bin-matt-steel-45l/p433397,,http://www.habitat.co.uk/simplehuman-slim-touch-bar-bin-40l///fcp-product/269057,,,http://www.next.co.uk/g79218s4#680099g79,
BINSNS007ZCH-UK,"Stainless Steel Sens̩ Bin, Recycle",Accessories & Textiles,http://www.johnlewis.com/brabantia-twin-recycling-touch-bin-brilliant-steel-20-20l/p1399386,,http://www.habitat.co.uk/simplehuman-rectangular-recycler-bin-30l-&-16l///fcp-product/100538,,,,
CUSTIO004GRY-UK,"Trio Cushion 45 x 45cm, Grey and Mustard",Accessories & Textiles,http://www.johnlewis.com/john-lewis-scandi-star-cushion/p1352116,,,http://www.heals.co.uk/soft-furnishings/heals-1810-parquet-linen-cushion/invt/678108,,,
PHOACA031ZBW-UK,"The Big Smoke, 50 X 40 cm, Limited Edition",Accessories & Textiles,http://www.johnlewis.com/getty-images-gallery-dominion-monarch-framed-print-49-x-57cm/p519593,,http://www.habitat.co.uk/battersea-print-50-x-50cm-print-by-jayson-lilley/wall-art//fcp-product/240759,,,,
PHOPRC011ZMU-UK,Happy Flamingoes Framed Screen Print,Accessories & Textiles,http://www.johnlewis.com/cartwheels-and-conkers-pink-flamingo-framed-print-43-x-33cm/p1543144,,http://www.habitat.co.uk/dicky-bird-30-x-40cm-owl-print/wall-art//fcp-product/290281,,,,
RUGARC002GRY-UK,"Arc Rug, 170 x 240cm, Grey",Accessories & Textiles,http://www.johnlewis.com/john-lewis-holm-rug-putty-citrine/p1177250,64663412,http://www.habitat.co.uk/manami-large-multi-coloured-wool-rug-170-x-240cm/rugs//fcp-product/305574,,http://www.westelm.co.uk/chris-wynter-abstract-wool-rug-multi-t1516?quantity=1&attribute_1=152%20x%20%20244%20cm,,
RUGAST001ZMU-UK,"Astoria Rug 170 x 240cm, Yellow & Pink Mix",Accessories & Textiles,http://www.johnlewis.com/scion-kaleido-rug/p983136?colour=Multi,64674922,http://www.habitat.co.uk/happer-large-grey-and-yellow-hand-tufted-wool-rug-170-x-240cm/rugs//fcp-product/223931,http://www.heals.co.uk/rugs/linie-design-graphic-orange-rug/invt/266435,,http://www.next.co.uk/x554130s3#945910x55,945-910-78
RUGDKTA04GRE-UK,"Dakota Rug 170 x 240cm, Sea Green Mix",Accessories & Textiles,http://www.johnlewis.com/john-lewis-modasa-rug-indigo-white/p1629702,64613202,http://www.habitat.co.uk/brecan-large-grey-flat-weave-rug-170-x-240cm/rugs//fcp-product/127882,http://www.heals.co.uk/rugs/gandia-blasco-mosaiek-yellow-kilim-rug/invt/mosaiekyellow,http://www.westelm.co.uk/matrix-wool-kilim-rug-horseradish-t1511?quantity=1&attribute_1=152%20x%20%20244%20cm,,
RUGGILS01ZMU-UK,"Merida Rug, 170 x 240cm, Blue",Accessories & Textiles,http://www.johnlewis.com/john-lewis-city-blocks-rug/p1661506,64663602,http://www.habitat.co.uk/odeon-large-multi-coloured-wool-rug-170-x-240cm/rugs//fcp-product/305571,http://www.heals.co.uk/rugs/linie-design-graphic-orange-rug/invt/266435,,,
RUGMOGC02BLU-UK,"Monographic Rug 170 x 240cm, Verdigris Blue",Accessories & Textiles,http://www.johnlewis.com/margo-selby-for-john-lewis-ms-dog-star-rug-multi/p1661607,,http://www.habitat.co.uk/grid-large-geometric-patterned-wool-rug-170-x-240cm/rugs//fcp-product/93875,http://www.heals.co.uk/rugs/heals-zox-blue-and-grey-rug/invt/795963,http://www.westelm.co.uk/products/kite-kilim-rug-r894/?pkey=crugs-flooring&cm_src=rugs-flooring||NoFacet-_-NoFacet-_--_-,http://www.next.co.uk/x555130s2#104287x55,104-287-78
