identifier,sku,name,price,url
,,Communicatie en Eventmanagement / Management- en Communicatievaardigheden,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Management-en-Communicatievaardigheden.html
,,"Communicatie en Eventmanagement / MHBO Communicatie, Marketing en Management",1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Communicatie-Marketing-en-Management.html
,,Communicatie en Eventmanagement / HBO Strategische Bedrijfscommunicatie,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Strategische-Bedrijfscommunicatie.html
,,Communicatie en Eventmanagement / HBO Professionele Communicatievaardigheden,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Professionele-Communicatievaardigheden.html
,,Communicatie en Eventmanagement / HBO Professioneel Communiceren en Adviseren,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Professioneel-Communiceren-en-Adviseren.html
,,Communicatie en Eventmanagement / HBO Professioneel Adviseren,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Professioneel-Adviseren.html
,,Communicatie en Eventmanagement / HBO Leergang Communicatie,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Communicatie.html
,,Communicatie en Eventmanagement / MBO Medewerker Public Relations,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Medewerker-Public-Relations.html
,,Communicatie en Eventmanagement / MBO Medewerker Evenementenorganisatie (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Medewerker-Evenementenorganisatie-niveau-4.html
,,Communicatie en Eventmanagement / MBO Marketingmedewerker,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Marketingmedewerker.html
,,Communicatie en Eventmanagement / MBO Marketingcommunicatie en Reclame,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Marketingcommunicatie-en-Reclame.html
,,Communicatie en Eventmanagement / MBO Marketing- en Communicatiemedewerker,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Marketing-en-Communicatiemedewerker.html
,,Communicatie en Eventmanagement / MBO Marketing en Communicatie,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Marketing-en-Communicatie.html
,,Communicatie en Eventmanagement / MBO Eventmanagement,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Eventmanagement.html
,,Communicatie en Eventmanagement / MBO Creatieve Communicatie en Reclame,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Creatieve-Communicatie-en-Reclame.html
,,Communicatie en Eventmanagement / MBO Communicatie,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Communicatie.html
,,Communicatie en Eventmanagement / MBO Assistent-communicatiemedewerker (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Assistent-Communicatiemedewerker-niveau-4.html
,,Communicatie en Eventmanagement / MBO Assistent-communicatiemedewerker,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Assistent-Communicatiemedewerker.html
,,Communicatie en Eventmanagement / HBO Bachelor Communicatie,5200.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Bachelor-Communicatie.html
,,Sportmanagement en -coaching / Sportmasseur,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Sportmasseur.html
,,Sportmanagement en -coaching / Basisopleiding Sportcoach,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Basisopleiding-Sportcoach.html
,,Sportmanagement en -coaching / HBO Sportcoaching,1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Sportcoaching.html
,,Sportmanagement en -coaching / HBO Leergang Sportmanagement en -coaching,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Sportmanagement-en-Coaching.html
,,Sportmanagement en -coaching / HBO Leergang Sportmanagement,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Sportmanagement.html
,,Sportmanagement en -coaching / MBO Sport- en Bewegingsleider (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Sport--en-Bewegingsbegeleider-niveau-3.html
,,Sportmanagement en -coaching / MBO Sport- en Bewegingsbegeleider,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Sport--en-bewegingsbegeleider.html
,,Persoonlijke Effectiviteit en Assertiviteit / Persoonlijke Effectiviteit en Presentatie,590.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Persoonlijke-Effectiviteit-en-Presentatie.html
,,Persoonlijke Effectiviteit en Assertiviteit / Loopbaanbegeleidingsprogramma,790.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Loopbaanbegeleidingsprogramma.html
,,Persoonlijke Effectiviteit en Assertiviteit / Assertief Optreden,790.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Assertiviteit-1.html
,,Talen / Engels in de Praktijk,460.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Engels-in-de-Praktijk.html
,,Talen / HBO Zakelijk Engels,1300.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Zakelijk-Engels.html
,,Talen / MBO Programma Spaans,1300.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Programma-Spaans.html
,,Talen / MBO Programma Engels,1300.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Programma-Engels.html
,,Talen / MBO Frans,1300.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Frans.html
,,Talen / MBO Duits,1300.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Duits.html
,,"Makelaardij, Bouwkunde en Architectuur / Interieurontwerp en Styling",880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Interieurontwerp-en-Styling.html
,,"Makelaardij, Bouwkunde en Architectuur / Bouwkunde en Architectuur",880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Bouwkunde-en-Architectuur.html
,,"Makelaardij, Bouwkunde en Architectuur / Basisopleiding Tuinontwerp",880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Basisopleiding-Tuinontwerp.html
,,"Makelaardij, Bouwkunde en Architectuur / Assistent-Makelaar Onroerend Goed",880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Assistent-Makelaar-Onroerend-Goed.html
,,"Makelaardij, Bouwkunde en Architectuur / MHBO Vakopleiding Interieuradviseur",1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Vakopleiding-Interieuradviseur.html
,,"Makelaardij, Bouwkunde en Architectuur / MHBO Makelaar Onroerend Goed",1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Makelaar-Onroerend-Goed.html
,,"Makelaardij, Bouwkunde en Architectuur / MHBO Binnenhuisarchitectuur",1300.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Binnenhuisarchitectuur.html
,,"Makelaardij, Bouwkunde en Architectuur / HBO Leergang Makelaardij en Vastgoed",2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Makelaardij-en-Vastgoed.html
,,"Makelaardij, Bouwkunde en Architectuur / HBO Leergang Architectuur en Binnenhuisarchitectuur",1620.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Architectuur-en-Binnenhuisarchitectuur.html
,,Coaching en Psychologie / Lifecoach,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Lifecoach.html
,,Coaching en Psychologie / Budgetcoach,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Budgetcoach.html
,,Coaching en Psychologie / Basisopleiding Psychologie,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Basisopleiding-Psychologie.html
,,Coaching en Psychologie / Basisopleiding Coaching,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-Basisopleiding-Coaching.html
,,Coaching en Psychologie / HBO Toegepaste Psychologie,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Toegepaste-Psychologie.html
,,Coaching en Psychologie / HBO Stressbegeleiding en Coaching,1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Stressbegeleiding-en-Coaching.html
,,Coaching en Psychologie / HBO Seksuologie,880.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Seksuologie.html
,,Coaching en Psychologie / HBO Relatietherapeut,880.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Relatietherapeut.html
,,Coaching en Psychologie / HBO Psychologische Hulpverlening,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Psychologische-Hulpverlening.html
,,Coaching en Psychologie / HBO Psychologie en Gedragsverandering,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Psychologie-en-Gedragsverandering.html
