"Code","15/06/2016"
"18514R8COVANCO2",84.93
"18514R8DUECODRIV",82.31
"18514R8DULT30",
"18514R8GEEUROVA2",64.27
"18514R8GOCARG28",80.25
"18514R8MIAGILIS",88.69
"18515R8BUKUMHO",74.32
"18515R8GOG28",
"18515R8TOH02",
"18517MDUGTREK",136.49
"1855016HBRER300",89.65
"1855016HBUKUWP51",74.69
"1855016HCOEC5",90.67
"1855016HCOPREM2",100.25
"1855016TCOPREM2",96.23
"1855016VBUFA914",73.42
"1855016VBUKUHS51",63.52
"1855016VCOPREM",106.3
"1855016VDUSP9000",102.46
"1855016VTOT1R",63.7
"1855513HTOR610",30.83
"1855514HBUEN816",49.98
"1855514HBUFA912",57.88
"1855514HBUFA914",55.02
"1855514HBUGT228",52.62
"1855514HBUGTWIN",62.37
"1855514HBUKUKH27",56.25
"1855514HBUKUKH31",56.62
"1855514HDUSPTBLU",81.57
"1855514HGEALTAS",59.89
"1855514HGEALTSPT",62.22
"1855514HGOEFFPER",79.96
"1855514HMISAVE",86.47
"1855514HPIP1CINT",80.76
"1855514HTOCF2",56.34
"1855515HBREP150",76.51
"1855515HBUFAS200",79.13
"1855515HBUGTVP1",57.16
"1855515HBUGTWTP",
"1855515HBUKUKH27",56.04
"1855515HBUKUKH31",56.22
"1855515HBUKUKW23",58.83
"1855515HBUKUWP51",68.61
"1855515HCOECEC5",69.45
"1855515HCOPREM2",76.98
"1855515HCOPREM5",66.89
"1855515HDUBLUERE",82.67
"1855515HGEALTSPT",67.26
"1855515HGOEFFGRI",64.44
"1855515HGOEFFGRL",72.4
"1855515HGOV4SEA",77.56
"1855515HGOVEC4SE",95.64
"1855515HMIE3A",79.79
"1855515HMISAVER",88.92
"1855515HMIXCLIMA",94.68
"1855515HPICINTAS",79.3
"1855515HPIP1CINT",79.96
"1855515HTOPXCF2",
"1855515TBREP25EC",76.6
"1855515TBRLM001",78.71
"1855515TCOPREM2",81.13
"1855515VBREP150",68.57
"1855515VBUEN816",55
"1855515VBUFA914",59.55
"1855515VBUGT228",57.16
"1855515VBUGTFE1",57.16
"1855515VBUKU17XL",63.76
"1855515VBUKU27XL",61.84
"1855515VBUKUHS51",60.7
"1855515VBUKUKU31",56.61
"1855515VCOCPC5",85.08
"1855515VCOPRE2XL",85.6
"1855515VDUBLURES",85.66
"1855515VGEALTSPT",66.69
"1855515VGEALTUHP",73.91
"1855515VGOEFPERF",76.5
"1855515VMIEXA2",109.87
"1855515VPIP1CINT",97.9
"1855515VPIP1CIVR",85.91
"1855515VTOTYR27A",64.74
"1855515VTOYOT1R",53.59
"1855516HBRER370",82.67
"1855516HCONPREM",91.12
"1855516HCOPREM2E",95.35
"1855516HDUSP2030",71.41
"1855516HGEALTSXL",68.92
"1855516HMIENERGY",110.26
"1855516HMIENSAVR",107.97
"1855516TPIW190C3",96.9
"1855516VBRER300",90.94
"1855516VBUFA914",70.45
"1855516VBUGTBAX2",67.8
"1855516VBUGTFE1C",
"1855516VCOPREM2",88.35
"1855516VDUFSTRSP",97.2
"1855516VMIENSAVE",112.41
"1855516VPICINTAS",94
"1855516VPIP1CINT",96.07
"1856012R8BUGTMAX",66.9
"1856013HBUFA912",68.04
"1856013HBUFA914",52.68
"1856013HBUGTECO",50.28
"1856013HTOR888SG",89.07
"1856014HBRA001",62.99
"1856014HBRER300",65.07
"1856014HBRER300H",58.73
"1856014HBUEN816",43.56
"1856014HBUFA914",48.57
"1856014HBUFAAS20",56.83
"1856014HBUGTFE1C",
"1856014HBUGTVP1",48.21
"1856014HBUGTWIN",60.64
"1856014HBUKUKH17",50.85
"1856014HBUKUKH27",46.05
"1856014HCOECO5",50.44
"1856014HDUBLUERE",48.37
"1856014HGEALTAS",49.99
"1856014HGEALTCOM",58.72
"1856014HGOEFFGRP",49.31
"1856014HGOEFGRIP",49.31
"1856014HMISAVE",53.43
"1856014HMIXCLIMA",68.95
"1856014HPIP1CINT",50.14
"1856014HTOCF2",51.96
"1856014TBUGTWIN",48.36
"1856014TBUGTWTP",
"1856014TBUKUWP51",57.81
"1856014TCOECO3",56.89
"1856014TDUSTRESP",65.97
"1856014TGEALTMAX",59.75
"1856014TGOEFFCOM",56.88
"1856014TGOUGRIP9",70.48
"1856014TMISAVE",68.43
"1856015HBRA001",78.13
"1856015HBRB250",75.21
"1856015HBREP150",73.24
"1856015HBRT001",75.22
"1856015HBRT001XL",74.5
"1856015HBUEN816",53.45
"1856015HBUFA914",58.63
"1856015HBUFA914X",60.23
"1856015HBUFAAS20",65.02
"1856015HBUGTFE1",59.16
"1856015HBUGTVP1",57.19
"1856015HBUKUHA31",62.61
"1856015HBUKUKH17",59.91
"1856015HBUKUKH21",62.34
"1856015HBUKUKH27",59.57
"1856015HBUKUKH2H",56.75
"1856015HBUKUKH31",71.01
"1856015HCOCON5XL",82.83
"1856015HCOCPC5",63.03
"1856015HCOPREM2",65.68
"1856015HCOPREM5",66.76
"1856015HDUBLUERE",61.51
"1856015HDUBLURES",59.5
"1856015HDUSP01",77.33
"1856015HDUSPT01V",59.5
"1856015HGEALTAS",60.99
"1856015HGEALTCXL",65.98
"1856015HGEALTHP",69.06
"1856015HGOEFFPER",79.03
"1856015HGOEFPERF",75.85
"1856015HMISAVE",65.79
"1856015HMISAVEAO",77.08
"1856015HMISAVEX",67.21
"1856015HPICIASXL",85.51
"1856015HPIP1CINT",64.81
"1856015HPIP1CIVX",63.4
"1856015HPIP6CINT",58.55
"1856015HTOCF2XL",56.25
"1856015HTOPXCF2",55.07
"1856015R6COVAN",79.48
"1856015R6COVANC2",93.37
"1856015RFBUEN816",53.25
"1856015RFBUFA912",60.88
"1856015RFBUGTECO",58.05
"1856015RFBUGTWIN",59.01
"1856015RFBUGTWTP",
"1856015RFBUKH31",55.74
"1856015TBRB250T",74.81
"1856015TBRB250XL",74.79
"1856015TBUFA832",59.43
"1856015TBUGTWTP",
"1856015TBUKUWP51",67.41
"1856015TCO850XL",75.93
"1856015TCOCONT5",66.36
"1856015TCOPREM2A",67.33
"1856015TDUSP01AO",78.33
"1856015TGEALTWIN",66.91
"1856015TGOEFCOMP",79
"1856015TMIALPIN4",68.55
"1856015TMISAVE",81.24
"1856015TMISAVEAO",76.91
"1856015TMISAVEXL",82.77
"1856015TPIW190S3",72.36
"1856015VMIXCLIMA",84.82
"1856016HBREP25H",91.63
"1856016HDUENASAV",102.77
"1856016HTOPXR39",75.55
"1856514HBREP150",72.87
"1856514HBREP150H",73.37
"1856514HBRER150",81.27
"1856514HBUEN816",47.4
"1856514HBUFA912",52.15
"1856514HBUFA914",52.2
"1856514HBUGTFE1C",
"1856514HBUGTVP1",49.8
"1856514HBUKUHA31",62.02
"1856514HBUKUKH17",55.2
"1856514HBUKUKH27",52.81
"1856514HDUBLURES",75.95
"1856514HDUFSTREP",81.7
"1856514HGEALTCOM",65.02
"1856514HGEALTHP",62.15
"1856514HGODURAGP",65.99
"1856514HGOEFFGRI",75.75
"1856514HMISAVE",82.38
"1856514HPIP1CINT",76.97
"1856514HTOCF1",47.98
"1856514HTOCF2",46.67
"1856514TBUFA832",50.4
"1856514TBUFAAS20",57.12
"1856514TBUGTWTP",
"1856514TBUKUKH17",49.56
"1856514TBUKUKH27",49.3
"1856514TCOECO3",70.6
"1856514TDUSTREE2",66.41
"1856514TDUSTRESP",48.93
"1856514TGEALTAS",51.51
"1856514TGEALTCOM",58.2
"1856514TGEALTWIN",63.23
"1856514TGOEFCOMP",66.29
"1856514TMISAVE",70.98
"1856514TPIP4CINT",73.15
"1856514TTO350",
"1856514TTONE03",54.04
"1856515HBRA001",75.91
"1856515HBRB250H",73.68
"1856515HBRER300",64.09
"1856515HBRER300H",68.41
"1856515HBRT001H",74.08
"1856515HBUEN816",52.73
"1856515HBUFAAS20",63.53
"1856515HBUFAZ914",54.93
"1856515HBUGTFE1",56.39
"1856515HBUGTVP1",55.11
"1856515HBUKUKH17",53.83
