"MTS Stockcode","Website","Pattern","Brand","Segment","Full Tyre Size","Width","Aspect Ratio","Rim","Load rating","Speed rating","Alternative speed rating","XL","Run Flat","Manufacturer mark","Fitted or Delivered","Price"
"2254018ZBRRE002X","BlackCircles","Bridgestone Potenza Adrenalin RE002 ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","No",,"Fitted","109.92"
"2254018ZBRS001XL","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No",,"Fitted","117.24"
"2254018ZBRRE05AO","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No","AO","Fitted","121.04"
"n/a","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","No",,"Fitted","124.44"
"2254018ZBRS001XL","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/92/Y",225,40,18,92,"Y",,"Yes","No","PZ","Fitted","125.76"
"2254018ZBRS001YA","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Fitted","138.88"
"2254018ZBRS001YA","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Fitted","135.11"
"2254018ZBRS001YA","BlackCircles","Bridgestone Turanza ER33 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","No",,"Fitted","151.38"
"n/a","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","Yes","PZ","Fitted","167.28"
"2254018ZBRRE050R","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/88/W",225,40,18,88,"W",,"No","Yes","*","Fitted","170.09"
"2254018ZBRE05A1R","BlackCircles","Bridgestone Potenza RE050A ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","Yes","*","Fitted","175.13"
"2254018ZBRE050A1","BlackCircles","Bridgestone Potenza S001 ","bridgestone","premium","225/40/18/88/Y",225,40,18,88,"Y",,"No","Yes","*","Fitted","178.2"
"2254018ZBRRE002X","BlackCircles","Bridgestone Potenza Adrenalin RE002 ","bridgestone","premium","225/40/18/92/W",225,40,18,92,"W",,"Yes","No",,"Delivered","94.32"
