ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
53981,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,500,Flyers & Leaflets,36,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53982,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,250,Flyers & Leaflets,27,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53983,NULL,Gloss Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,100,Flyers & Leaflets,24,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53984,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,100,Flyers & Leaflets,25,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53985,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,250,Flyers & Leaflets,32,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53986,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,500,Flyers & Leaflets,42,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53987,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,1000,Flyers & Leaflets,59,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53988,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,2000,Flyers & Leaflets,97,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53989,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,5000,Flyers & Leaflets,199,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53990,NULL,Velvet Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,10000,Flyers & Leaflets,369,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53991,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,50000,Flyers & Leaflets,517,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53992,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,40000,Flyers & Leaflets,423,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53993,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,30000,Flyers & Leaflets,328,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53994,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,25000,Flyers & Leaflets,263,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53995,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,20000,Flyers & Leaflets,207,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53996,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,15000,Flyers & Leaflets,161,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53997,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,10000,Flyers & Leaflets,109,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53998,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,5000,Flyers & Leaflets,69,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53999,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,100,Flyers & Leaflets,15,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54000,NULL,No Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,2000,Flyers & Leaflets,35,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54001,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,250,Flyers & Leaflets,16,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54002,NULL,No Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,500,Flyers & Leaflets,17,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
