Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
41061,41061,Jasmine's Exotic Palace,,,Disney Princess,Disney Princess,229.95,
41062,41062,Elsa’s Sparkling Ice Castle,,,Disney Princess,Disney Princess,349,
41063,41063,Ariel’s Undersea Palace,,,Disney Princess,Disney Princess,549,
41065,41065,Rapunzel’s Best Day Ever,,,,Disney Princess,229.95,
41066,41066,Anna & Kristoff’s Sleigh Adventure,,,,Disney Princess,269.95,
41067,41067,Belle’s Enchanted Castle,,,,Disney Princess,449,
41068,41068,Arendelle Castle Celebration,,,,Disney Princess,549,
41069,41069,Treasure’s Day at the Pool,,,,Disney Princess,69.95,
41140,41140,Daisy’s Beauty Salon,,,,Disney Princess,99.95,
41141,41141,Pumpkin’s Royal Carriage,,,,Disney Princess,99.95,
41142,41142,Palace Pets Royal Castle,,,,Disney Princess,179.95,
41073,41073,Naida's Epic Adventure Ship,,,Elves,Elves,269.95,
41075,41075,The Elves’ Treetop Hideaway,,,Elves,Elves,449,
41077,41077,Aira’s Pegasus Sleigh,,,Elves,Elves,349,
41078,41078,Skyra’s Mysterious Sky Castle,,,Elves,Elves,799,
41171,41171,Emily Jones & the Baby Wind Dragon,,,,Elves,99.95,
41172,41172,The Water Dragon Adventure,,,,Elves,229.95,
41173,41173,Elvendale School of Dragons,,,,Elves,179.95,
41174,41174,The Starlight Inn,,,,Elves,269.95,
41175,41175,Fire Dragon's Lava Cave,,,,Elves,349,
41176,41176,The Secret Market Place,,,,Elves,549,
41177,41177,The Precious Crystal Mine,,,,Elves,229.95,
41178,41178,The Dragon Sanctuary,,,,Elves,449,
41179,41179,Queen Dragon's Rescue,,,,Elves,649,
41180,41180,Ragana's Magic Shadow Castle,,,,Elves,799,
41093,41093,Heartlake Hair Salon,,,LEGO Friends,LEGO Friends,299.95,
41094,41094,Heartlake Lighthouse,,,LEGO Friends,LEGO Friends,349,
41095,41095,Emma’s House,,,LEGO Friends,LEGO Friends,649,
41097,41097,Heartlake Hot Air Balloon,,,LEGO Friends,LEGO Friends,269.95,
41099,41099,Heartlake Skate Park,,,LEGO Friends,LEGO Friends,179.95,
41100,41100,Heartlake Private Jet,,,LEGO Friends,LEGO Friends,229.95,
41101,41101,Heartlake Grand Hotel,,,LEGO Friends,LEGO Friends,1099,
41103,41103,Pop Star Recording Studio,,,LEGO Friends,LEGO Friends,129.95,
41104,41104,Pop Star Dressing Room,,,LEGO Friends,LEGO Friends,269.95,
41105,41105,Pop Star Show Stage,,,LEGO Friends,LEGO Friends,399,
41106,41106,Pop Star Tour Bus,,,LEGO Friends,LEGO Friends,549,
41107,41107,Pop Star Limo,,,LEGO Friends,LEGO Friends,229.95,
41108,41108,Heartlake Food Market,,,LEGO Friends,LEGO Friends,349,
41109,41109,Heartlake Airport,,,LEGO Friends,LEGO Friends,799,
41110,41110,Birthday Party,,,,LEGO Friends,179.95,
41111,41111,Party Train,,,,LEGO Friends,99.95,
41112,41112,Party Cakes,,,,LEGO Friends,49.95,
41113,41113,Party Gift Shop,,,,LEGO Friends,49.95,
41114,41114,Party Styling,,,,LEGO Friends,49.95,
41115,41115,Emma's Creative Workshop,,,,LEGO Friends,99.95,
41116,41116,Olivia's Exploration Car,,,,LEGO Friends,129.95,
41117,41117,Pop Star TV Studio,,,,LEGO Friends,179.95,
41118,41118,Heartlake Supermarket,,,,LEGO Friends,249.95,
41119,41119,Heartlake Cupcake Café,,,,LEGO Friends,349,
41120,41120,Adventure Camp Archery,,,,LEGO Friends,99.95,
41121,41121,Adventure Camp Rafting,,,,LEGO Friends,269.95,
41122,41122,Adventure Camp Tree House,,,,LEGO Friends,649,
41123,41123,Foal's Washing Station,,,,LEGO Friends,99.95,
41124,41124,Heartlake Puppy Daycare,,,,LEGO Friends,269.95,
41125,41125,Horse Vet Trailer,,,,LEGO Friends,349,
41126,41126,Heartlake Riding Club,,,,LEGO Friends,599,
41127,41127,Amusement Park Arcade,,,,LEGO Friends,129.95,
41128,41128,Amusement Park Space Ride,,,,LEGO Friends,179.95,
41129,41129,Amusement Park Hot Dog Van,,,,LEGO Friends,269.95,
41130,41130,Amusement Park Roller Coaster,,,,LEGO Friends,899,
41131,41131,LEGO Friends Advent Calendar 2016,,,,LEGO Friends,179.95,
41132,41132,Heartlake Party Shop,,,,LEGO Friends,269.95,
41133,41133,Amusement Park Bumper Cars,,,,LEGO Friends,349,
41134,41134,Heartlake Performance School,,,,LEGO Friends,749,
41135,41135,Livi's Pop Star House,,,,LEGO Friends,499,
66537,66537,LEGO Friends Value Pack,,,,LEGO Friends,249.95,
66539,66539,LEGO Friends VP,,,,LEGO Friends,549,
2000416,2000416,LEGO Duck,,,,Cross Curricular,10.05,"12,66"
9071,9071,Building Plates,,,LE Preschool,LE Preschool,241.5,
9286,9286,Large Building Plates Set,,,LE Preschool,LE Preschool,224.95,
9348,9348,Community Minifigure Set,,,LE Preschool,LE Preschool,370.5,
9349,9349,Fairytale and Historic Minifigure Set,,,LE Preschool,LE Preschool,370.5,
9386,9386,"Doors, Windows & Roof Tiles",,,LE Preschool,LE Preschool,313.75,
9387,9387,Wheels Set,,,LE Preschool,LE Preschool,296.5,
45500,45500,EV3 Intelligent Brick,,,MINDSTORMS Education,MINDSTORMS Education,1699,
45501,45501,EV3 Rechargeable DC Battery,,,MINDSTORMS Education,MINDSTORMS Education,899,
45502,45502,EV3 Large Servo Motor,,,MINDSTORMS Education,MINDSTORMS Education,269.95,
45503,45503,EV3 Medium Servo Motor,,,MINDSTORMS Education,MINDSTORMS Education,229.95,
45504,45504,EV3 Ultrasonic Sensor,,,MINDSTORMS Education,MINDSTORMS Education,299.95,
45505,45505,EV3 Gyro Sensor,,,MINDSTORMS Education,MINDSTORMS Education,299.95,
45506,45506,EV3 Color Sensor,,,MINDSTORMS Education,MINDSTORMS Education,349,
45507,45507,EV3 Touch Sensor,,,MINDSTORMS Education,MINDSTORMS Education,179.95,
45508,45508,EV3 Infrared Beacon,,,MINDSTORMS Education,MINDSTORMS Education,349,
45509,45509,EV3 Infrared Sensor,,,MINDSTORMS Education,MINDSTORMS Education,299.95,
45514,45514,EV3 Cable Pack,,,MINDSTORMS Education,MINDSTORMS Education,149.95,
45517,45517,Transformer 10V DC,,,MINDSTORMS Education,MINDSTORMS Education,249.95,
60100,60100,Airport Starter Set,,,,City Airport,99.95,
60101,60101,Airport Cargo Plane,,,,City Airport,179.95,
60102,60102,Airport VIP Service,,,,City Airport,449,
60103,60103,Airport Air Show,,,,City Airport,749,
60104,60104,Airport Passenger Terminal,,,,City Airport,899,
60090,60090,Deep Sea Scuba Scooter,,,City Deep Sea Explorers,City Deep Sea Explorers,49.95,
60091,60091,Deep Sea Starter Set,,,City Deep Sea Explorers,City Deep Sea Explorers,99.95,
60092,60092,Deep Sea Submarine,,,City Deep Sea Explorers,City Deep Sea Explorers,249.95,
60093,60093,Deep Sea Helicopter,,,City Deep Sea Explorers,City Deep Sea Explorers,449,
60095,60095,Deep Sea Exploration Vessel,,,City Deep Sea Explorers,City Deep Sea Explorers,899,
60096,60096,Deep Sea Operation Base,,,City Deep Sea Explorers,City Deep Sea Explorers,699,
60072,60072,Demolition Starter Set,,,City Demolition,City Demolition,99.95,
60073,60073,Service Truck,,,City Demolition,City Demolition,179.95,
60074,60074,Bulldozer,,,City Demolition,City Demolition,269.95,
60076,60076,Demolition Site,,,City Demolition,City Demolition,649,
60105,60105,Fire ATV,,,,City Fire,49.95,
60106,60106,Fire Starter Set,,,,City Fire,99.95,
60107,60107,Fire Ladder Truck,,,,City Fire,179.95,
60108,60108,Fire Response Unit,,,,City Fire,249.95,
60109,60109,Fire Boat,,,,City Fire,649,
60110,60110,Fire Station,,,,City Fire,899,
