identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,m-7307,Matin Protective Film FreeSize Protection,7,http://www.camerahouse.com.au/products/General-Accessories/Matin-Protective-Film-FreeSize-Protection.aspx,,,,
,m7380,Matin Micro Fibre Cloth Black Accessories,15,http://www.camerahouse.com.au/products/General-Accessories/Matin-Micro-Fibre-Cloth-Black-Accessories.aspx,,,,
,m7381,Matin Micro Fibre Orange Cleaning Cloth,15,http://www.camerahouse.com.au/products/General-Accessories/Matin-Micro-Fibre-Cloth-Orange-Accessories.aspx,,,,
,m7382,Matin Micro Fibre Cleaning Cloth Green,15,http://www.camerahouse.com.au/products/General-Accessories/Matin-Micro-Fibre-Cloth-Green-Accessories.aspx,,,,
,m7383,Matin Micro Fibre Cleaning Cloth Pink,15,http://www.camerahouse.com.au/products/General-Accessories/Matin-Micro-Fibre-Cleaning-Cloth-Pink.aspx,,,,
,m7384,Matin Micro Fibre Cloth Blue Accessories,15,http://www.camerahouse.com.au/products/General-Accessories/Matin-Micro-Fibre-Cloth-Blue-Accessories.aspx,,,,
,mk393-h,Manfrotto MK393H Photo Movie Head Tripod,150,http://www.camerahouse.com.au/products/Tripods/Manfrotto-MK393H-Photo-Movie-Head-Tripod.aspx,,,,
,mkc3-h01,Manfrotto MKC3-H01 Tripod,100,http://www.camerahouse.com.au/products/Tripods/Manfrotto-MKC3-H01-Tripod.aspx,,,,
,mmc3-01,Manfrotto MMC3-01 Monopod,50,http://www.camerahouse.com.au/products/Tripods/Manfrotto-MMC3-01-Monopod-Black.aspx,,,,
,nb2lh,Canon NB-2LH Battery,99,http://www.camerahouse.com.au/products/Batteries/Canon-NB-2LH-Battery.aspx,,,,
,nex5nb,Sony NEX5N Body Black Digital Compact Camera,549,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5-Body-Black-Digital-Compact-Camera.aspx,,,,
,nex5ndb,Sony NEX-5N w/18-55mm & 55-210mm Zoom Lenses Black Digital Compact Pro,999,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5N-w18-55mm-55-210mm-Zoom-Lenses-Black-Digital-Compact-Pro.aspx,,,,
,nex5nds,Sony NEX-5N w/16mm & 18-55mm Lenses Silver Digital Compact Pro,799,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5N-w16mm-18-55mm-Lenses-Silver-Digital-Compact-Pro.aspx,,,,
,nex5ndw,Sony NEX-5N w/16mm & 18-55mm Lenses White Digital Compact Pro,799,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5N-w16mm-18-55mm-Lenses-White-Digital-Compact-Pro.aspx,,,,
,nex5nhb,Sony NEX-5N w/18-200mm Lens Black Compact Pro Camera,1249,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5N-18-200MM-Travel-Kit-Compact-pro-Camera.aspx,,,,
,nex5nkb,Sony NEX-5N w/18-55mm Lens Black Compact Pro Camera,699,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5N-w18-55mm-Lens-Black-Digital-Compact-Camera.aspx,,,,
,nex5nys,Sony NEX-5N w/18-55mm & 55-210mm Zoom Lenses Silver Digital Compact Pro,999,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX5Nw18-55mm-55-210mm-Zoom-Lenses-Silver-Digital-Compact-Pro.aspx,,,,
,nex7b,Sony NEX7N Body Only Compact Pro Camera,1399,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX7-Body-Only-Compact-Pro-Camera.aspx,,,,
,nex7kb,Sony NEX7N w18-55mm Lens Black Compact Pro Camera,1599,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEX7-w18-55mm-Lens-Black-Compact-Pro-Camera.aspx,,,,
,nexc3db,Sony NEX-C3 w/16mm & 18-55mm Lenses Black Compact Pro Camera,749,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXC3-w16mm-18-55mm-Lenses-Black-Compact-Pro-Camera.aspx,,,,
,nexc3dp,Sony NEX-C3 w/16mm & 18-55mm Lenses Pink Compact Pro Camera,749,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXC3-w16mm-18-55mm-Lenses-Pink-Compact-Pro-Camera.aspx,,,,
,nexc3ds,Sony NEX-C3 w/16mm & 18-55mm Lenses Silver Compact Pro Camera,749,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXC3-w16mm-18-55mm-Lenses-Silver-Compact-Pro-Camera.aspx,,,,
,nexf3kb,Sony NEXF3 w/18-55mm Lens Black Compact Pro Camera,599,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXF3-w18-55mm-Lens-Black-Compact-Pro-Camera.aspx,,,,
,nexf3kp,Sony NEXF3 w/18-55mm Lens Pink Compact Pro Camera,599,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXF3-w18-55mm-Lens-Pink-Compact-Pro-Camera.aspx,,,,
,nexf3kw,Sony NEXF3 w/18-55mm Lens White Compact Pro Camera,599,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXF3-w18-55mm-Lens-White-Compact-Pro-Camera.aspx,,,,
,nexf3yb,Sony NEXF3 w/18-55mm & 55-210mm Lenses Black Compact Pro Camera,899,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXF3-w18-55mm-55-210mm-Lenses-Black-Compact-Pro-Camera.aspx,,,,
,nexf3yw,Sony NEXF3 w/18-55mm & 55-210mm Lenses White Compact Pro Camera,899,http://www.camerahouse.com.au/products/Compact-Pro-Cameras/Sony-NEXF3-w18-55mm-55-210mm-Lenses-White-Compact-Pro-Camera.aspx,,,,
,npf570,Sony NP-F570 InfoLithium L Battery,99,http://www.camerahouse.com.au/products/Batteries/Sony-NP-F570-InfoLithium-L-Battery.aspx,,,,
,npf770,Sony NP-F770 InfoLithium L Battery,199,http://www.camerahouse.com.au/products/Batteries/Sony-NP-F770-InfoLithium-L-Battery.aspx,,,,
,npf970,Sony NP-F970 InfoLithium L Battery,299,http://www.camerahouse.com.au/products/Batteries/Sony-NP-F970-InfoLithium-L-Battery.aspx,,,,
,npfv100,Sony NPFV100 InfoLithium L Battery,249,http://www.camerahouse.com.au/products/Batteries/Sony-NP-FV100-InfoLithium-L-Battery.aspx,,,,
,npfv50,Sony NPFV50 Camcorder Battery,89,http://www.camerahouse.com.au/products/Batteries/Sony-NP-FV50-Camcorder-Battery.aspx,,,,
,npfv70,Sony NPFV70 InfoLithium L Battery,169,http://www.camerahouse.com.au/products/Batteries/Sony-NP-FV70-InfoLithium-L-Battery.aspx,,,,
,npfw50,Sony NPFW50 Battery,100,http://www.camerahouse.com.au/products/Batteries/Sony-battery-suits-NEXA33A55-Battery.aspx,,,,
,opm-1093g,Optex OPM-1093G Tripod Incl. Monopod & Pistol Grip,99,http://www.camerahouse.com.au/products/Tripods/Optex-OPM-1093G-Tripod-Incl-Monopod-Pistol-Grip.aspx,,,,
,oslkit,Optex Portable Photo Studio,199,http://www.camerahouse.com.au/products/General-Accessories/Optex-Portable-Photo-Studio.aspx,,,,
