"product_code","ean","description"
46717910,"8411061545904       ","Carolina Herrera 212 Sexy  eau de parfum"
46717911,"8411061558416       ","Carolina Herrera 212 Sexy  eau de parfum"
46718601,"8411061602522       ","Carolina Herrera 212 Sexy Men  eau de toilette spray"
46718602,"8411061602539       ","Carolina Herrera 212 Sexy Men  eau de toilette spray"
46719780,"8435137729357       ","Prada Luna Rossa gift set "
46711711,"3349668517565       ","Paco Rabanne Lady Million  eau de toilette"
46711710,"3349668517572       ","Paco Rabanne Lady Million  eau de toilette"
46711480,"3349668518043       ","Paco Rabanne Black XS gift set "
46711682,"3349668518081       ","Paco Rabanne 1 Million gift set "
46711783,"3349668518098       ","Paco Rabanne Lady Million gift set "
46711582,"3349668518111       ","Paco Rabanne Black XS for Her gift set "
46715481,"3349668518135       ","Paco Rabanne Ultraviolet Man gift set "
46716582,"3137370312420       ","Nina Ricci Nina gift set "
46716280,"3137370312451       ","Nina Ricci L’Air du Temps gift set "
46718780,"8411061760482       ","Carolina Herrera 212 VIP for Men gift set "
46711503,"3349666005330       ","Paco Rabanne Black XS for Her  eau de toilette"
46711502,"3349666002506       ","Paco Rabanne Black XS for Her  eau de toilette"
46711501,"3349666002742       ","Paco Rabanne Black XS for Her  eau de toilette"
46711550,"3349666002537       ","Paco Rabanne Black XS for Her  body lotion"
46715410,"3349666010518       ","Paco Rabanne Ultraviolet Man  eau de toilette spray"
46715411,"3349666010525       ","Paco Rabanne Ultraviolet Man  eau de toilette spray"
46711603,"3349666007921       ","Paco Rabanne 1 Million  eau de toilette"
46711602,"3349666007891       ","Paco Rabanne 1 Million  eau de toilette"
46711652,"3349666007990       ","Paco Rabanne 1 Million  deodorant stick"
46711611,"3349666008003       ","Paco Rabanne 1 Million  aftershave balm"
46716224,"3137370207016       ","Nina Ricci L’Air du Temps  eau de toilette spray"
46716220,"3137370207023       ","Nina Ricci L’Air du Temps  eau de toilette spray"
46716222,"3137370207030       ","Nina Ricci L’Air du Temps  eau de toilette spray"
46716212,"3137370207054       ","Nina Ricci L’Air du Temps  eau de parfum spray"
46716213,"3137370207047       ","Nina Ricci L’Air du Temps  eau de parfum spray"
46716259,"3137370207085       ","Nina Ricci L’Air du Temps  bath & shower gel"
46716258,"3137370207078       ","Nina Ricci L’Air du Temps  body lotion"
46716262,"3137370207115       ","Nina Ricci L’Air du Temps  talc"
46716261,"3137370207481       ","Nina Ricci L’Air du Temps  soap"
46716590,"3137370205029       ","Nina Ricci Nina  eau de toilette spray"
46716605,"3137370310099       ","Nina Ricci Ricci  eau de parfum"
46716604,"3137370208303       ","Nina Ricci Ricci  eau de parfum"
46716603,"3137370208297       ","Nina Ricci Ricci  eau de parfum"
46716520,"3137370180760       ","Nina Ricci Nina  eau de toilette spray"
46716521,"3137370180333       ","Nina Ricci Nina  eau de toilette spray"
46788012,"3346130310938       ","Hermès Calèche  soie de parfum spray"
46788011,"3346130310921       ","Hermès Calèche  soie de parfum spray"
46788028,"3346130310914       ","Hermès Calèche  eau de toilette spray"
46788027,"3346130310907       ","Hermès Calèche  eau de toilette spray"
46751505,"3360372012818       ","Ralph Lauren Polo  eau de toilette spray"
46751506,"3360372012825       ","Ralph Lauren Polo  eau de toilette spray"
46798281,"0783320803659       ","Bulgari Jasmin Noir gift set "
46790381,"0783320803673       ","Bulgari Aqua pour homme gift set "
46751903,"3360377002944       ","Ralph Lauren Romance  eau de parfum natural spray"
46751901,"3360377002951       ","Ralph Lauren Romance  eau de parfum spray"
46751902,"3360377002968       ","Ralph Lauren Romance  eau de parfum spray"
46752702,"3360377032767       ","Ralph Lauren Polo Black  eau de toilette"
46752701,"3360377032750       ","Ralph Lauren Polo Black  eau de toilette"
46751620,"3360377022911       ","Ralph Lauren Polo Sport Blue  eau de toilette spray"
46751621,"3360377022928       ","Ralph Lauren Polo Sport Blue  eau de toilette spray"
46707697,,"DKNY   "
46707620,,"DKNY Women  eau de parfum"
46707621,,"DKNY Women  eau de parfum"
46707701,,"DKNY Men  eau de toilette spray"
46707801,,"DKNY Be Delicious for women  Eau de parfum"
46707802,,"DKNY Be Delicious for women  Eau de parfum"
46707803,,"DKNY Be Delicious for women  Eau de parfum"
46707681,,"DKNY Women gift set "
46798080,"0783320822063       ","Bulgari Pour Femme  eau de parfum spray"
46798280,"0783320822698       ","Bulgari Jasmin Noir  eau de parfum spray"
46798202,"0783320822704       ","Bulgari Jasmin Noir  eau de parfum"
46798203,"0783320822711       ","Bulgari Jasmin Noir  eau de parfum"
46798210,"0783320822926       ","Bulgari Jasmin Noir  eau de toilette"
46798211,"0783320822940       ","Bulgari Jasmin Noir  eau de toilette"
46781057,"3423470828016       ","Issey Miyake L’eau D’issey Pour Homme  deodorant stick"
46754403,"3360372058861       ","Giorgio Armani Acqua di Giò Homme  eau de toilette spray"
46754401,"3360372058878       ","Giorgio Armani Acqua di Giò Homme  eau de toilette spray"
46785905,"3423470883008       "," Narciso Rodriguez Essence  eau de parfum"
46785904,"3423470883015       "," Narciso Rodriguez Essence  eau de parfum"
46785951,"3423470883022       "," Narciso Rodriguez Essence  body lotion"
46785992,"3423470883350       "," Narciso Rodriguez Essence  eau de musc"
46785993,"3423470883367       "," Narciso Rodriguez Essence  eau de musc"
46785982,"3423478835658       "," Narciso Rodriguez Essence gift set "
46786021,"3423470890013       "," Narciso Rodriguez  eau de toilette spray"
46786022,"3423470890020       "," Narciso Rodriguez  eau de toilette spray"
46786051,"3423470890037       "," Narciso Rodriguez  body lotion"
46786052,"3423470890051       "," Narciso Rodriguez  shower gel"
46786053,"3423470890075       "," Narciso Rodriguez  body cream"
46786005,"3423470890129       "," Narciso Rodriguez  eau de perfume"
46786004,"3423470890136       "," Narciso Rodriguez  eau de perfume"
46786011,"3423470891232       "," Narciso Rodriguez  intense"
46786020,"3423478915459       ","#N/A"
46786091,"3423478916456       "," Narciso Rodriguez for Her gift set "
46786092,"3423478916654       "," Narciso Rodriguez for Her gift set "
46790301,"0783320911026       ","Bulgari Aqua pour homme  eau de toilette spray"
46790303,"0783320911224       ","Bulgari Aqua pour homme  eau de toilette spray"
46790302,"0783320911521       ","Bulgari Aqua pour homme  eau de toilette spray"
46790320,"0783320913020       ","Bulgari Aqua pour homme  eau de toilette"
46790321,"0783320913525       ","Bulgari Aqua pour homme  eau de toilette"
46790350,"0783320915253       ","Bulgari Aqua pour homme  shampoo & shower gel"
46799580,"0783320922107       ","Bulgari Omnia Crystalline  eau de toilette"
46799503,"0783320922169       ","Bulgari Omnia Crystalline  Eau de toilette spray"
46754456,"3360372067214       ","Giorgio Armani Acqua di Giò Homme  bath & shower gel"
46798302,"0783320962110       ","Bulgari Omnia Jade  eau de toilette"
46798380,"0783320962097       ","Bulgari Omnia Jade  eau de toilette"
46798303,"0783320962516       ","Bulgari Omnia Jade  eau de toilette"
46700721,,"Aramis Classic  aftershave balm"
46782303,"3386460025478       "," Jimmy Choo  eau de parfum"
46782302,"3386460025485       "," Jimmy Choo  eau de parfum"
46782301,"3386460025492       "," Jimmy Choo  eau de parfum"
46782350,"3386460025546       "," Jimmy Choo  body lotion"
46782351,"3386460025553       "," Jimmy Choo  shower gel"
46782312,"3386460025508       "," Jimmy Choo  eau de toilette"
46782311,"3386460025515       "," Jimmy Choo  eau de toilette"
46782310,"3386460025522       "," Jimmy Choo  eau de toilette"
46782384,"3386460041478       "," Jimmy Choo gift set "
46782385,"3386460041416       "," Jimmy Choo gift set "
46788055,"3346130311317       ","#N/A"
46780506,"3423470317152       ","Jean Paul Gaultier Classique  eau de toilette spray"
46780505,"3423470317169       ","Jean Paul Gaultier Classique  eau de toilette spray"
46780511,"3423470317176       ","Jean Paul Gaultier Classique  eau de toilette spray"
46780512,"3423470317183       ","Jean Paul Gaultier Classique  eau de toilette refill"
46780603,"3423470317527       ","Jean Paul Gaultier Le Male  eau de toilette spray"
46780604,"3423470317534       ","Jean Paul Gaultier Le Male  eau de toilette spray"
46780610,"3423470317602       ","Jean Paul Gaultier Le Male  aftershave lotion"
46780515,"3423470470130       ","Jean Paul Gaultier Classique  eau de parfum"
46780517,"3423470470147       ","Jean Paul Gaultier Classique  eau de parfum"
46780550,"3423470470482       ","Jean Paul Gaultier Classique  body lotion"
46780520,"3423470471328       ","Jean Paul Gaultier Classique X  eau de toilette"
46780521,"3423470471335       ","Jean Paul Gaultier Classique X  eau de toilette"
46780588,"3423474718559       ","Jean Paul Gaultier Classique gift set "
46780589,"3423474718658       ","Jean Paul Gaultier Classique gift set "
46780661,"3423470475319       ","Jean Paul Gaultier Le Male  shower gel"
46780662,"3423470475340       ","Jean Paul Gaultier Le Male  aftershave emulsion"
46780605,"3423470475852       ","Jean Paul Gaultier Le Male  eau de toilette spray"
46780660,"3423470475913       ","Jean Paul Gaultier Le Male  deodorant stick"
46780602,"3423470476460       ","Jean Paul Gaultier Le Male  eau de toilette spray"
