identifier,name,price,url,brand,category,image_url,stock
DREW,Drew Wig by Noriko,117,http://www.naturalimagewigs.co.uk/Drew-Wig-by-Noriko.html,Noriko,Wigs,http://www.naturalimagewigs.co.uk/images/T/Drew-thumb.jpg,in stock
DU,Duet Wig by Natural Image,89,http://www.naturalimagewigs.co.uk/Duet-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/duet_t-01.jpg,in stock
2515,Dylan Wig by Amore,216.5,http://www.naturalimagewigs.co.uk/Dylan-Wig-by-Amore.html,Amore,Wigs,http://www.naturalimagewigs.co.uk/images/T/Dylan%20T.jpeg,in stock
Z9019/A,Dylan Wig by Especially Yours,49,http://www.naturalimagewigs.co.uk/Dylan-Wig-by-Especially-Yours.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/THUMB-12.jpg,in stock
ESE,Ease Wig by Natural Image,89,http://www.naturalimagewigs.co.uk/Ease-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/ease_t_alt.jpg,in stock
PYEFR,Easy Fringe by Paula Young,23.2,http://www.naturalimagewigs.co.uk/Easy-Fringe-by-Paula-Young.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/A2720_EASY-BANG-thumb.jpg,in stock
ECHO/P,Echo Wig by Natural Image,195,http://www.naturalimagewigs.co.uk/Echo-Wig-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/echo_t.jpg,in stock
EDI,Edinburgh Wig by Jacqueline,75,http://www.naturalimagewigs.co.uk/Edinburgh.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/Edinburgh_1326-th.jpg,in stock
ELB,Elba Wig by Jacqueline,75,http://www.naturalimagewigs.co.uk/Elba.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/elba_t.jpg,in stock
zele60,Elegance Wig by Natural Image,115,http://www.naturalimagewigs.co.uk/Elegance-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/elegance_t_new.jpg,in stock
z1641/A,Elisa Wig by Especially Yours,55,http://www.naturalimagewigs.co.uk/Elisa-Wig-by-Especially-Yours.html,Especially Yours,Wigs,http://www.naturalimagewigs.co.uk/images/T/THUMB-13.jpg,in stock
EL,Elizabeth Wig by Natural Image,84,http://www.naturalimagewigs.co.uk/Elizabeth.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/elizabeth_t-01.jpg,in stock
PYEZ,Elizabeth Wig by Paula Young (A),99,http://www.naturalimagewigs.co.uk/Elizabeth-PYEZ.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/elizabeth_t.jpg,in stock
PYEZ/P,Elizabeth Wig by Paula Young (P),99,http://www.naturalimagewigs.co.uk/Elizabeth-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/elizabeth_t.jpg,in stock
ELIE/P,Ellie Wig by Natural Image,89,http://www.naturalimagewigs.co.uk/Ellie-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/ellie_t.jpg,in stock
