identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,096-1462-021,Fender CF-100 Folk Acoustic Guitar Laminated Spruce Top Laminated Mahogany Back and Sides - Rosewood Fingerboard,179.99,http://www.axemusic.com/store/product/28753/Fender-CF-100-Folk-Acoustic-Guitar-Laminated-Spruce-Top-Laminated-Mahogany-Back-and-Sides-Rosewood-Fingerboard/,6 String Acoustic Guitars,,,
,096-1535-021,Fender Classic Design Series CD100 6-String Dreadnought Acoustic Guitar with Spruce Top and Mahogany Back/Sides - Natural Satin Finish,199.99,http://www.axemusic.com/store/product/10987/Fender-Classic-Design-Series-CD100-6-String-Dreadnought-Acoustic-Guitar-with-Spruce-Top-and-Mahogany-Back-Sides-Natural-Satin-Finish/,6 String Acoustic Guitars,,,
,096-1518-021,Fender Classic Design Series CD140S Dreadnought Acoustic Guitar with Solid Spruce Top and Mahogany Back and Sides - Natural Satin Finish,199.99,http://www.axemusic.com/store/product/26474/Fender-Classic-Design-Series-CD140S-Dreadnought-Acoustic-Guitar-with-Solid-Spruce-Top-and-Mahogany-Back-and-Sides-Natural-Satin-Finish/,6 String Acoustic Guitars,,,
,096-1539-206,Fender Classic Design Series CD60 Acoustic Guitar includes Case - Black Finish,199.99,http://www.axemusic.com/store/product/10981/Fender-Classic-Design-Series-CD60-Acoustic-Guitar-includes-Case-Black-Finish/,6 String Acoustic Guitars,,,
,096-1539-221,Fender Classic Design Series CD60 Acoustic Guitar includes Case - Natural Finish,199.99,http://www.axemusic.com/store/product/10982/Fender-Classic-Design-Series-CD60-Acoustic-Guitar-includes-Case-Natural-Finish/,6 String Acoustic Guitars,,,
,096-1539-232,Fender Classic Design Series CD60 Acoustic Guitar includes Case - Sunburst Finish,199.99,http://www.axemusic.com/store/product/10983/Fender-Classic-Design-Series-CD60-Acoustic-Guitar-includes-Case-Sunburst-Finish/,6 String Acoustic Guitars,,,
,096-1571-021,Fender Classic Design Series CP-100 Parlor Style Acoustic Guitar -  Sunburst Finish,179.99,http://www.axemusic.com/store/product/28957/Fender-Classic-Design-Series-CP-100-Parlor-Style-Acoustic-Guitar-Sunburst-Finish/,6 String Acoustic Guitars,,,
,095-5000-032,Fender FR-50 Resonator/Sunbrst,449.99,http://www.axemusic.com/store/product/1073/Fender-FR-50-Resonator-Sunbrst/,6 String Acoustic Guitars,,,
,ppc200smp,Breedlove Passport Series C200/SMP Concert Acoustic No-Cutaway Guitar with Sitka Spruce Top and Stained Maple Back & Sides includes Gig Bag - Natural Satin Finish,299.00,http://www.axemusic.com/store/product/25035/Breedlove-Passport-Series-C200-SMP-Concert-Acoustic-No-Cutaway-Guitar-with-Sitka-Spruce-Top-and-Stained-Maple-Back-%26-Sides-includes-Gig-Bag-Natural-Satin-Finish/,6 String Acoustic Guitars,,,
,ekoa,Dean Exotic KOA Cutaway Acoustic Guitar with Pickup and Built-in Tuner - Axe Clearance Center Special,457.89,http://www.axemusic.com/store/product/15932/Dean-Exotic-KOA-Cutaway-Acoustic-Guitar-with-Pickup-and-Built-in-Tuner-Axe-Clearance-Center-Special/,6 String Acoustic Guitars,,,
,playjtcbk,Dean Playmate JT 3/4 Size Junior Student Acoustic Guitar - Black Finish,79.52,http://www.axemusic.com/store/product/11856/Dean-Playmate-JT-3-4-Size-Junior-Student-Acoustic-Guitar-Black-Finish/,6 String Acoustic Guitars,,,
,playjtpbs,Dean Playmate JT 3/4 Size Junior Student Acoustic Guitar - Pink Finish,79.52,http://www.axemusic.com/store/product/11857/Dean-Playmate-JT-3-4-Size-Junior-Student-Acoustic-Guitar-Pink-Finish/,6 String Acoustic Guitars,,,
,ewz,ESP LTD EW-Z XTone Acoustic Guitar - Zebra Wood Top Back Side - Natural Gloss Finish -,367.00,http://www.axemusic.com/store/product/28213/ESP-LTD-EW-Z-XTone-Acoustic-Guitar-Zebra-Wood-Top-Back-Side-Natural-Gloss-Finish-/,6 String Acoustic Guitars,,,
,096-0321-021,Fender 096-0321-021 CD-320AS Dreadnought Acoustic Guitar with Solid Spruce Top and Solid Mahogany Back and Sides - Natural Finish,599.99,http://www.axemusic.com/store/product/27777/Fender-096-0321-021-CD-320AS-Dreadnought-Acoustic-Guitar-with-Solid-Spruce-Top-and-Solid-Mahogany-Back-and-Sides-Natural-Finish/,6 String Acoustic Guitars,,,
,096-1460-021,Fender 096-1460-021 CF-140S Folk Acoustic Guitar with Solid Spruce Top and Laminated Mahogany Back and Sides - Natural Finish,199.99,http://www.axemusic.com/store/product/27771/Fender-096-1460-021-CF-140S-Folk-Acoustic-Guitar-with-Solid-Spruce-Top-and-Laminated-Mahogany-Back-and-Sides-Natural-Finish/,6 String Acoustic Guitars,,,
,096-1512-021,Fender 096-1512-021 Classic Design Series CD280S Dreadnought Acoustic Guitar with Solid Spruce Top and Rosewood Back and Sides,299.99,http://www.axemusic.com/store/product/29269/Fender-096-1512-021-Classic-Design-Series-CD280S-Dreadnought-Acoustic-Guitar-with-Solid-Spruce-Top-and-Rosewood-Back-and-Sides/,6 String Acoustic Guitars,,,
,096-8029-021,Fender 096-8029-021 Newporter Traveler Mini Dreadnought Acoustic Guitar with Laminated Spruce Top and Laminated Mahogany Back and Sides - Natural Finish,279.99,http://www.axemusic.com/store/product/27779/Fender-096-8029-021-Newporter-Traveler-Mini-Dreadnought-Acoustic-Guitar-with-Laminated-Spruce-Top-and-Laminated-Mahogany-Back-and-Sides-Natural-Finish/,6 String Acoustic Guitars,,,
,096-8408-021,Fender 096-8408-021 Artist Design Series - Elvis Kingman Acoustic Guitar -  Solid Spruce Top - Laminated Wildwood Back and Sides - Natural Finish,399.99,http://www.axemusic.com/store/product/29896/Fender-096-8408-021-Artist-Design-Series-Elvis-Kingman-Acoustic-Guitar-Solid-Spruce-Top-Laminated-Wildwood-Back-and-Sides-Natural-Finish/,6 String Acoustic Guitars,,,
,50songsmpl,MUSIC MAESTRO SDVD KARAOKE DSK,9.95,http://www.axemusic.com/store/product/3792/MUSIC-MAESTRO-SDVD-KARAOKE-DSK/,DVD Discs,,,
