Item Number,Item  Description,UPC,Amazon ASIN,Target TCIN,Walmart #,Wayfair,MSRP,MAP,Brand,Category,Image URL
653-1,"Household Essentials Hard-Sided Tapered Storage Bin, Small, Black Chevron",040071115364,B00MWQFA7I,Err:512,38661450,HUU2328,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/653-1.jpg
19KDBLK-1,"Household Essentials Medium Tapered Bins, Black with White Mini-Dots, Set of 2",040071114497,B00AU0HWTC,Err:512,22866971,HUU2161,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/19KDBLK-1.jpg
19KDNVY-1,"Household Essentials Medium Tapered Bins, Navy with Navy and White Gingham, Set of 2",040071114480,B00AU0HWJC,Err:512,22866972,HUU2162,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/19KDNVY-1.jpg
19KDPURP-1,"Household Essentials Medium Tapered Bins, Purple with Purple and White Gingham, Set of 2",040071114510,B00AU0HWC4,Err:512,22866974,HUU2163,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/19KDPURP-1.jpg
19KDRED-1,"Household Essentials Medium Tapered Bins, Red with White Dots, Set of 2",040071114503,B00AU0HVY8,Err:512,22866976,HUU2164,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/19KDRED-1.jpg
90-1,"Household Essentials Decorative Storage Bins, Medium, Aqua/Chevron, 2-Pack",040071115203,B00L3FZVZ0,Err:512,37918179,HUU2102,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/90-1.jpg
91-1,"Household Essentials Decorative Storage Bins, Medium, Black/Chevron, 2-Pack",040071115210,B00L3FZUBU,Err:512,37965067,HUU2102,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/91-1.jpg
92-1,"Household Essentials Decorative Storage Bins, Medium, Polka Dot, Pink, 2-Pack",040071115227,B00L3FYUT8,Err:512,37949913,HUU2101,$24.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/92-1.jpg
514,"Household Essentials Large Vision Storage Box, Natural Canvas with Brown Trim",040071110376,B0049W35Z2,Err:512,16405260,HUU1317,$21.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/514.jpg
31-1,"Household Essentials Cube Set with Lids, Pink, 2-Pack",040071115036,B00L3FZSIA,Err:512,37949563,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/31-1.jpg
32-1,"Household Essentials Cube Set with Lids, Orange, 2-Pack",040071115043,B00L3G02WG,Err:512,38066966,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/32-1.jpg
33-1,"Household Essentials Cube Set with Lids, Navy, 2-Pack",040071115050,B00L3FWSMY,Err:512,38067032,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/33-1.jpg
34-1,"Household Essentials Cube Set with Lids Black, 2-Pack",040071115067,B00L3FWUC2,Err:512,37892187,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/34-1.jpg
35-1,"Household Essentials Cube Set with Lids, Yellow, 2-Pack",040071115074,B00L3FYEZ8,Err:512,38067039,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/35-1.jpg
36-1,"Household Essentials Cube Set with Lids, Aqua, 2-Pack",040071115081,B00L3FZ9Y8,Err:512,38067035,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/36-1.jpg
37-1,"Household Essentials Cube Set with Lids, Red, 2-Pack",040071115098,B00L3FZGCI,Err:512,38067040,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/37-1.jpg
38-1,"Household Essentials Cube Set with Lids, Purple, 2-Pack",040071115104,B00L3FY5XO,Err:512,37962227,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/38-1.jpg
39-1,"Household Essentials Cube Set with Lids, Natural, 2-Pack",040071115111,B00L3FZ3C6,Err:512,37943269,HUU2100,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/39-1.jpg
40-1,"Household Essentials Storage Cubes/Box with Lids, Small, Kelly Green, 2-Pack",040071115258,B00L3G0XT8,Err:512,38067053,HUU2100,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/40-1.jpg
10KDAQU-1,"Household Essentials Nested Boxes with Lids, Aqua, Set of 2",040071114411,B00AU0HZ76,Err:512,22866950,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDAQU-1.jpg
10KDBLK-1,"Household Essentials Nested Boxes with Lids, Black, Set of 2",040071114398,B00AU0HYVS,Err:512,22866953,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDBLK-1.jpg
10KDKLY-1,"Household Essentials Collapsible Decorative Box with Lid and Built-In Grommet Handles, Kelly Green",040071115241,B00KY48NQU,Err:512,38067048,HUU2103,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDKLY-1.jpg
10KDNAT-1,"Household Essentials Collapsible Decorative Box with Lid and Built-In Grommet Handles, Natural",040071115234,B00KY48PRW,Err:512,38067051,HUU2103,$22.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDNAT-1.jpg
10KDNVY-1,"Household Essentials Nested Boxes with Lids, Navy, Set of 2",040071114381,B00AU0HYQ8,Err:512,22866954,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDNVY-1.jpg
10KDORG-1,"Household Essentials Nested Boxes with Lids, Orange, Set of 2",040071114374,B00AU0HYK4,Err:512,22866955,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDORG-1.jpg
10KDPNK-1,"Household Essentials Nested Boxes with Lids, Pink, Set of 2",040071114367,B00AU0HYAO,Err:512,22866956,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDPNK-1.jpg
10KDPURP-1,"Household Essentials Nested Boxes with Lids, Purple, Set of 2",040071114435,B00AU0HY4K,Err:512,22866957,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDPURP-1.jpg
10KDRED-1,"Household Essentials Nested Boxes with Lids, Red, Set of 2",040071114428,B00AU0HXXW,Err:512,22866958,HUU2160,$19.99,,HouseHold,Boxes & Bins,http://www.householdessential.com/ftp-images/10KDRED-1.jpg
